date,IVZ,KCE
2010-11-04,24.0,36.68
2010-11-05,24.24,37.46
2010-11-08,23.57,37.17
2010-11-09,23.2,36.7
2010-11-10,22.29,36.9
2010-11-11,22.45,36.76
2010-11-12,22.13,36.2
2010-11-15,22.18,36.38
2010-11-16,21.69,35.75
2010-11-17,21.51,35.68
2010-11-18,21.81,36.14
2010-11-19,21.93,36.14
2010-11-22,21.71,35.61
2010-11-23,21.16,35.02
2010-11-24,21.95,35.78
2010-11-26,21.71,35.55
2010-11-29,21.69,35.43
2010-11-30,21.74,35.17
2010-12-01,22.46,36.11
2010-12-02,22.87,37.35
2010-12-03,22.99,37.4
2010-12-06,22.82,37.56
2010-12-07,22.98,37.6
2010-12-08,23.08,37.99
2010-12-09,23.17,38.17
2010-12-10,23.23,38.32
2010-12-13,23.03,38.34
2010-12-14,22.83,38.09
2010-12-15,22.64,38.02
2010-12-16,22.61,38.21
2010-12-17,22.78,37.89
2010-12-20,22.82,37.9
2010-12-21,23.59,38.47
2010-12-22,23.75,38.75
2010-12-23,23.68,38.49
2010-12-27,23.72,38.75
2010-12-28,23.68,38.72
2010-12-29,23.74,38.54
2010-12-30,23.67,38.43
2010-12-31,24.06,38.39
2011-01-03,24.46,38.89
2011-01-04,24.41,38.52
2011-01-05,24.39,38.81
2011-01-06,24.35,38.89
2011-01-07,24.33,38.54
2011-01-10,24.25,38.75
2011-01-11,24.76,38.72
2011-01-12,24.88,39.49
2011-01-13,24.73,39.65
2011-01-14,25.0,40.06
2011-01-18,24.98,40.04
2011-01-19,24.59,38.93
2011-01-20,23.92,39.12
2011-01-21,23.92,39.41
2011-01-24,24.11,39.47
2011-01-25,23.9,39.14
2011-01-26,23.77,39.16
2011-01-27,24.83,39.53
2011-01-28,24.66,38.7
2011-01-31,24.74,38.99
2011-02-01,25.31,39.66
2011-02-02,24.98,39.64
2011-02-03,25.01,39.38
2011-02-04,25.4,39.48
2011-02-07,25.6,40.05
2011-02-08,25.39,40.04
2011-02-09,25.1,40.18
2011-02-10,25.25,40.48
2011-02-11,25.75,40.84
2011-02-14,26.02,40.98
2011-02-15,26.5,40.89
2011-02-16,27.34,41.2
2011-02-17,27.42,41.32
2011-02-18,27.35,41.4
2011-02-22,26.14,40.01
2011-02-23,25.72,39.65
2011-02-24,25.63,39.66
2011-02-25,26.4,40.36
2011-02-28,26.84,40.36
2011-03-01,25.95,39.66
2011-03-02,26.11,39.68
2011-03-03,27.23,40.41
2011-03-04,26.6,39.82
2011-03-07,26.19,39.59
2011-03-08,26.55,40.05
2011-03-09,26.5,39.75
2011-03-10,25.62,38.81
2011-03-11,25.84,38.98
2011-03-14,25.42,38.62
2011-03-15,24.91,38.05
2011-03-16,24.09,37.33
2011-03-17,24.68,37.62
2011-03-18,24.85,37.98
2011-03-21,25.45,38.75
2011-03-22,25.36,38.69
2011-03-23,25.43,38.802
2011-03-24,25.93,39.08
2011-03-25,25.62,39.11
2011-03-28,25.37,38.9
2011-03-29,25.46,38.955
2011-03-30,25.59,39.39
2011-03-31,25.56,39.39
2011-04-01,26.0,40.075
2011-04-04,25.97,39.88
2011-04-05,25.75,39.88
2011-04-06,25.75,40.315
2011-04-07,25.79,40.115
2011-04-08,25.93,39.84
2011-04-11,25.47,39.66
2011-04-12,24.84,39.4
2011-04-13,24.59,39.245
2011-04-14,24.58,39.09
2011-04-15,24.98,39.36
2011-04-18,24.43,38.67
2011-04-19,24.34,38.48
2011-04-20,24.69,39.11
2011-04-21,24.8,39.34
2011-04-25,24.6,38.99
2011-04-26,24.85,39.31
2011-04-27,24.82,39.29
2011-04-28,24.97,39.16
2011-04-29,24.87,39.127
2011-05-02,25.15,39.07
2011-05-03,25.06,38.66
2011-05-04,24.57,38.28
2011-05-05,24.14,37.92
2011-05-06,24.27,38.15
2011-05-09,24.41,38.14
2011-05-10,24.5,38.57
2011-05-11,24.54,38.0
2011-05-12,25.2,38.03
2011-05-13,25.01,37.52
2011-05-16,24.64,37.07
2011-05-17,24.31,36.79
2011-05-18,24.69,37.36
2011-05-19,24.68,37.42
2011-05-20,25.0,37.08
2011-05-23,24.29,36.48
2011-05-24,24.04,36.34
2011-05-25,24.01,36.42
2011-05-26,24.23,36.44
2011-05-27,24.33,36.76
2011-05-31,24.67,37.27
2011-06-01,23.5,35.7168
2011-06-02,23.55,35.7
2011-06-03,23.06,35.24
2011-06-06,22.55,34.63
2011-06-07,22.78,34.65
2011-06-08,22.7,34.198
2011-06-09,23.17,34.75
2011-06-10,22.94,34.44
2011-06-13,22.96,34.56
2011-06-14,23.26,35.02
2011-06-15,22.91,34.41
2011-06-16,23.0,34.42
2011-06-17,23.04,34.66
2011-06-20,23.11,34.71
2011-06-21,23.37,35.21
2011-06-22,23.08,34.86
2011-06-23,22.65,34.46
2011-06-24,21.92,33.95
2011-06-27,22.32,34.31
2011-06-28,22.71,34.46
2011-06-29,23.36,35.32
2011-06-30,23.4,35.47
2011-07-01,23.56,36.15
2011-07-05,23.4,35.85
2011-07-06,23.28,35.59
2011-07-07,23.9,36.3
2011-07-08,23.57,35.76
2011-07-11,22.54,34.53
2011-07-12,22.2,34.45
2011-07-13,22.68,34.56
2011-07-14,22.33,34.19
2011-07-15,22.19,34.05
2011-07-18,21.43,33.52
2011-07-19,21.89,33.85
2011-07-20,21.84,34.34
2011-07-21,22.64,35.38
2011-07-22,22.71,35.24
2011-07-25,22.59,35.04
2011-07-26,23.04,34.97
2011-07-27,22.26,33.78
2011-07-28,22.37,33.83
2011-07-29,22.18,33.75
2011-08-01,22.18,33.66
2011-08-02,21.13,32.54
2011-08-03,21.41,32.82
2011-08-04,19.94,30.94
2011-08-05,19.56,30.6
2011-08-08,16.93,27.82
2011-08-09,18.69,29.65
2011-08-10,16.62,27.53
2011-08-11,18.2,29.51
2011-08-12,17.77,28.95
2011-08-15,18.33,29.7
2011-08-16,17.93,29.07
2011-08-17,17.86,29.09
2011-08-18,16.22,27.38
2011-08-19,16.11,26.88
2011-08-22,16.01,26.845
2011-08-23,17.1,27.93
2011-08-24,17.78,28.62
2011-08-25,17.05,28.01
2011-08-26,17.08,28.48
2011-08-29,18.11,29.79
2011-08-30,17.94,29.63
2011-08-31,18.3,29.82
2011-09-01,18.09,29.04
2011-09-02,17.01,27.88
2011-09-06,16.83,27.41
2011-09-07,17.96,28.73
2011-09-08,17.25,27.9
2011-09-09,16.46,27.2
2011-09-12,16.62,27.45
2011-09-13,16.7,27.86
2011-09-14,17.43,28.32
2011-09-15,18.41,29.34
2011-09-16,18.67,29.19
2011-09-19,18.02,28.15
2011-09-20,17.84,27.91
2011-09-21,16.9,26.76
2011-09-22,15.91,25.9
2011-09-23,15.78,26.22
2011-09-26,16.34,26.97
2011-09-27,16.53,27.51
2011-09-28,15.83,26.37
2011-09-29,16.46,27.11
2011-09-30,15.51,25.77
2011-10-03,14.85,24.47
2011-10-04,15.94,25.97
2011-10-05,16.41,26.47
2011-10-06,16.87,27.15
2011-10-07,16.2,26.18
2011-10-10,17.11,27.57
2011-10-11,16.94,27.44
2011-10-12,17.98,28.1
2011-10-13,17.7,27.71
2011-10-14,18.15,27.97
2011-10-17,17.55,27.33
2011-10-18,18.41,28.53
2011-10-19,17.78,27.87
2011-10-20,18.09,28.31
2011-10-21,18.74,28.88
2011-10-24,19.67,29.77
2011-10-25,18.8,28.33
2011-10-26,19.22,28.84
2011-10-27,20.84,31.27
2011-10-28,20.9,31.14
2011-10-31,20.07,29.68
2011-11-01,18.82,28.1
2011-11-02,19.58,29.01
2011-11-03,20.45,29.74
2011-11-04,20.03,29.43
2011-11-07,19.96,29.54
2011-11-08,20.28,29.97
2011-11-09,18.94,28.25
2011-11-10,19.74,28.45
2011-11-11,20.34,29.13
2011-11-14,20.1,28.56
2011-11-15,20.27,28.84
2011-11-16,19.68,28.04
2011-11-17,19.3,27.56
2011-11-18,19.39,27.59
2011-11-21,18.64,27.03
2011-11-22,18.23,26.56
2011-11-23,17.8,25.92
2011-11-25,17.91,25.85
2011-11-28,18.86,26.93
2011-11-29,18.97,26.76
2011-11-30,20.25,28.63
2011-12-01,20.23,28.23
2011-12-02,20.28,28.62
2011-12-05,20.71,29.16
2011-12-06,20.67,29.19
2011-12-07,20.96,29.48
2011-12-08,20.17,28.23
2011-12-09,20.78,28.96
2011-12-12,20.02,28.16
2011-12-13,19.32,27.7
2011-12-14,19.11,27.16
2011-12-15,19.04,27.25
2011-12-16,19.24,26.9
2011-12-19,18.67,26.26
2011-12-20,19.6,27.5
2011-12-21,19.66,27.58
2011-12-22,19.9,28.08
2011-12-23,20.22,28.2503
2011-12-27,20.1,28.28
2011-12-28,19.67,27.53
2011-12-29,20.1,28.03
2011-12-30,20.09,27.95
2012-01-03,20.56,28.78
2012-01-04,20.35,28.67
2012-01-05,20.57,28.94
2012-01-06,20.77,28.96
2012-01-09,20.89,29.07
2012-01-10,21.62,29.81
2012-01-11,21.29,29.77
2012-01-12,21.72,29.96
2012-01-13,21.62,29.737
2012-01-17,21.63,29.61
2012-01-18,21.97,30.01
2012-01-19,22.17,30.9
2012-01-20,22.44,31.14
2012-01-23,22.4,31.24
2012-01-24,22.39,31.16
2012-01-25,22.18,31.07
2012-01-26,22.78,31.06
2012-01-27,22.99,31.07
2012-01-30,22.55,30.7
2012-01-31,22.57,30.661
2012-02-01,23.18,31.3677
2012-02-02,23.15,31.44
2012-02-03,23.88,32.39
2012-02-06,23.89,32.3
2012-02-07,24.28,32.24
2012-02-08,24.32,32.05
2012-02-09,24.44,32.099
2012-02-10,24.1,31.753
2012-02-13,24.36,31.99
2012-02-14,23.95,31.76
2012-02-15,23.85,31.69
2012-02-16,24.73,31.89
2012-02-17,24.7,32.56
2012-02-21,24.8,32.47
2012-02-22,24.76,32.289
2012-02-23,24.95,32.572
2012-02-24,24.88,32.608
2012-02-27,24.77,32.69
2012-02-28,24.96,32.9
2012-02-29,24.77,32.74
2012-03-01,24.88,33.11
2012-03-02,24.77,32.75
2012-03-05,24.42,32.5
