date,PNC,KBE
2010-11-04,55.93,23.62
2010-11-05,58.41,24.19
2010-11-08,57.65,24.05
2010-11-09,56.25,23.63
2010-11-10,57.32,24.0175
2010-11-11,57.81,23.875
2010-11-12,56.64,23.35
2010-11-15,56.96,23.5
2010-11-16,55.61,23.11
2010-11-17,55.4,22.72
2010-11-18,56.23,22.88
2010-11-19,56.29,22.88
2010-11-22,55.58,22.49
2010-11-23,54.65,22.1
2010-11-24,54.66,22.35
2010-11-26,54.12,22.15
2010-11-29,54.32,22.41
2010-11-30,53.85,22.26
2010-12-01,55.17,22.76
2010-12-02,56.57,23.65
2010-12-03,57.26,23.89
2010-12-06,57.31,23.78
2010-12-07,57.86,23.79
2010-12-08,60.18,24.44
2010-12-09,61.57,25.05
2010-12-10,60.67,25.31
2010-12-13,60.0,25.2
2010-12-14,60.41,24.81
2010-12-15,58.56,24.54
2010-12-16,58.42,24.59
2010-12-17,58.5,24.88
2010-12-20,58.63,25.0
2010-12-21,60.11,25.49
2010-12-22,60.62,26.0671
2010-12-23,60.11,25.7
2010-12-27,60.4,25.97
2010-12-28,60.79,26.1
2010-12-29,61.19,26.01
2010-12-30,60.88,25.93
2010-12-31,60.72,25.91
2011-01-03,61.46,26.5
2011-01-04,60.63,26.4225
2011-01-05,61.8,26.81
2011-01-06,62.28,26.48
2011-01-07,61.94,26.23
2011-01-10,61.62,26.19
2011-01-11,61.72,26.32
2011-01-12,62.2,26.7225
2011-01-13,61.13,26.55
2011-01-14,64.22,27.14
2011-01-18,63.24,26.89
2011-01-19,61.81,26.22
2011-01-20,61.0,26.18
2011-01-21,60.83,26.61
2011-01-24,60.48,26.34
2011-01-25,60.88,26.3075
2011-01-26,61.17,26.16
2011-01-27,61.67,26.46
2011-01-28,60.11,26.04
2011-01-31,60.0,26.32
2011-02-01,62.29,26.96
2011-02-02,62.33,26.8075
2011-02-03,62.11,26.8975
2011-02-04,62.0,26.905
2011-02-07,62.75,27.285
2011-02-08,64.31,27.4975
2011-02-09,64.21,27.19
2011-02-10,63.85,27.08
2011-02-11,64.49,27.6175
2011-02-14,64.94,27.62
2011-02-15,64.61,27.52
2011-02-16,64.89,27.62
2011-02-17,64.03,27.38
2011-02-18,63.99,27.415
2011-02-22,61.86,26.47
2011-02-23,61.56,26.42
2011-02-24,61.17,26.245
2011-02-25,61.88,26.63
2011-02-28,61.7,26.5
2011-03-01,60.35,25.92
2011-03-02,59.99,25.87
2011-03-03,60.95,26.375
2011-03-04,60.95,25.98
2011-03-07,60.7,25.78
2011-03-08,63.37,26.48
2011-03-09,63.1,26.49
2011-03-10,62.21,25.88
2011-03-11,62.91,26.12
2011-03-14,62.56,25.9
2011-03-15,62.13,25.69
2011-03-16,60.76,25.3
2011-03-17,62.01,25.65
2011-03-18,62.76,25.81
2011-03-21,62.3,25.815
2011-03-22,61.43,25.68
2011-03-23,61.27,25.52
2011-03-24,61.41,25.6
2011-03-25,61.77,25.71
2011-03-28,61.47,25.63
2011-03-29,62.03,25.69
2011-03-30,62.93,25.9
2011-03-31,62.99,25.82
2011-04-01,63.72,26.04
2011-04-04,63.6,26.03
2011-04-05,63.01,26.03
2011-04-06,63.77,26.43
2011-04-07,63.49,26.3
2011-04-08,63.23,26.08
2011-04-11,63.26,26.025
2011-04-12,63.13,25.99
2011-04-13,62.54,25.7
2011-04-14,61.87,25.46
2011-04-15,61.9,25.4
2011-04-18,60.97,25.1
2011-04-19,60.97,25.11
2011-04-20,60.75,24.99
2011-04-21,61.62,25.09
2011-04-25,61.18,25.1
2011-04-26,62.01,25.3
2011-04-27,62.25,25.56
2011-04-28,62.51,25.68
2011-04-29,62.34,25.61
2011-05-02,62.89,25.54
2011-05-03,64.13,25.75
2011-05-04,63.51,25.55
2011-05-05,62.5,25.19
2011-05-06,62.52,25.21
2011-05-09,62.08,25.16
2011-05-10,63.46,25.38
2011-05-11,63.44,25.15
2011-05-12,63.19,25.08
2011-05-13,61.8,24.63
2011-05-16,61.9,24.669
2011-05-17,62.76,25.07
2011-05-18,63.03,25.14
2011-05-19,62.97,25.16
2011-05-20,61.67,24.75
2011-05-23,61.09,24.38
2011-05-24,60.68,24.35
2011-05-25,61.11,24.335
2011-05-26,61.74,24.42
2011-05-27,62.54,24.77
2011-05-31,62.42,24.95
2011-06-01,59.97,23.93
2011-06-02,60.19,23.97
2011-06-03,59.34,23.75
2011-06-06,59.17,23.26
2011-06-07,59.59,23.235
2011-06-08,59.2,23.1
2011-06-09,59.14,23.38
2011-06-10,59.07,23.28
2011-06-13,59.25,23.52
2011-06-14,59.86,23.65
2011-06-15,58.5,23.27
2011-06-16,59.47,23.37
2011-06-17,57.79,23.56
2011-06-20,56.66,23.43
2011-06-21,56.9,23.69
2011-06-22,56.61,23.48
2011-06-23,56.69,23.24
2011-06-24,56.61,22.99
2011-06-27,57.85,23.32
2011-06-28,57.91,23.36
2011-06-29,58.94,23.94
2011-06-30,59.61,23.99
2011-07-01,60.89,24.44
2011-07-05,60.27,24.17
2011-07-06,59.78,24.0
2011-07-07,60.59,24.4
2011-07-08,59.83,24.03
2011-07-11,58.48,23.34
2011-07-12,58.05,23.285
2011-07-13,58.01,23.35
2011-07-14,57.26,23.08
2011-07-15,56.82,23.07
2011-07-18,55.93,22.7
2011-07-19,55.83,22.99
2011-07-20,55.59,23.29
2011-07-21,56.77,23.85
2011-07-22,56.59,23.77
2011-07-25,56.51,23.65
2011-07-26,55.82,23.58
2011-07-27,54.5,23.02
2011-07-28,54.59,23.0
2011-07-29,54.29,22.88
2011-08-01,54.9,22.84
2011-08-02,53.22,22.09
2011-08-03,53.79,22.24
2011-08-04,51.33,21.09
2011-08-05,51.18,20.62
2011-08-08,46.99,18.45
2011-08-09,49.32,19.7001
2011-08-10,45.28,18.1
2011-08-11,47.65,19.14
2011-08-12,46.88,18.8
2011-08-15,47.78,19.53
2011-08-16,47.04,19.15
2011-08-17,47.31,19.28
2011-08-18,45.0,18.22
2011-08-19,43.12,17.68
2011-08-22,42.98,17.48
2011-08-23,45.0,18.15
2011-08-24,46.87,18.77
2011-08-25,46.58,18.77
2011-08-26,46.84,18.99
2011-08-29,49.31,19.83
2011-08-30,49.26,19.69
2011-08-31,50.14,19.9
2011-09-01,48.54,19.33
2011-09-02,46.23,18.44
2011-09-06,46.0,18.15
2011-09-07,49.08,19.19
2011-09-08,47.8,18.7
2011-09-09,46.38,18.07
2011-09-12,48.169,18.38
2011-09-13,48.64,18.59
2011-09-14,49.76,18.92
2011-09-15,51.27,19.37
2011-09-16,51.34,19.21
2011-09-19,49.94,18.67
2011-09-20,50.19,18.62
2011-09-21,47.69,17.57
2011-09-22,46.74,17.09
2011-09-23,47.29,17.38
2011-09-26,49.42,18.29
2011-09-27,49.2,18.29
2011-09-28,47.9,17.65
2011-09-29,49.79,18.25
2011-09-30,48.19,17.54
2011-10-03,46.24,16.73
2011-10-04,46.59,17.47
2011-10-05,47.21,17.67
2011-10-06,49.27,18.46
2011-10-07,47.75,17.7
2011-10-10,50.3,18.61
2011-10-11,49.9,18.75
2011-10-12,51.97,19.34
2011-10-13,51.28,18.78
2011-10-14,51.16,18.91
2011-10-17,49.01,18.17
2011-10-18,51.22,19.25
2011-10-19,51.33,18.7
2011-10-20,53.1,19.03
2011-10-21,54.06,19.36
2011-10-24,54.98,19.79
2011-10-25,53.02,19.13
2011-10-26,53.89,19.5
2011-10-27,55.97,20.49
