date,PHM,XHB
2010-11-04,7.75,16.53
2010-11-05,7.86,16.66
2010-11-08,7.95,16.63
2010-11-09,7.75,16.26
2010-11-10,7.9,16.49
2010-11-11,7.87,16.55
2010-11-12,7.49,16.17
2010-11-15,7.08,15.89
2010-11-16,6.89,15.61
2010-11-17,6.74,15.6
2010-11-18,6.71,15.55
2010-11-19,6.5,15.56
2010-11-22,6.5,15.6
2010-11-23,6.27,15.4
2010-11-24,6.42,15.78
2010-11-26,6.21,15.59
2010-11-29,6.24,15.58
2010-11-30,6.26,15.64
2010-12-01,6.54,16.2
2010-12-02,6.75,16.65
2010-12-03,6.71,16.8
2010-12-06,6.68,16.89
2010-12-07,6.64,16.93
2010-12-08,6.84,16.96
2010-12-09,6.96,17.02
2010-12-10,7.02,17.15
2010-12-13,7.03,17.23
2010-12-14,6.82,17.13
2010-12-15,6.71,17.02
2010-12-16,6.88,17.25
2010-12-17,7.06,17.11
2010-12-20,7.27,17.36
2010-12-21,7.34,17.56
2010-12-22,7.64,17.6525
2010-12-23,7.38,17.46
2010-12-27,7.49,17.61
2010-12-28,7.37,17.43
2010-12-29,7.37,17.42
2010-12-30,7.44,17.43
2010-12-31,7.52,17.39
2011-01-03,7.78,17.65
2011-01-04,7.69,17.3275
2011-01-05,7.98,17.57
2011-01-06,8.23,17.69
2011-01-07,8.61,17.7675
2011-01-10,8.2,17.71
2011-01-11,8.28,17.94
2011-01-12,8.42,18.1325
2011-01-13,8.35,18.02
2011-01-14,8.69,18.3675
2011-01-18,8.55,18.32
2011-01-19,8.28,17.88
2011-01-20,8.38,17.86
2011-01-21,8.25,17.66
2011-01-24,8.43,17.93
2011-01-25,8.33,17.9625
2011-01-26,8.43,18.3125
2011-01-27,8.24,18.33
2011-01-28,8.08,17.81
2011-01-31,7.89,17.69
2011-02-01,8.1,18.0
2011-02-02,7.92,17.76
2011-02-03,7.54,17.6825
2011-02-04,7.54,17.7375
2011-02-07,7.61,18.0175
2011-02-08,7.78,18.355
2011-02-09,7.82,18.48
2011-02-10,7.65,18.42
2011-02-11,7.65,18.47
2011-02-14,7.47,18.35
2011-02-15,7.3,18.12
2011-02-16,7.48,18.46
