date,ODP,XRT
2010-11-04,4.65,44.93
2010-11-05,4.69,45.3
2010-11-08,4.6,45.45
2010-11-09,4.6,44.96
2010-11-10,4.71,45.32
2010-11-11,4.72,45.34
2010-11-12,4.48,44.6
2010-11-15,4.53,44.5
2010-11-16,4.39,44.27
2010-11-17,4.51,45.12
2010-11-18,4.68,45.38
2010-11-19,4.69,46.0
2010-11-22,4.64,46.43
2010-11-23,4.64,46.58
2010-11-24,4.65,47.33
2010-11-26,4.49,47.37
2010-11-29,4.4,46.96
2010-11-30,4.35,47.11
2010-12-01,4.58,47.6825
2010-12-02,4.68,47.85
2010-12-03,4.89,48.08
2010-12-06,4.84,48.0425
2010-12-07,5.02,47.78
2010-12-08,5.03,47.57
2010-12-09,4.95,47.86
2010-12-10,4.87,48.14
2010-12-13,4.77,47.45
2010-12-14,4.68,47.26
2010-12-15,4.71,47.32
2010-12-16,4.76,48.06
2010-12-17,4.9,47.96
2010-12-20,4.8,47.9
2010-12-21,4.84,48.06
2010-12-22,5.28,48.03
2010-12-23,5.45,48.45
2010-12-27,5.4,48.23
2010-12-28,5.36,48.1
2010-12-29,5.42,48.47
2010-12-30,5.53,48.73
2010-12-31,5.4,48.36
2011-01-03,5.83,48.71
2011-01-04,5.81,47.8
2011-01-05,6.1,47.76
2011-01-06,6.01,47.08
2011-01-07,5.99,46.935
2011-01-10,6.01,47.36
2011-01-11,5.87,46.76
2011-01-12,5.87,47.2
2011-01-13,5.85,47.03
2011-01-14,5.76,47.02
2011-01-18,5.74,46.97
2011-01-19,5.51,46.52
2011-01-20,5.91,46.9575
2011-01-21,5.6,46.65
2011-01-24,5.59,46.83
2011-01-25,5.34,46.75
2011-01-26,5.47,46.79
2011-01-27,5.38,47.38
2011-01-28,5.12,46.27
2011-01-31,5.25,46.43
2011-02-01,5.34,47.06
2011-02-02,5.32,46.13
2011-02-03,5.54,47.45
2011-02-04,5.63,48.11
2011-02-07,5.69,48.38
2011-02-08,5.76,48.91
2011-02-09,5.75,48.9775
2011-02-10,5.8,49.17
2011-02-11,6.07,49.68
2011-02-14,6.06,49.43
2011-02-15,5.95,49.25
2011-02-16,5.82,50.04
2011-02-17,5.62,50.02
2011-02-18,5.47,50.12
2011-02-22,5.49,49.2
2011-02-23,5.47,48.36
2011-02-24,5.11,48.5
2011-02-25,5.41,49.21
2011-02-28,5.31,49.22
2011-03-01,5.2,48.3
2011-03-02,5.24,48.75
2011-03-03,5.47,49.34
2011-03-04,5.35,49.11
