date,URBN,XRT,beta,value,price
2010-05-12,39.41,43.07,0.8902783442924561,1.0657117113239138,31.065711711323914
2010-05-13,36.78,41.58,0.8910266018020149,-0.26888610292777315,29.731113897072227
2010-05-14,35.88,40.81,0.8912511281985865,-0.49195854178431375,29.508041458215686
2010-05-17,36.0,41.14,0.8912667781577522,-0.6667152534099259,29.333284746590074
2010-05-18,35.06,40.21,0.8912903458750385,-0.7787848076352972,29.221215192364703
2010-05-19,35.35,39.97,0.8912544524319328,-0.27344046370435393,29.726559536295646
2010-05-20,34.41,38.92,0.8914239302935756,-0.28421936702596895,29.71578063297403
2010-05-21,35.55,39.75,0.8917432991166301,0.10320386011395044,30.10320386011395
2010-05-24,35.74,39.56,0.8922831556946691,0.44127836071888993,30.44127836071889
2010-05-25,36.5,39.99,0.8928396569033437,0.7953421204352864,30.795342120435286
2010-05-26,35.33,39.26,0.8934720482399054,0.2522873861013153,30.252287386101315
2010-05-27,36.49,40.78,0.8938476721096387,0.038891931368937094,30.038891931368937
2010-05-28,36.3,40.64,0.8940855988477665,-0.035638737173236734,29.964361262826763
2010-06-01,36.35,39.67,0.89419852081967,0.8771446790836919,30.877144679083692
2010-06-02,37.79,40.39,0.8946058093491434,1.6568713603880951,31.656871360388095
2010-06-03,39.15,40.66,0.8952892713108115,2.747538228502407,32.74753822850241
2010-06-04,36.88,38.72,0.8961700562358513,2.180295422547843,32.18029542254784
2010-06-07,36.08,37.76,0.8966958791943415,2.2207636016216696,32.22076360162167
2010-06-08,36.0,38.24,0.8972281600653186,1.6899951591022173,31.689995159102217
2010-06-09,36.02,38.43,0.8976822627146228,1.5220706438770506,31.52207064387705
2010-06-10,37.29,39.49,0.898028846599959,1.8268408477676203,31.82684084776762
2010-06-11,37.12,39.75,0.8987658547655829,1.3940572730680785,31.39405727306808
2010-06-14,37.575,40.17,0.8995423125040132,1.440385306713793,31.440385306713793
2010-06-15,38.06,40.72,0.9003302418868855,1.398552550366027,31.398552550366027
2010-06-16,36.93,40.23,0.9012109839371448,0.6742821162086656,30.674282116208666
2010-06-17,36.54,39.86,0.9017897206940786,0.5946617331340249,30.594661733134025
2010-06-18,36.53,39.41,0.9025067316574283,0.9622097053807508,30.96220970538075
2010-06-21,35.77,38.57,0.9031989143910241,0.9336178719382033,30.933617871938203
2010-06-22,34.7,37.82,0.9037134284761557,0.5215581350317962,30.521558135031796
2010-06-23,35.07,38.09,0.9037564406789357,0.6459171745393348,30.645917174539335
2010-06-24,34.66,37.18,0.9040271045311844,1.0482722535305626,31.048272253530563
2010-06-25,36.06,37.44,0.9041918126193397,2.207058535531928,32.20705853553193
2010-06-28,35.8,37.12,0.9047070400727207,2.217274672500608,32.21727467250061
2010-06-29,34.62,35.82,0.905506425050785,2.184759854680877,32.18475985468088
2010-06-30,34.39,35.65,0.9060295061073598,2.0900481072726294,32.09004810727263
2010-07-01,35.25,36.33,0.9064902018091247,2.3172109682745017,32.3172109682745
2010-07-02,34.69,35.8,0.907330089414699,2.20758279895378,32.20758279895378
2010-07-06,33.68,35.31,0.9081761952889732,1.612298544346352,31.612298544346352
2010-07-07,34.43,36.4225,0.9088842129607263,1.3261647534379435,31.326164753437943
2010-07-08,33.97,36.42,0.9096945168042969,0.8389256979875057,30.838925697987506
2010-07-09,34.12,36.95,0.9103022899076869,0.4843303879109655,30.484330387910965
2010-07-12,33.66,36.57,0.9108000992748811,0.35204036951759576,30.352040369517596
2010-07-13,33.91,37.57,0.9112139692364452,-0.32430882421324725,29.675691175786753
2010-07-14,33.26,37.4,0.9115862020649563,-0.8333239572293678,29.166676042770632
2010-07-15,33.32,37.62,0.9118241604183768,-0.9828249149393287,29.01717508506067
2010-07-16,31.96,36.28,0.9120009902588679,-1.1273959265917313,28.87260407340827
2010-07-19,32.21,36.42,0.9122607244833013,-1.014535585681834,28.985464414318166
2010-07-20,33.64,37.3,0.9121306112551463,-0.38247179981695467,29.617528200183045
2010-07-21,32.94,36.6,0.9125973477579632,-0.4610629279414553,29.538937072058545
2010-07-22,33.87,37.64,0.9128416298153611,-0.48935894625019216,29.510641053749808
2010-07-23,34.19,38.45,0.9130452722715563,-0.9165907188413414,29.08340928115866
2010-07-26,34.62,39.11,0.9133814547247999,-1.102348694286924,28.897651305713076
2010-07-27,32.97,38.46,0.9139964787959787,-2.182304574493344,27.817695425506656
2010-07-28,32.56,37.94,0.9137901931871582,-2.109199929520777,27.890800070479223
2010-07-29,32.02,37.84,0.9135489755477987,-2.5486932347287024,27.451306765271298
2010-07-30,32.16,38.12,0.9130913158330258,-2.6470409595549427,27.352959040445057
2010-08-02,32.39,38.97,0.9123281147732557,-3.1634266327137723,26.836573367286228
2010-08-03,31.56,37.8,0.91156574309821,-2.8971850891123374,27.102814910887663
2010-08-04,32.21,38.52,0.9109581469347274,-2.880107819925705,27.119892180074295
2010-08-05,33.22,38.43,0.9096293863770725,-1.737057318470896,28.262942681529104
2010-08-06,33.11,38.18,0.9087245445004324,-1.5851031090265053,28.414896890973495
2010-08-09,33.58,38.75,0.9079113992766761,-1.6015667219712029,28.398433278028797
2010-08-10,32.89,38.11,0.9076665136521344,-1.7011708352828379,28.298829164717162
2010-08-11,31.88,37.28,0.9074693969766587,-1.9504591192898424,28.049540880710158
2010-08-12,31.61,37.51,0.9072665391723287,-2.4215678843540474,27.578432115645953
2010-08-13,30.9,36.88,0.9068830328059896,-2.545846249884903,27.454153750115097
2010-08-16,31.36,36.97,0.9062210268378817,-2.14299136219649,27.85700863780351
2010-08-17,32.95,37.44,0.9056978908923716,-0.9593290350103914,29.04067096498961
2010-08-18,33.43,37.91,0.9054919862832276,-0.8972011999971556,29.102798800002844
2010-08-19,33.16,37.34,0.905138586137441,-0.6378748063720536,29.362125193627946
2010-08-20,32.95,37.43,0.9047250338643268,-0.9138580175417488,29.08614198245825
2010-08-23,32.65,37.05,0.9044166826264739,-0.8586380913108584,29.14136190868914
2010-08-24,31.75,36.37,0.9042337933916886,-1.1369830656557127,28.863016934344287
2010-08-25,32.34,36.98,0.9039652637872826,-1.0886354548537014,28.9113645451463
2010-08-26,31.52,36.52,0.9032710811474726,-1.4674598835057004,28.5325401164943
2010-08-27,31.05,36.97,0.9020295219865678,-2.2980314278434086,27.70196857215659
2010-08-30,30.7,36.04,0.8998568717695427,-1.7308416585743167,28.269158341425683
2010-08-31,30.32,35.92,0.898198599962343,-1.9432937106473602,28.05670628935264
2010-09-01,31.19,37.36,0.8964172560754426,-2.3001486869785346,27.699851313021465
2010-09-02,32.58,38.18,0.8946318326453273,-1.5770433703985987,28.4229566296014
2010-09-03,33.1,38.77,0.8931818241368388,-1.5286593217852413,28.47134067821476
2010-09-07,32.29,38.19,0.891545291814522,-1.7581146943965962,28.241885305603404
2010-09-08,33.34,38.59,0.8899653993226481,-1.0037647598609851,28.996235240139015
2010-09-09,33.32,38.38,0.888642026616874,-0.786080981555628,29.213919018444372
2010-09-10,33.18,38.7,0.8873814455028345,-1.1616619409596964,28.838338059040304
2010-09-13,33.71,39.54,0.886261706282516,-1.3327878664106834,28.667212133589317
2010-09-14,34.76,40.32,0.8850632817628771,-0.9257515206792064,29.074248479320794
2010-09-15,34.97,40.3,0.8838508846793104,-0.649190652576209,29.35080934742379
2010-09-16,34.82,40.29,0.8827750936823554,-0.7470085244620961,29.252991475537904
2010-09-17,34.11,40.33,0.8818337264647297,-1.4543541883225473,28.545645811677453
2010-09-20,34.13,41.11,0.8804786930467675,-2.0664790711526067,27.933520928847393
2010-09-21,33.61,40.69,0.8786425782191767,-2.141966507738296,27.858033492261704
2010-09-22,33.4,40.6,0.8762372307997467,-2.1752315704697196,27.82476842953028
2010-09-23,33.43,40.65,0.8737899599057316,-2.0895618701679908,27.91043812983201
2010-09-24,34.67,41.84,0.8714223319308759,-1.7903103679878498,28.20968963201215
2010-09-27,34.37,41.65,0.8691889945717673,-1.8317216239141132,28.168278376085887
2010-09-28,34.87,42.2,0.8667788781244911,-1.708068656853527,28.291931343146473
2010-09-29,31.96,42.02,0.8644582054271934,-4.364533792050672,25.635466207949328
2010-09-30,31.44,41.82,0.8611089345439705,-4.571575642628847,25.428424357371153
2010-10-01,31.47,41.97,0.8576848851951321,-4.527034631639694,25.472965368360306
2010-10-04,31.49,41.57,0.854427497581308,-4.0285510744549775,25.971448925545022
2010-10-05,32.15,42.22,0.8514958531376865,-3.8001549194731226,26.199845080526877
2010-10-06,32.06,42.02,0.8486793305324798,-3.6015054689748,26.3984945310252
2010-10-07,31.46,42.4,0.8461538342799959,-4.4169225734718225,25.583077426528178
2010-10-08,31.28,42.83,0.8434159647588618,-4.843505770622052,25.156494229377948
