date,VZ,XLK,beta,value,price
2010-03-31,31.02,23.1,1.3510348005048605,-0.18890389166227806,29.811096108337722
2010-04-01,31.28,23.06,1.3494443345632652,0.16181364497110806,30.161813644971108
2010-04-05,31.46,23.33,1.3480203861380433,0.010684391399450988,30.01068439139945
2010-04-06,31.2,23.35,1.3472993733989589,-0.2594403688656932,29.740559631134307
2010-04-07,30.24,23.26,1.3464096627550142,-1.0774887556816317,28.92251124431837
2010-04-08,30.16,23.3,1.3450016699108074,-1.1785389089218121,28.821461091078188
2010-04-09,30.08,23.48,1.3432972736248316,-1.4606199847110481,28.539380015288952
2010-04-12,29.94,23.53,1.341065182820709,-1.615263751771284,28.384736248228716
2010-04-13,30.07,23.6,1.338918893736732,-1.5284858921868754,28.471514107813125
2010-04-14,29.85,23.94,1.3373619153891945,-2.166444254417314,27.833555745582686
2010-04-15,29.54,24.05,1.3354182056020032,-2.5768078447281795,27.42319215527182
2010-04-16,29.58,23.73,1.333003019959152,-2.052161663630681,27.94783833636932
2010-04-19,29.73,23.78,1.3310180867315118,-1.921610102475352,28.078389897524648
2010-04-20,29.76,23.91,1.328928536500435,-2.0146813077254,27.9853186922746
2010-04-21,29.56,23.96,1.3262137706100994,-2.216081943817983,27.783918056182017
2010-04-22,29.28,24.02,1.32322004350703,-2.5037454450388594,27.49625455496114
2010-04-23,29.05,24.08,1.3202698693383377,-2.742098453667168,27.257901546332832
2010-04-26,28.94,24.05,1.3174691423227232,-2.745132872861493,27.254867127138507
2010-04-27,28.75,23.58,1.3144528689899748,-2.244798650783604,27.755201349216396
2010-04-28,29.12,23.65,1.3114509407917507,-1.8958147497249023,28.104185250275098
2010-04-29,29.22,23.89,1.3087514030780127,-2.046071019533727,27.953928980466273
2010-04-30,28.9,23.389,1.3059861637280556,-1.6457103834354925,28.354289616564508
2010-05-03,29.29,23.71,1.3039390501800152,-1.6263948797681635,28.373605120231836
2010-05-04,28.75,23.03,1.3017420021949686,-1.2291183105501275,28.770881689449872
2010-05-05,28.68,22.93,1.2999493066507728,-1.1278376015022218,28.872162398497778
2010-05-06,28.01,22.24,1.2983876850891063,-0.8661421163817202,29.13385788361828
2010-05-07,28.19,21.75,1.2969117287098764,-0.017830099439809288,29.98216990056019
2010-05-10,28.61,22.75,1.2958871007520822,-0.8714315421098711,29.12856845789013
2010-05-11,28.4,22.6,1.2942990956820821,-0.8511595624150594,29.14884043758494
2010-05-12,28.7,23.19,1.2928175074846853,-1.2804379985698553,28.719562001430145
2010-05-13,28.69,22.85,1.2910854506385607,-0.8113025470911133,29.188697452908887
2010-05-14,28.51,22.41,1.2897617939320007,-0.39356180201613356,29.606438197983866
2010-05-17,28.66,22.52,1.2888396866489253,-0.3646697433337991,29.6353302566662
2010-05-18,28.42,22.18,1.2879618196556093,-0.14699315996141138,29.85300684003859
2010-05-19,28.51,22.01,1.2872070463338687,0.17857291019154786,30.178572910191548
2010-05-20,27.76,21.31,1.2866171302909777,0.34218895349926726,30.342188953499267
2010-05-21,27.96,21.47,1.2861517147162493,0.3463226850421286,30.34632268504213
2010-05-24,27.49,21.37,1.2856876543303744,0.014854826959897593,30.014854826959898
2010-05-25,27.4,21.31,1.284982901123515,0.017014377057897434,30.017014377057897
2010-05-26,26.93,21.1,1.2844672926619358,-0.17225987516684782,29.827740124833152
2010-05-27,27.58,21.82,1.283603219734815,-0.42822225461366514,29.571777745386335
2010-05-28,27.52,21.64,1.282644007550489,-0.23641632339258223,29.763583676607418
2010-06-01,27.21,21.43,1.2817835965374524,-0.2586224737976046,29.741377526202395
2010-06-02,27.59,21.91,1.2811597643029269,-0.4802104358771295,29.51978956412287
2010-06-03,27.64,22.13,1.2801898810847498,-0.6906020684055107,29.30939793159449
2010-06-04,27.21,21.42,1.2789411491414717,-0.18491941461032724,29.815080585389673
2010-06-07,27.08,21.11,1.278278744128444,0.09553571144854445,30.095535711448544
2010-06-08,27.68,21.15,1.277810513874155,0.6543076315616254,30.654307631561625
2010-06-09,27.78,21.04,1.2777730634963205,0.8956547440374187,30.89565474403742
2010-06-10,28.34,21.55,1.2777824134334683,0.8037889905087567,30.803788990508757
2010-06-11,28.56,21.74,1.2778468012703403,0.7796105403828015,30.7796105403828
2010-06-14,28.63,21.7,1.2778025014015824,0.9016857195856645,30.901685719585664
2010-06-15,29.11,22.27,1.2777581891848506,0.6543251268533758,30.654325126853376
2010-06-16,29.18,22.33,1.2772803803926025,0.6583291058331895,30.65832910583319
2010-06-17,29.09,22.41,1.276774209111074,0.47748997382083047,30.47748997382083
2010-06-18,29.13,22.33,1.2760834089247417,0.6350574787105181,30.635057478710518
2010-06-21,29.06,22.17,1.2757805254086694,0.7759457516897967,30.775945751689797
2010-06-22,29.06,21.98,1.2757189263821611,1.0196979981200975,31.019697998120098
2010-06-23,29.33,21.94,1.2756786641289692,1.3416101090104107,31.34161010901041
2010-06-24,28.96,21.5,1.2758703289277726,1.528787928052889,31.52878792805289
2010-06-25,28.55,21.475,1.2756821314464246,1.1547262271880285,31.15472622718803
2010-06-28,28.71,21.52,1.275321608852325,1.2650789774979678,31.265078977497968
2010-06-29,28.62,20.72,1.2748008237558643,2.206126931778492,32.20612693177849
2010-06-30,28.02,20.4,1.27498497325144,2.010306545670627,32.01030654567063
2010-07-01,28.13,20.32,1.275236890702806,2.2171863809189816,32.21718638091898
2010-07-02,26.81,20.29,1.2762834747461695,0.9142082974002186,30.91420829740022
2010-07-06,26.61,20.49,1.2765728835556065,0.45302161594562307,30.453021615945623
