date,VTR,IYR,beta,value,price
2010-03-31,47.48,49.78,0.9616884884512853,-0.39285295510498486,29.607147044895015
2010-04-01,47.39,50.01,0.9617867683521604,-0.708956285291535,29.291043714708465
2010-04-05,48.15,51.05,0.9617278292838283,-0.9462056849394287,29.05379431506057
2010-04-06,48.86,52.08,0.9617351935421541,-1.2271688796753821,28.772831120324618
2010-04-07,47.88,50.96,0.9615966453034465,-1.12296504466363,28.87703495533637
2010-04-08,47.31,50.98,0.961568458738512,-1.7107600264893392,28.28923997351066
2010-04-09,47.0,51.7875,0.9610841393214213,-2.7721448651081104,27.22785513489189
2010-04-12,46.71,51.45,0.9600056636674653,-2.682291395691095,27.317708604308905
2010-04-13,47.32,52.62,0.9588051580197419,-3.1323274149988123,26.867672585001188
2010-04-14,46.7,52.67,0.9573901412360784,-3.725738738904248,26.274261261095752
2010-04-15,45.64,51.36,0.9556220689998103,-3.440749463830258,26.559250536169742
2010-04-16,44.3,50.29,0.9540431282575135,-3.6788289200703517,26.32117107992965
2010-04-19,44.6,50.48,0.9524916512097583,-3.481778553068594,26.518221446931406
2010-04-20,45.65,51.27,0.9509142290941903,-3.1033725256591396,26.89662747434086
2010-04-21,46.08,52.23,0.9493963905970245,-3.5069734808825928,26.493026519117407
2010-04-22,47.16,52.99,0.9478210253183879,-3.065036131621376,26.934963868378624
2010-04-23,47.99,53.68,0.9463322102060541,-2.8091130438609824,27.190886956139018
2010-04-26,48.49,54.02,0.9448336329388272,-2.549912851355444,27.450087148644556
2010-04-27,47.39,52.31,0.9434169303247703,-1.9601396252887326,28.039860374711267
2010-04-28,47.37,52.49,0.9423119425800374,-2.0919538660261665,27.908046133973833
2010-04-29,48.94,54.66,0.9411976171075399,-2.5058617510981307,27.49413824890187
2010-04-30,47.23,52.96,0.9398943484509011,-2.5468046939597286,27.45319530604027
2010-05-03,48.54,54.6,0.9386581777680794,-2.7107365061371382,27.28926349386286
2010-05-04,47.72,53.32,0.9373985356166588,-2.262089919080246,27.737910080919754
2010-05-05,46.85,52.57,0.9362038560484778,-2.3662367124684778,27.633763287531522
2010-05-06,45.76,50.455,0.9349649297578643,-1.4136555309330419,28.586344469066958
2010-05-07,45.43,49.61,0.9340806504455431,-0.9097410686033953,29.090258931396605
2010-05-10,49.3,52.88,0.9332852398986973,-0.052123485843118544,29.94787651415688
2010-05-11,48.68,52.94,0.9327265975689927,-0.6985460753024739,29.301453924697526
2010-05-12,49.44,53.8,0.9320334331558547,-0.703398703784984,29.296601296215016
2010-05-13,48.76,53.09,0.931218369638321,-0.6783832440984696,29.32161675590153
2010-05-14,47.8,51.45,0.9302622184070379,-0.06199113704210646,29.938008862957894
2010-05-17,47.71,51.37,0.9294337714810524,-0.03501284098165769,29.964987159018342
2010-05-18,46.42,50.06,0.9285651699422214,-0.06397240730760245,29.936027592692398
2010-05-19,46.21,49.64,0.9277448496975631,0.1567456610129696,30.15674566101297
2010-05-20,44.18,47.24,0.9269864365048867,0.3891607395091512,30.38916073950915
2010-05-21,45.98,48.77,0.926347262222061,0.8020440214300777,30.802044021430078
2010-05-24,45.1,47.79,0.926028719896883,0.845087476127965,30.845087476127965
2010-05-25,45.53,48.29,0.9257627631502618,0.8249161674738588,30.82491616747386
2010-05-26,45.16,48.1,0.9255249710503115,0.642248892480012,30.642248892480012
2010-05-27,47.53,50.71,0.9252436269660244,0.6108956765529072,30.610895676552907
2010-05-28,46.95,49.95,0.9249749296467902,0.747502264142831,30.74750226414283
2010-06-01,46.67,48.98,0.9247766406064494,1.3744401430961162,31.374440143096116
2010-06-02,47.92,50.06,0.9248286100331728,1.6230797817393636,31.623079781739364
2010-06-03,47.72,49.93,0.9250509356292904,1.5322067840295261,31.532206784029526
2010-06-04,45.47,47.22,0.9251979191922328,1.7821542557427676,31.782154255742768
2010-06-07,45.26,46.98,0.9255562659662676,1.7773666249047508,31.77736662490475
2010-06-08,46.14,47.8,0.9258284291775503,1.8854010853130987,31.8854010853131
2010-06-09,45.89,48.04,0.9260678077483401,1.4017025157697418,31.401702515769742
2010-06-10,47.73,50.05,0.9260743335289457,1.3799796068762618,31.37997960687626
2010-06-11,48.34,50.57,0.9262120894840747,1.501454634790342,31.501454634790342
2010-06-14,48.88,51.17,0.9264137640987333,1.475407691067815,31.475407691067815
2010-06-15,50.14,52.28,0.9266803897724454,1.6931492226965545,31.693149222696555
2010-06-16,49.78,51.9,0.9269499860175279,1.6712957256903067,31.671295725690307
2010-06-17,49.95,51.98,0.9269725381583714,1.7659674665278615,31.76596746652786
2010-06-18,49.54,51.83,0.9270326271229883,1.4918989362155202,31.49189893621552
2010-06-21,49.48,51.46,0.9269922614097511,1.776978227854201,31.7769782278542
2010-06-22,48.01,50.01,0.9269654679324056,1.6524569487003973,31.652456948700397
2010-06-23,47.88,50.04,0.9269652751239248,1.4946576327988055,31.494657632798805
2010-06-24,47.36,48.59,0.9269653420672517,2.3187540289522346,32.318754028952235
2010-06-25,48.56,49.83,0.9271792597660437,2.3586574858580462,32.358657485858046
2010-06-28,48.22,49.26,0.9275097685008289,2.53086880364917,32.53086880364917
2010-06-29,47.06,47.68,0.9279867887222262,2.8135899137242575,32.81358991372426
2010-06-30,46.95,47.21,0.9285941358828262,3.1110708449717777,33.11107084497178
2010-07-01,47.06,47.12,0.9293733547007135,3.2679275265023833,33.26792752650238
2010-07-02,46.41,46.22,0.9301973353977471,3.4162791579161293,33.41627915791613
2010-07-06,46.09,45.32,0.9312574266050448,3.885413426259369,33.88541342625937
