date,C,KBE,beta,value,price
2010-03-31,40.49999929,25.81,1.504700083468678,1.663690135673427,31.663690135673427
2010-04-01,41.80000049,25.99,1.5051112814495446,2.6821582851263415,32.68215828512634
2010-04-05,42.59999962,26.61,1.5059057800391,2.527846813159549,32.52784681315955
2010-04-06,42.90000666,27.19,1.5061872021368197,1.9467766338998729,31.946776633899873
2010-04-07,43.60000377,27.08,1.506877419814845,2.7937632414140054,32.793763241414005
2010-04-08,44.70000094,27.36,1.5085415606083663,3.4263038417551,33.4263038417551
2010-04-09,45.50000007,27.48,1.510481712582823,3.9919626082240214,33.99196260822402
2010-04-12,46.40000121,27.79,1.5132360711258832,4.347170793411706,34.347170793411706
2010-04-13,46.20000618,27.49,1.5168409437060981,4.502048637519366,34.502048637519366
2010-04-14,49.30000166,28.4,1.5208537457784983,6.107755279890647,36.10775527989065
2010-04-15,48.10000247,28.17,1.5263387939247361,5.103038645140181,35.10303864514018
2010-04-16,45.60000208,27.26,1.530515535253507,3.8781485889894043,33.878148588989404
2010-04-19,48.79999958,27.47,1.5345229914654694,6.646653004443557,36.64665300444356
2010-04-20,49.70000172,28.23,1.5418611852717758,6.173260459777772,36.17326045977777
2010-04-21,49.30000166,28.43,1.5484007111818392,5.278969441100308,35.27896944110031
2010-04-22,48.70000657,28.69,1.5544977548064431,4.101465984603145,34.101465984603145
2010-04-23,48.60000455,28.72,1.5598035917296191,3.8024453955253392,33.80244539552534
2010-04-26,46.10000416,27.89,1.5652643640212107,2.44478104744843,32.44478104744843
2010-04-27,43.39999874,27.07,1.5695603539634424,0.9119999582096128,30.911999958209613
2010-04-28,44.50000591,27.42,1.5720481580301442,1.39444541681344,31.39444541681344
2010-04-29,45.60000208,28.02,1.5751319234415038,1.4648055851690671,31.464805585169067
2010-04-30,43.70000579,27.66,1.5779402291271671,0.05417905234255471,30.054179052342555
2010-05-03,44.10000585,28.12,1.579464714064381,-0.3145419094903943,29.685458090509606
2010-05-04,42.59999962,27.35,1.5808768949599337,-0.6369834571541872,29.363016542845813
2010-05-05,41.80000049,27.35,1.5821052423365387,-1.4705778879043336,28.529422112095666
2010-05-06,40.40000628,26.11,1.5828391170103875,-0.9279230651412149,29.072076934858785
2010-05-07,40.00000621,25.7,1.5840721605276866,-0.7106483155615422,29.289351684438458
2010-05-10,42.20000056,27.25,1.5855076645543074,-1.005083299104875,28.994916700895125
2010-05-11,41.69999848,27.4,1.5867086910361021,-1.7758196543891955,28.224180345610804
2010-05-12,41.80000049,27.77,1.5874132429981669,-2.2824652680590916,27.71753473194091
2010-05-13,40.89999835,27.3,1.5875980037315205,-2.4414271518705135,27.558572848129486
2010-05-14,39.80000218,26.52,1.587166466261848,-2.29165250526421,27.70834749473579
2010-05-17,38.600003,26.48,1.5867817645160307,-3.41797812438449,26.58202187561551
2010-05-18,37.30000179,25.45,1.586011145811743,-3.0639818709088544,26.936018129091146
2010-05-19,38.10000092,25.33,1.5857311618264864,-2.066569409064897,27.933430590935103
2010-05-20,36.29999764,24.13,1.5862119828852628,-1.9752975070213878,28.024702492978612
2010-05-21,37.50000583,25.06,1.5866928399552824,-2.262516739279377,27.737483260720623
2010-05-24,37.80000387,24.24,1.5871456376789213,-0.6724063873370483,29.32759361266295
2010-05-25,37.80000387,24.45,1.588624225244345,-1.041858437224235,28.958141562775765
2010-05-26,38.600003,24.36,1.589879112774486,-0.12945218718648022,29.87054781281352
2010-05-27,40.20000225,25.37,1.5917741901753495,-0.1833089547486182,29.816691045251382
2010-05-28,39.59999715,24.77,1.593625227389006,0.12590026757432327,30.125900267574323
2010-06-01,38.50000098,24.22,1.5955149661748302,-0.14337150075438387,29.856628499245616
2010-06-02,39.19999809,24.95,1.5974573897257947,-0.6565637836585765,29.343436216341424
2010-06-03,39.59999715,24.77,1.5988315235890311,-0.003059689300300761,29.9969403106997
2010-06-04,37.90000589,23.67,1.599254218800813,0.04565853098475969,30.04565853098476
2010-06-07,36.39999966,23.16,1.5994211552463702,-0.6425942955059369,29.357405704494063
2010-06-08,37.19999978,23.63,1.5982572616033603,-0.5668193116874036,29.433180688312596
2010-06-09,38.70000501,23.43,1.5981381963811692,1.2556270687892024,31.255627068789202
2010-06-10,39.00000306,24.34,1.5995956622746081,0.06584464023603687,30.065844640236037
2010-06-11,38.79999803,24.3,1.5998811710725005,-0.07711442706176541,29.922885572938235
2010-06-14,38.79999803,24.13,1.6005438393372993,0.17887518679096814,30.178875186790968
2010-06-15,39.9000042,24.8,1.6011363750798258,0.19182209802031736,30.191822098020317
2010-06-16,39.9000042,24.74,1.602244604442913,0.26047268608233054,30.26047268608233
2010-06-17,39.59999715,24.7,1.6028432583318235,0.009768669203957359,30.009768669203957
2010-06-18,40.09999923,24.84,1.6029730094175307,0.2821496760685349,30.282149676068535
2010-06-21,40.20000225,24.82,1.6032649484203718,0.4069662302063648,30.406966230206365
2010-06-22,39.40000212,24.48,1.6029385423396005,0.1600666035265803,30.16006660352658
2010-06-23,38.90000004,24.3,1.602142916288378,-0.03207282580758175,29.96792717419242
2010-06-24,37.80000387,23.74,1.6019215667624083,-0.22961412493957312,29.770385875060427
2010-06-25,39.40000212,24.41,1.6019879723056358,0.2954757160194319,30.295475716019432
2010-06-28,40.00000621,24.34,1.602700029995567,0.9902874799079058,30.990287479907906
2010-06-29,37.30000179,23.28,1.6031984165368844,-0.02245734697866908,29.97754265302133
2010-06-30,37.59999884,22.89,1.6032255973263816,0.9021649171991228,30.902164917199123
