date,HAL,XES,beta,value,price
2010-03-31,30.13,296.99997,0.10540423131057249,-1.1750535371130901,28.82494646288691
2010-04-01,30.74,304.09989,0.10532760140628111,-1.290112001613938,28.709887998386062
2010-04-05,31.85,310.99991,0.10526244763161491,-0.8866117398119471,29.113388260188053
2010-04-06,32.2,313.09998,0.10521040840205802,-0.7413767664761934,29.258623233523807
2010-04-07,31.63,308.9,0.10516231410812307,-0.8546388279992136,29.145361172000786
2010-04-08,31.66,308.49991,0.10504967695852795,-0.7478158872349461,29.252184112765054
2010-04-09,31.57,308.99994,0.10493251783186298,-0.8541417140945882,29.145858285905412
2010-04-12,31.5,310.0,0.10479337506981676,-0.9859462716431935,29.014053728356807
2010-04-13,31.42,308.09998,0.10461533233610262,-0.8119818004465742,29.188018199553426
2010-04-14,32.43,314.59992,0.10444150945702885,-0.42729051986052013,29.57270948013948
2010-04-15,32.52,315.59998,0.10429233871804132,-0.39466001356706215,29.605339986432938
2010-04-16,31.64,308.19993,0.10412618616421702,-0.4516832869786569,29.548316713021343
2010-04-19,31.57,307.79999,0.1040017129014292,-0.44172619104277544,29.558273808957225
2010-04-20,33.31,318.29987,0.10388048722768212,0.2448544198921212,30.24485441989212
2010-04-21,33.29,320.1999,0.1038130129527674,0.04908363382516967,30.04908363382517
2010-04-22,33.73,324.59992,0.1037643362005842,0.0481047704372628,30.048104770437263
2010-04-23,34.96,331.19996,0.10372322208049632,0.6068729958685068,30.606872995868507
2010-04-26,34.47,329.59992,0.1037467975307048,0.2750638336234985,30.2750638336235
2010-04-27,32.81,315.99991,0.10376040357842968,0.021721807652546943,30.021721807652547
2010-04-28,33.35,321.19996,0.10374554026276582,0.0269366174212351,30.026936617421235
2010-04-29,31.6,324.19999,0.10370292664824007,-2.0204877823301644,27.979512217669836
2010-04-30,30.65,316.99997,0.1035464646842978,-2.1742261985284657,27.825773801471534
2010-05-03,31.39,319.29993,0.10339334604983669,-1.623488156178631,28.37651184382137
2010-05-04,30.31,307.59995,0.1032774012693311,-1.4581234665761826,28.541876533423817
2010-05-05,29.98,302.39991,0.1031911758073986,-1.2250022769515105,28.77499772304849
2010-05-06,28.75,289.09989,0.10310894702154486,-1.0587852419444488,28.94121475805555
2010-05-07,27.51,278.39997,0.10302557183356273,-1.1723161076967052,28.827683892303295
2010-05-10,27.59,292.39991,0.10293189711807066,-2.507277453453117,27.492722546546883
2010-05-11,28.34,292.39991,0.1027549255119404,-1.7055309717480753,28.294469028251925
2010-05-12,29.09,299.39988,0.10261687242136386,-1.6334792889316496,28.36652071106835
2010-05-13,29.01,295.39994,0.10246116595313225,-1.2570222748853084,28.74297772511469
2010-05-14,28.09,288.09998,0.1023243692935265,-1.389648746977599,28.6103512530224
2010-05-17,27.85,283.29987,0.10216269646304327,-1.092678626829617,28.907321373170383
2010-05-18,27.64,279.29993,0.10201526682203949,-0.8528568823269502,29.14714311767305
2010-05-19,27.12,274.59992,0.10191290831566065,-0.8652764704477462,29.134723529552254
2010-05-20,26.22,259.09989,0.10182050821692039,-0.16168247874817254,29.838317521251827
2010-05-21,26.73,266.69999,0.10178227349714714,-0.4153313238664076,29.584668676133592
2010-05-24,25.65,257.99988,0.10173873949671651,-0.5985825815041217,29.40141741849588
2010-05-25,25.62,262.29996,0.10167952745778357,-1.0505359849955305,28.94946401500447
2010-05-26,25.88,263.99994,0.10158615030241597,-0.9387375846687966,29.061262415331203
2010-05-27,26.99,274.89991,0.10149087664106675,-0.9098328544503502,29.09016714554965
2010-05-28,24.83,264.39988,0.10139399416818612,-1.9785598907891107,28.02144010921089
2010-06-01,21.15,245.0,0.10124099450609764,-3.6540436539939236,26.345956346006076
2010-06-02,23.68,257.79999,0.10100753327889218,-2.3597410692230696,27.64025893077693
2010-06-03,23.63,260.69993,0.10085540370019591,-2.662996684762817,27.337003315237183
2010-06-04,23.11,252.99988,0.1007100919281939,-2.369641172622025,27.630358827377975
2010-06-07,22.8,249.09989,0.10061056568444104,-2.262080844832038,27.737919155167962
2010-06-08,23.02,252.29996,0.10051203098695087,-2.339181397526467,27.660818602473533
2010-06-09,22.56,251.2999,0.10037068331585645,-2.6631426802063984,27.3368573197936
2010-06-10,24.22,267.6999,0.10022094404308537,-2.6091366982395527,27.390863301760447
2010-06-11,24.39,268.9,0.10004338623208073,-2.511666557806503,27.488333442193497
2010-06-14,24.02,267.19986,0.09982669133066245,-2.6536779478162202,27.34632205218378
2010-06-15,25.46,277.19986,0.0996080301524079,-2.1513320131232483,27.84866798687675
2010-06-16,26.25,276.99997,0.09942667886841257,-1.2911870637499163,28.708812936250084
2010-06-17,26.39,275.59998,0.09928325667982138,-0.9724635552936398,29.02753644470636
2010-06-18,26.98,278.29987,0.09915552960541422,-0.6149709989679302,29.38502900103207
2010-06-21,27.05,275.79987,0.09906959979185909,-0.27338274354676173,29.72661725645324
2010-06-22,25.99,265.99991,0.09899267045496635,-0.342041431680709,29.65795856831929
2010-06-23,25.78,263.7999,0.0989253155045369,-0.3164883375652785,29.68351166243472
2010-06-24,25.21,257.29996,0.09885137677580275,-0.22445529035897493,29.775544709641025
2010-06-25,26.34,261.79993,0.09878734877666254,0.4774790053841613,30.47747900538416
2010-06-28,25.99,258.19993,0.09876546688754209,0.4887633632193129,30.488763363219313
2010-06-29,24.48,249.89991,0.09874775357681115,-0.1970547315472828,29.802945268452717
2010-06-30,24.55,250.0,0.098666247980302,-0.11656199507550014,29.8834380049245
2010-07-01,24.98,251.59989,0.09857704765754677,0.1780256528364781,30.178025652836478
