date,HON,XLI,beta,value,price
2010-03-31,45.27,31.24,1.4123429691583913,1.1484056434918628,31.148405643491863
2010-04-01,45.03,31.44,1.4128495433484742,0.6100103571239686,30.61001035712397
2010-04-05,45.45,31.67,1.413070049369998,0.6980715364521686,30.69807153645217
2010-04-06,45.46,31.68,1.4133966610148152,0.6835937790506534,30.683593779050653
2010-04-07,45.25,31.5,1.4135270024823496,0.7238994218059887,30.72389942180599
2010-04-08,45.49,31.6025,1.4135299662393181,0.8189192419219538,30.818919241921954
2010-04-09,45.77,31.78,1.4135432284237928,0.8475962006918678,30.847596200691868
2010-04-12,45.99,31.85,1.4136601639736583,0.9649237774389832,30.964923777438983
2010-04-13,45.66,31.9,1.4138608385571867,0.5578392500257436,30.557839250025744
2010-04-14,46.33,32.31,1.4136766531475353,0.6541073368031292,30.65410733680313
2010-04-15,46.47,32.62,1.4132301926826538,0.3704311146918329,30.370431114691833
2010-04-16,45.82,32.09,1.412726724575621,0.4855994083683157,30.485599408368316
2010-04-19,45.75,32.03,1.4122146181020288,0.5167657821920173,30.516765782192017
2010-04-20,46.38,32.4,1.4120970577838705,0.6280553278025991,30.6280553278026
2010-04-21,46.69,32.62,1.4121823014780839,0.6246133257849067,30.624613325784907
2010-04-22,47.44,32.92,1.4122221864764044,0.9496456211967654,30.949645621196765
2010-04-23,47.72,33.12,1.4125068693589264,0.9377724868323583,30.93777248683236
2010-04-26,48.27,33.19,1.4126983212866728,1.3825427164953368,31.382542716495337
2010-04-27,46.94,32.39,1.4131605881232692,1.1677285506873076,31.167728550687308
2010-04-28,47.05,32.62,1.413874323929423,0.9294195534222283,30.92941955342223
2010-04-29,48.52,33.36,1.4143832214964533,1.3361757308783169,31.336175730878317
2010-04-30,47.47,32.57,1.4154575423319093,1.3685478462497116,31.36854784624971
2010-05-03,48.51,33.22,1.41657533320713,1.4513674308591433,31.451367430859143
2010-05-04,46.86,32.17,1.417904510554169,1.2460118954723782,31.24601189547238
2010-05-05,45.88,31.76,1.4191415627736255,0.8080639663096534,30.808063966309653
2010-05-06,44.3,30.71,1.4202112250669745,0.6853132781932061,30.685313278193206
2010-05-07,43.52,30.03,1.4211202865718142,0.8437577942484182,30.84375779424842
2010-05-10,46.07,31.75,1.422133858019915,0.9172500078677004,30.9172500078677
2010-05-11,45.85,31.66,1.4232665424787256,0.789381265123545,30.789381265123545
2010-05-12,46.87,32.36,1.4243601282172067,0.7777062508911925,30.777706250891192
2010-05-13,46.19,31.86,1.4254167728438334,0.7762216171954677,30.776221617195468
2010-05-14,45.48,31.19,1.4265663804519444,0.9853945937038517,30.98539459370385
2010-05-17,45.44,31.11,1.4276470068196527,1.0259016178406029,31.025901617840603
2010-05-18,44.72,30.72,1.4286792893216198,0.8309722320398407,30.83097223203984
2010-05-19,43.86,30.33,1.429664123516478,0.4982871337452224,30.498287133745222
2010-05-20,41.79,29.01,1.4303258634819895,0.2962467003874778,30.296246700387478
2010-05-21,42.07,29.42,1.4307739962246173,-0.023370968928240643,29.97662903107176
2010-05-24,41.84,28.98,1.4312111370726182,0.3635012476355257,30.363501247635526
2010-05-25,41.79,28.96,1.4319396335684231,0.32102821185846153,30.32102821185846
2010-05-26,42.11,29.02,1.4327317697416764,0.5321240420965552,30.532124042096555
2010-05-27,43.42,30.0,1.4336224272989853,0.41132718103044397,30.411327181030444
2010-05-28,42.77,29.6,1.4343821862496595,0.31228728701007924,30.31228728701008
2010-06-01,41.9,28.94,1.4350731465645445,0.36898313842208097,30.36898313842208
2010-06-02,42.93,29.69,1.4357648266563676,0.3021422965724412,30.30214229657244
2010-06-03,43.26,29.8275,1.4365467371977194,0.4114021962350236,30.411402196235024
2010-06-04,41.07,28.43,1.4371792667192522,0.2109934471716599,30.21099344717166
2010-06-07,40.0,27.7,1.437724542028607,0.17503018580758578,30.175030185807586
2010-06-08,40.43,27.99,1.4381985455723831,0.17482270942899447,30.174822709428994
2010-06-09,40.01,27.99,1.438672845395432,-0.2584529426181419,29.741547057381858
2010-06-10,41.26,29.07,1.4389260872625385,-0.5695813567219972,29.430418643278003
2010-06-11,41.32,29.17,1.4393095088491357,-0.6646583731292921,29.335341626870708
2010-06-14,41.53,29.14,1.4397543188201578,-0.42444085041940127,29.5755591495806
2010-06-15,43.04,30.02,1.4402172706024507,-0.19532246348557436,29.804677536514426
2010-06-16,42.75,29.94,1.4404109342915896,-0.37590337269019614,29.624096627309804
2010-06-17,42.65,30.03,1.4407241733873108,-0.6149469268209486,29.38505307317905
2010-06-18,42.92,30.0,1.44085534112645,-0.30566023379349616,29.694339766206504
2010-06-21,42.93,30.05,1.4408198581241933,-0.36663673663201024,29.63336326336799
2010-06-22,42.2,29.3225,1.4408115132387023,-0.048195596941845054,29.951804403058155
2010-06-23,41.84,29.21,1.440892485852982,-0.24846951176559884,29.7515304882344
2010-06-24,41.0,28.7,1.4409469979499954,-0.3551788411648644,29.644821158835136
2010-06-25,41.6,28.92,1.4409470658651378,-0.072189144819788,29.927810855180212
2010-06-28,41.2,28.72,1.4407705338641534,-0.17892973257848155,29.82107026742152
2010-06-29,39.33,27.61,1.4408283531300503,-0.4512708299206878,29.548729170079312
2010-06-30,39.03,27.43,1.4407093362909746,-0.4886570944614306,29.51134290553857
2010-07-01,38.55,27.35,1.440573396345878,-0.849682390059769,29.15031760994023
2010-07-02,38.53,27.01,1.4402305724216398,-0.37062776110849427,29.629372238891506
2010-07-06,38.71,27.06,1.4400651176355914,-0.25816208321909784,29.741837916780902
