date,F,XLY,beta,value,price
2010-03-31,12.57,32.84,0.3941609647277361,-0.3742460816588551,29.625753918341147
2010-04-01,12.63,33.07,0.39476285707526554,-0.4248076834790311,29.57519231652097
2010-04-05,12.77,33.47,0.39500671299072987,-0.4508746837997286,29.54912531620027
2010-04-06,12.7,33.52,0.3950273125986597,-0.5413155183070746,29.458684481692927
2010-04-07,12.58,33.4,0.39489543326647236,-0.6095074711001764,29.390492528899824
2010-04-08,12.63,33.72,0.39470525816803104,-0.6794613054260061,29.320538694573994
2010-04-09,12.72,33.97,0.39423440023410533,-0.6721425759525577,29.327857424047444
2010-04-12,12.77,33.97,0.3938051852762789,-0.6075621438351941,29.392437856164804
2010-04-13,12.79,34.15,0.39357726417928424,-0.6506635717225571,29.349336428277443
2010-04-14,13.35,34.68,0.3932780964399132,-0.28888438453618903,29.71111561546381
2010-04-15,13.76,34.83,0.39320462364753106,0.06468295835649407,30.064682958356492
2010-04-16,13.42,34.37,0.3933436823355043,-0.09922236187128242,29.900777638128716
2010-04-19,13.6,34.43,0.3934270619638117,0.054306256585961776,30.05430625658596
2010-04-20,13.91,34.85,0.39368792401446767,0.18997584809580204,30.189975848095802
2010-04-21,14.13,35.01,0.394236912826005,0.3277656819615675,30.327765681961566
2010-04-22,14.2,35.64,0.3946547689351075,0.13450403515276932,30.13450403515277
2010-04-23,14.21,35.67,0.39489640510268686,0.12404522998715883,30.12404522998716
2010-04-26,14.46,35.95,0.3949710612952968,0.2607903464340797,30.260790346434078
2010-04-27,13.57,34.91,0.39516107487089047,-0.225073123742785,29.774926876257215
2010-04-28,13.25,34.79,0.3953068802217089,-0.5027263629132523,29.49727363708675
2010-04-29,13.58,35.56,0.3952397701204991,-0.47472622548494847,29.52527377451505
2010-04-30,13.02,34.82,0.3951336773282897,-0.7385546445710478,29.261445355428954
2010-05-03,13.3,35.52,0.3947723213182052,-0.7223128532226504,29.27768714677735
2010-05-04,12.85,34.4825,0.39451752411434016,-0.7539505252727352,29.246049474727265
2010-05-05,12.34,33.99,0.3943085099162426,-1.062546252053087,28.93745374794691
2010-05-06,11.78,32.78,0.3938804880894843,-1.1314023995732967,28.868597600426703
2010-05-07,11.51,32.18,0.3934324469079805,-1.1506561414988123,28.849343858501186
2010-05-10,12.15,33.86,0.39305326160712206,-1.158783438017153,28.841216561982847
2010-05-11,12.31,33.85,0.3925910748448645,-0.9792078834986633,29.020792116501337
2010-05-12,12.68,34.34,0.3922453246723729,-0.7897044492492871,29.210295550750715
2010-05-13,12.42,33.57,0.39198417352597426,-0.7389087052669563,29.261091294733042
2010-05-14,12.11,33.01,0.39172221483390623,-0.8207503116672452,29.179249688332753
2010-05-17,11.95,33.26,0.39150782024138303,-1.0715501012284,28.9284498987716
2010-05-18,11.545,32.64,0.39121584835007495,-1.2242852901464474,28.775714709853553
2010-05-19,11.55,32.44,0.3908898858694145,-1.130467897603804,28.869532102396196
2010-05-20,10.8,31.18,0.3903997209112505,-1.3726632980127906,28.62733670198721
2010-05-21,11.26,31.73,0.3898218662732661,-1.1090478168507332,28.890952183149267
2010-05-24,11.01,31.51,0.38933725300355304,-1.2580168421419575,28.741983157858044
2010-05-25,11.02,31.83,0.3888067739695215,-1.3557196154498694,28.64428038455013
2010-05-26,11.39,31.73,0.38799236100312423,-0.9209976146291314,29.07900238537087
2010-05-27,11.99,32.87,0.3874360625191896,-0.7450233750057613,29.25497662499424
2010-05-28,11.73,32.37,0.38674181092070886,-0.7888324195033452,29.211167580496657
2010-06-01,11.41,31.88,0.3860235610612562,-0.8964311266328462,29.103568873367152
2010-06-02,11.85,32.68,0.3852495305034643,-0.7399546568532127,29.260045343146786
2010-06-03,11.96,32.79,0.38457727985572643,-0.6502890064692686,29.34971099353073
2010-06-04,11.5,31.52,0.38399131165741324,-0.6034061434416653,29.396593856558333
2010-06-07,11.09,30.92,0.38343336364629105,-0.7657596039433194,29.23424039605668
2010-06-08,11.22,31.18,0.3827937106756529,-0.7155078988668553,29.284492101133146
2010-06-09,11.05,31.22,0.38197242954706623,-0.8751792504594071,29.124820749540593
2010-06-10,11.39,32.28,0.3810268250820367,-0.9095459136481452,29.090454086351855
2010-06-11,11.4,32.25,0.3800324927871868,-0.8560478923867745,29.143952107613224
2010-06-14,11.46,32.34,0.37877745845033245,-0.7896630062837513,29.210336993716247
2010-06-15,11.7,33.11,0.37771231594978677,-0.8060547810974406,29.19394521890256
2010-06-16,11.63,32.88,0.37680148227994026,-0.7592327373644352,29.240767262635565
2010-06-17,11.48,32.68,0.3756162211717269,-0.7951381078920345,29.204861892107964
2010-06-18,11.46,32.47,0.3744614821934384,-0.6987643268209425,29.301235673179058
2010-06-21,11.53,32.21,0.3733163583390857,-0.4945199021019526,29.505480097898047
2010-06-22,11.215,31.49,0.37233309053130254,-0.5097690208307171,29.490230979169283
2010-06-23,11.03,31.47,0.3713216743626266,-0.6554930921918594,29.34450690780814
2010-06-24,10.78,30.72,0.37037570569881784,-0.5979416790676844,29.402058320932316
2010-06-25,10.75,30.81,0.3695857665171085,-0.6369374663921121,29.363062533607888
2010-06-28,10.43,30.58,0.36907441409648695,-0.8562955830705707,29.14370441692943
2010-06-29,9.88,29.49,0.3684649852846844,-0.986032416045342,29.01396758395466
2010-06-30,10.08,29.13,0.3678001681216108,-0.6340188973825231,29.365981102617475
2010-07-01,10.57,29.37,0.3673280786883947,-0.21842567107815114,29.78157432892185
2010-07-02,10.28,29.04,0.36707038543567416,-0.3797239930519787,29.62027600694802
