date,WFC,XLF,beta,value,price
2010-05-19,30.08,14.94,1.9691691899309134,0.6606123024321526,30.660612302432153
2010-05-20,28.69,14.245,1.9708003580093179,0.6159489001572709,30.61594890015727
2010-05-21,30.11,14.75,1.9725188480459603,1.0153469913220832,31.015346991322083
2010-05-24,28.71,14.33,1.9748052544864751,0.4110407032088119,30.411040703208812
2010-05-25,28.9,14.46,1.9768015928496014,0.3154489673947616,30.31544896739476
2010-05-26,28.04,14.36,1.9788112267416698,-0.37572921601037734,29.624270783989623
2010-05-27,29.41,15.01,1.9797835342464332,-0.3065508490389597,29.69344915096104
2010-05-28,28.69,14.68,1.9805188817205668,-0.38401718365791737,29.615982816342083
2010-06-01,28.23,14.37,1.9812736333433494,-0.240902111143928,29.759097888856072
2010-06-02,29.18,14.82,1.982060500064047,-0.194136610949176,29.805863389050824
2010-06-03,28.86,14.739,1.9832253239993394,-0.3707580504262644,29.629241949573736
2010-06-04,27.78,14.15,1.9842509651757574,-0.29715115723696783,29.702848842763032
2010-06-07,27.29,13.87,1.9851340357413083,-0.24380907573194577,29.756190924268054
2010-06-08,27.76,14.16,1.9861705595463026,-0.36417512317564515,29.635824876824355
2010-06-09,27.03,14.01,1.987113962341144,-0.8094666123994259,29.190533387600574
2010-06-10,28.13,14.47,1.9873863263813756,-0.6274801427385057,29.372519857261494
2010-06-11,27.84,14.51,1.987814058215678,-1.0031819847094887,28.99681801529051
2010-06-14,27.4,14.45,1.9880101021757541,-1.3267459764396463,28.673254023560354
2010-06-15,27.91,14.7925,1.9879768669869948,-1.4971478049051221,28.502852195094878
2010-06-16,28.12,14.8,1.98733557342631,-1.29256648670939,28.70743351329061
2010-06-17,27.93,14.78,1.9870312527393412,-1.4383219154874638,28.561678084512536
2010-06-18,28.07,14.83,1.9861359325460046,-1.384395879657248,28.615604120342752
2010-06-21,27.94,14.81,1.9855349270088951,-1.4657722690017359,28.534227730998264
2010-06-22,27.46,14.575,1.9847775541606372,-1.4681328518912835,28.531867148108716
2010-06-23,27.32,14.51,1.9838941636309888,-1.4663043142856473,28.533695685714353
2010-06-24,26.86,14.25,1.9831783728424914,-1.4002918130055022,28.599708186994498
