date,IVZ,KCE,beta,value,price
2010-03-31,21.91,37.21,0.5700767970646777,0.6974423812233397,30.69744238122334
2010-04-01,22.09,37.58,0.5695280079952832,0.6871374595372579,30.687137459537258
2010-04-05,22.15,37.97,0.5689626276634078,0.5464890276204066,30.546489027620407
2010-04-06,22.66,38.3,0.5685119639037691,0.8859917824856431,30.885991782485643
2010-04-07,22.23,38.26,0.5682315744749096,0.48945996058996144,30.48945996058996
2010-04-08,22.07,38.38,0.567816704205641,0.2771948925874952,30.277194892587495
2010-04-09,22.5,38.57,0.5669459594121559,0.6328943454731473,30.632894345473147
2010-04-12,22.11,38.85,0.5662737722002955,0.11026395001851697,30.110263950018517
2010-04-13,22.2,38.96,0.565374720413527,0.17300089268898589,30.173000892688986
2010-04-14,22.66,39.75,0.5646445211168163,0.2153802856065532,30.215380285606553
2010-04-15,22.68,39.79,0.563938162549464,0.24090051215682706,30.240900512156827
2010-04-16,21.8,38.49,0.5631928772293813,0.12270615544111507,30.122706155441115
2010-04-19,22.07,38.75,0.5626503350116245,0.26729951829954857,30.26729951829955
2010-04-20,22.53,38.78,0.5624371445549279,0.7186875341598977,30.718687534159898
2010-04-21,22.04,38.81,0.5624239879185263,0.21232502888199178,30.212325028881992
2010-04-22,22.03,39.06,0.5620811502540922,0.07511027107515744,30.075110271075157
2010-04-23,22.18,39.3,0.5618483599965096,0.0993594521371719,30.099359452137172
2010-04-26,21.58,38.81,0.5611750863749039,-0.19920510221002274,29.800794897789977
2010-04-27,20.73,37.91,0.5608784619239933,-0.5329024915385823,29.467097508461418
2010-04-28,21.61,38.06,0.5606908034474833,0.2701080207887827,30.270108020788783
2010-04-29,23.66,39.05,0.5606649727296371,1.7660328149076712,31.76603281490767
2010-04-30,22.99,38.38,0.5613343227193562,1.4459886940311044,31.445988694031104
2010-05-03,23.4,38.87,0.5620924133017772,1.55146789495992,31.55146789495992
2010-05-04,22.51,37.7,0.5629493646721694,1.2868089518592143,31.286808951859214
2010-05-05,21.54,37.58,0.5637976768001325,0.3524833058510204,30.35248330585102
2010-05-06,20.87,36.25,0.5642193805604462,0.41704745468382853,30.41704745468383
2010-05-07,20.11,35.41,0.56462644880281,0.11657744789249946,30.1165774478925
2010-05-10,21.52,36.99,0.5649334179290498,0.6231128708044444,30.623112870804444
2010-05-11,21.19,36.877,0.565601943537137,0.33229712818100055,30.332297128181
2010-05-12,21.84,37.19,0.5662280401772507,0.7819791858080478,30.781979185808048
2010-05-13,21.82,36.93,0.5668898928089742,0.8847562585645825,30.884756258564583
2010-05-14,20.82,36.08,0.567557973954214,0.3425082997319606,30.34250829973196
2010-05-17,20.5,36.16,0.567862246593343,-0.033898836815279054,29.96610116318472
2010-05-18,19.85,35.21,0.5680688654837576,-0.1517047536831022,29.848295246316898
2010-05-19,19.95,35.2,0.5682011810133651,-0.05068157167045584,29.949318428329544
2010-05-20,18.58,33.71,0.5684830596162671,-0.5835639396643657,29.416436060335634
2010-05-21,19.17,34.73,0.5684275096243724,-0.5714874092544484,29.42851259074555
2010-05-24,18.48,33.86,0.568252291529634,-0.7610225911934059,29.238977408806594
2010-05-25,18.6,34.02,0.5681412760122421,-0.7281662099364752,29.271833790063525
2010-05-26,18.41,33.81,0.5678939757342762,-0.7904953195758821,29.209504680424118
2010-05-27,19.02,35.04,0.5675856436945713,-0.8682009550577803,29.13179904494222
2010-05-28,18.56,34.47,0.567162952712112,-0.9901069799865034,29.009893020013497
2010-06-01,18.14,33.68,0.5666281828998148,-0.9440372000657611,29.05596279993424
2010-06-02,18.85,34.67,0.5660850769893615,-0.7761696192211645,29.223830380778836
2010-06-03,18.72,34.73,0.565782951001735,-0.9296418882902557,29.070358111709744
2010-06-04,17.84,33.61,0.5658755599261055,-1.179077569116405,28.820922430883595
2010-06-07,17.13,32.98,0.5659172343437795,-1.5339503886578463,28.466049611342154
2010-06-08,17.85,33.1,0.5659112850715157,-0.881663535867169,29.11833646413283
2010-06-09,17.65,32.69,0.5659286933364832,-0.8502089851696368,29.149791014830363
2010-06-10,18.47,33.69,0.56596665997126,-0.5974167744317498,29.40258322556825
2010-06-11,18.9,34.12,0.5659973646469372,-0.41183008175349656,29.588169918246503
2010-06-14,18.92,33.79,0.5658890384015632,-0.2013906075888201,29.79860939241118
2010-06-15,19.55,34.4,0.5659480894258759,0.08138572374986808,30.081385723749868
2010-06-16,19.47,34.36,0.566365776346566,0.009671924731989634,30.00967192473199
2010-06-17,19.14,33.99,0.5666607564148902,-0.12079911054211934,29.87920088945788
2010-06-18,19.21,33.92,0.5668859538636586,-0.018771555055298705,29.9812284449447
2010-06-21,19.3,33.76,0.567202933804415,0.15122895476295284,30.151228954762953
2010-06-22,18.85,33.39,0.5676064636516722,-0.1023798213293361,29.897620178670664
2010-06-23,18.72,33.16,0.5676272581280644,-0.10251987952661423,29.897480120473386
2010-06-24,17.9,32.45,0.5674946325348926,-0.5152008257572689,29.48479917424273
2010-06-25,18.48,33.03,0.5670551213072298,-0.24983065677779948,29.7501693432222
2010-06-28,18.43,32.95,0.5665667505962356,-0.23837443214596732,29.761625567854033
2010-06-29,17.28,31.49,0.5660830927143222,-0.5459565895740042,29.454043410425996
2010-06-30,16.83,31.07,0.5655422252547573,-0.7413969386653108,29.25860306133469
2010-07-01,16.96,30.81,0.5647491445425076,-0.43992114335465615,29.560078856645344
2010-07-02,16.63,30.59,0.5642625129083885,-0.6307902698676031,29.369209730132397
2010-07-06,16.92,30.57,0.5638014067044973,-0.315409002956482,29.684590997043518
2010-07-07,17.61,31.72,0.5632899071249977,-0.2575558540049272,29.742444145995073
2010-07-08,17.88,31.95,0.5630644651370426,-0.10990966112851197,29.890090338871488
2010-07-09,18.56,32.4,0.5628803315608354,0.32267725742893205,30.322677257428932
2010-07-12,18.25,32.25,0.5628682792743971,0.09749799340069387,30.097497993400694
2010-07-13,19.43,33.06,0.5627578187807423,0.8252265111086601,30.82522651110866
2010-07-14,19.26,32.68,0.5630569609992337,0.859298514545042,30.859298514545042
2010-07-15,19.2,32.77,0.5633087260818491,0.7403730462978011,30.7403730462978
2010-07-16,18.14,31.94,0.5632769843587855,0.14893311958039135,30.14893311958039
2010-07-19,18.25,32.1,0.5632464090515468,0.1697902694453468,30.169790269445347
2010-07-20,18.7,32.51,0.5633065421444252,0.3869043148847382,30.386904314884738
2010-07-21,18.3,32.16,0.5634605856766732,0.17910756463819055,30.17910756463819
2010-07-22,19.26,32.97,0.5637009391904371,0.6747800348912918,30.674780034891292
2010-07-23,19.45,33.24,0.5643643356927676,0.6905294815724048,30.690529481572405
