date,PNC,KBE,beta,value,price
2010-03-31,59.7,25.81,2.3342526314349894,-0.5470604173370717,29.45293958266293
2010-04-01,60.24,25.99,2.3320314075932003,-0.36949628334726725,29.630503716652733
2010-04-05,61.66,26.61,2.3302441499742166,-0.34779683081390544,29.652203169186095
2010-04-06,62.58,27.19,2.3288730469043113,-0.7420581453282296,29.25794185467177
2010-04-07,62.5,27.08,2.326626570418389,-0.505047526929971,29.49495247307003
2010-04-08,64.1,27.36,2.324309426860955,0.506894081084269,30.50689408108427
2010-04-09,64.8,27.48,2.322664404433736,0.9731821661609317,30.97318216616093
2010-04-12,65.27,27.79,2.3211986742905806,0.7638888414647624,30.763888841464762
2010-04-13,63.62,27.49,2.3198989547042146,-0.15402226481885606,29.845977735181144
2010-04-14,65.16,28.4,2.3178520649271706,-0.6669986439316489,29.33300135606835
2010-04-15,64.16,28.17,2.3153929596117333,-1.0646196722625376,28.935380327737462
2010-04-16,63.02,27.26,2.312204313936598,-0.01068959791166435,29.989310402088336
2010-04-19,63.5,27.47,2.3096097946288916,0.055018941544346944,30.055018941544347
2010-04-20,64.92,28.23,2.308983371073393,-0.2626005654018826,29.737399434598117
2010-04-21,65.3,28.43,2.308404539576665,-0.3279410601645907,29.67205893983541
2010-04-22,68.82,28.69,2.3075852410198743,2.6153794351398005,32.6153794351398
2010-04-23,69.64,28.72,2.3092416189343012,3.318580704206866,33.318580704206866
2010-04-26,66.77,27.89,2.3112714971481143,2.308637944539086,32.308637944539086
2010-04-27,66.09,27.07,2.3127917251501025,3.4827280001867322,33.48272800018673
2010-04-28,65.47,27.42,2.3140357662726663,2.019139288803487,32.01913928880349
2010-04-29,66.06,28.02,2.314462435486368,1.2087625576719745,31.208762557671974
2010-04-30,67.21,27.66,2.3151397272946177,3.1732351430308654,33.173235143030865
2010-05-03,68.57,28.12,2.3170590195932848,3.414300369036823,33.41430036903682
2010-05-04,66.46,27.35,2.3194557040816877,3.0228864933658315,33.02288649336583
2010-05-05,67.59,27.35,2.321438879852993,4.098646636020646,34.098646636020646
2010-05-06,64.41,26.11,2.3243280464272558,3.7217947077843476,33.72179470778435
2010-05-07,64.14,25.7,2.3270417265101813,4.335027628688344,34.335027628688344
2010-05-10,67.84,27.25,2.330220910639366,4.34148018507728,34.34148018507728
2010-05-11,68.61,27.4,2.3335776196706988,4.6699732210228575,34.66997322102286
2010-05-12,68.52,27.77,2.336931839164721,3.62340282639569,33.62340282639569
2010-05-13,66.99,27.3,2.339885172611125,3.1111347877162743,33.111134787716274
2010-05-14,65.61,26.52,2.3428322504210977,3.4780887188324883,33.47808871883249
2010-05-17,65.85,26.48,2.3459968557942017,3.7280032585695295,33.72800325856953
2010-05-18,63.68,25.45,2.349847657368692,3.87637711996679,33.87637711996679
2010-05-19,62.78,25.33,2.3535185659076205,3.1653747255599782,33.16537472555998
2010-05-20,60.55,24.13,2.3564542864820552,3.6887580671880045,33.688758067188004
2010-05-21,62.76,25.06,2.3595819302664682,3.628876827522305,33.628876827522305
2010-05-24,60.56,24.24,2.362651115184103,3.289336967937345,33.289336967937345
2010-05-25,61.8,24.45,2.3655723976826595,3.961754876658972,33.96175487665897
2010-05-26,61.63,24.36,2.3688017048083223,3.925990470869273,33.92599047086927
2010-05-27,64.47,25.37,2.3724173389233756,4.281772111513959,34.28177211151396
2010-05-28,62.75,24.77,2.3762069318073946,3.891354299130839,33.89135429913084
2010-06-01,61.16,24.22,2.3794963253741623,3.52859899943779,33.52859899943779
2010-06-02,63.69,24.95,2.382613608675435,4.243790463547896,34.243790463547896
2010-06-03,62.04,24.77,2.386366674934708,2.929697461867285,32.929697461867285
2010-06-04,58.675,23.67,2.3892090403761777,2.1224220142958714,32.12242201429587
2010-06-07,58.31,23.16,2.391665409712127,2.9190291110671396,32.91902911106714
2010-06-08,59.24,23.63,2.394535221424989,2.657132717727521,32.65713271772752
2010-06-09,58.01,23.43,2.397314364035681,1.8409244506439961,31.840924450643996
2010-06-10,60.58,24.34,2.4001115843563876,2.1612840367655224,32.16128403676552
2010-06-11,61.25,24.3,2.403067991777151,2.8554477998152237,32.855447799815224
2010-06-14,60.2,24.13,2.406350023393239,2.134773935521146,32.134773935521146
2010-06-15,61.96,24.8,2.4090936763626396,2.2144768262065355,32.214476826206536
2010-06-16,62.35,24.74,2.41134491486153,2.693326806325757,32.69332680632576
2010-06-17,62.19,24.7,2.4142129905686773,2.558939132953668,32.55893913295367
2010-06-18,62.78,24.84,2.417432919090176,2.7309662898000227,32.73096628980002
2010-06-21,61.87,24.82,2.4209754011224875,1.7813905441398532,31.781390544139853
2010-06-22,60.63,24.48,2.4240662521219876,1.2888581480537482,31.288858148053748
2010-06-23,60.71,24.3,2.4270369106179226,1.7330030719844771,31.733003071984477
2010-06-24,59.07,23.74,2.4301887258003814,1.3773196494989506,31.37731964949895
2010-06-25,61.03,24.41,2.4334021780905672,1.630652832809254,31.630652832809254
2010-06-28,59.83,24.34,2.436339689643706,0.5294919540721992,30.5294919540722
2010-06-29,57.58,23.28,2.438620167982073,0.8089224893773377,30.808922489377338
2010-06-30,56.5,22.89,2.441202584864837,0.6208728324438795,30.62087283244388
2010-07-01,56.32,22.69,2.4441109890883577,0.863121657585161,30.86312165758516
2010-07-02,55.67,22.34,2.447084576529733,1.0021305603257673,31.002130560325767
2010-07-06,56.74,22.58,2.4496009075344465,1.4280115078722062,31.428011507872206
2010-07-07,61.15,23.87,2.452156320095161,2.6170286393285025,32.6170286393285
