date,AEP,XLU,beta,value,price
2010-05-06,32.18,29.26,1.1370557068802616,-1.090249983316454,28.909750016683546
2010-05-07,31.92,29.1,1.136265105558329,-1.1453145717473774,28.854685428252623
2010-05-10,33.14,30.0,1.1354541054610903,-0.9236231638327084,29.07637683616729
2010-05-11,33.15,30.06,1.1348068389051507,-0.962293577488829,29.03770642251117
2010-05-12,33.58,30.31,1.1341310224931875,-0.7955112917685128,29.204488708231487
2010-05-13,33.3,30.18,1.1334327887856865,-0.9070015655520223,29.092998434447978
2010-05-14,33.0,29.93,1.1326722564962968,-0.9008806369341613,29.09911936306584
2010-05-17,32.99,29.96,1.1320214107339783,-0.9253614655899867,29.074638534410013
2010-05-18,32.6,29.67,1.1313517505625186,-0.9672064391899298,29.03279356081007
2010-05-19,32.31,29.37,1.1307303071290193,-0.899549120379298,29.100450879620702
2010-05-20,31.34,28.49,1.1299801070675115,-0.8531332503533982,29.146866749646602
2010-05-21,31.46,28.62,1.1291707605634604,-0.8568671673262358,29.143132832673764
2010-05-24,31.19,28.35,1.128433020935287,-0.8010761435153881,29.198923856484612
2010-05-25,30.97,28.2,1.127610670466246,-0.8286209071481387,29.17137909285186
2010-05-26,31.02,28.19,1.126840509746567,-0.7456339697557262,29.254366030244274
2010-05-27,31.99,28.73,1.1260558471611228,-0.36158448893906225,29.638415511060938
2010-05-28,31.96,28.76,1.125508628713134,-0.40962816178973327,29.590371838210267
2010-06-01,31.2,28.09,1.1249958600730667,-0.401133709452445,29.598866290547555
2010-06-02,31.85,28.68,1.1244787556357416,-0.40005071163307093,29.59994928836693
2010-06-03,32.16,28.98,1.1239877048654214,-0.41316368699991557,29.586836313000084
2010-06-04,31.12,28.1175,1.1234873053023933,-0.4696543068400416,29.53034569315996
2010-06-07,31.43,28.29,1.122943634988425,-0.33807543382254224,29.661924566177458
2010-06-08,31.72,28.66,1.1224813279592005,-0.45031485931068715,29.549685140689313
2010-06-09,31.74,28.5,1.1218967450007584,-0.23405723252161792,29.765942767478382
2010-06-10,32.68,29.2,1.1213236482577118,-0.06265052912518598,29.937349470874814
2010-06-11,32.45,29.22,1.120833574835431,-0.30075705669128894,29.69924294330871
2010-06-14,32.41,29.39,1.1202366388854934,-0.5137548168446529,29.486245183155347
2010-06-15,33.41,29.96,1.1194553048189617,-0.12888093237609866,29.8711190676239
2010-06-16,33.68,30.15,1.1188242098225905,-0.052549926151101545,29.9474500738489
2010-06-17,34.0,30.37,1.1183516993603295,0.03565889042678805,30.035658890426788
2010-06-18,34.06,30.08,1.117871670644579,0.43442014701106757,30.434420147011068
2010-06-21,33.87,29.87,1.117595670677358,0.48741731686731526,30.487417316867315
2010-06-22,33.3,29.13,1.1172788270116623,0.753667769150276,30.753667769150276
2010-06-23,32.72,28.87,1.1170329894652866,0.47125759413717105,30.47125759413717
2010-06-24,32.72,28.71,1.1166854182082004,0.6599616432425606,30.65996164324256
2010-06-25,32.99,28.84,1.1163560117969908,0.7942926197747866,30.794292619774787
2010-06-28,33.31,29.03,1.1161888774364128,0.9070368880209401,30.90703688802094
2010-06-29,32.69,28.44,1.1161599688069155,0.9464104871313204,30.94641048713132
2010-06-30,32.3,28.26,1.1163581177565245,0.7517195922006117,30.75171959220061
2010-07-01,32.22,28.13,1.1166177510868094,0.8095426619280524,30.809542661928052
2010-07-02,32.39,28.16,1.1168467768095471,0.9395947650431538,30.939594765043154
2010-07-06,33.26,28.49,1.1171055705813688,1.433662294136802,31.433662294136802
2010-07-07,34.37,29.37,1.1176068875431684,1.5458857128571424,31.545885712857142
2010-07-08,34.77,29.6,1.1183677104625933,1.6663157703072429,31.666315770307243
2010-07-09,34.84,29.8,1.1191203905856713,1.4902123605469981,31.490212360546998
2010-07-12,34.87,29.9,1.1199101556553095,1.3846863459062462,31.384686345906246
2010-07-13,34.77,30.0,1.1207252407394575,1.1482427778162787,31.14824277781628
2010-07-14,34.86,30.01,1.1212174866317917,1.2122632261799282,31.212263226179928
2010-07-15,35.28,30.21,1.121734248808476,1.3924083434959371,31.392408343495937
2010-07-16,34.76,29.69,1.1225282659485079,1.432135783988798,31.432135783988798
2010-07-19,35.38,30.15,1.1233652631428734,1.5105373162423703,31.51053731624237
