date,IP,XLB,beta,value,price
2010-03-31,24.61,33.92,0.762831989367669,-1.2652610793513368,28.734738920648663
2010-04-01,25.24,34.51,0.7615083894846261,-1.0396545211144463,28.960345478885554
2010-04-05,25.5,34.93,0.7598020654705657,-1.039886146886861,28.96011385311314
2010-04-06,25.91,34.99,0.7584504607684635,-0.6281816222885368,29.371818377711463
2010-04-07,27.01,34.77,0.7577640266444519,0.6625447935724083,30.66254479357241
2010-04-08,27.42,34.85,0.7578680305291691,1.008299136058458,31.008299136058458
2010-04-09,27.47,34.91,0.7582596502003264,0.9991556115066089,30.99915561150661
2010-04-12,27.14,34.8,0.758354046658821,0.7492791762730313,30.74927917627303
2010-04-13,27.23,34.67,0.7585028253252974,0.932707045971938,30.932707045971938
2010-04-14,28.1,34.93,0.7587927850303857,1.5953680188886281,31.595368018888628
2010-04-15,28.1,34.93,0.7594321546618997,1.5730348376598435,31.573034837659844
2010-04-16,27.85,34.33,0.7598160096622272,1.7655163882957439,31.765516388295744
2010-04-19,27.44,34.34,0.7604163576938304,1.327302276793862,31.327302276793862
2010-04-20,27.42,34.449,0.7611673904401809,1.1985445667262127,31.198544566726213
2010-04-21,28.17,34.36,0.7616324663241691,2.00030845710155,32.00030845710155
2010-04-22,28.37,34.7,0.7625957661825555,1.907926913465321,31.90792691346532
2010-04-23,28.63,35.01,0.7633818635007207,1.9040009588397702,31.90400095883977
2010-04-26,28.41,35.16,0.7643689798057881,1.5347866700284918,31.534786670028492
2010-04-27,27.05,33.88,0.765351392317146,1.1198948282950916,31.11989482829509
2010-04-28,27.18,34.29,0.7659997477400481,0.9138686499937521,30.913868649993752
2010-04-29,28.0,34.6,0.7665247284634004,1.478244395166346,31.478244395166346
2010-04-30,26.74,33.99,0.7673344682220635,0.6583014251320591,30.65830142513206
2010-05-03,26.64,33.97,0.7682226235701006,0.5434774773236839,30.543477477323684
2010-05-04,25.01,32.79,0.7688740603867585,-0.20138044008180955,29.79861955991819
2010-05-05,24.76,32.55,0.7691242193468354,-0.27499333973948836,29.72500666026051
2010-05-06,23.34,31.48,0.7692394967426437,-0.8756593574584244,29.124340642541576
2010-05-07,23.16,31.13,0.7691541534163578,-0.7837687958512198,29.21623120414878
2010-05-10,24.79,32.61,0.7692711115809131,-0.2959309486535773,29.704069051346423
2010-05-11,24.29,32.2,0.7698204142081357,-0.4982173375019734,29.501782662498027
2010-05-12,24.93,32.87,0.770167229539199,-0.38539683495347177,29.61460316504653
2010-05-13,24.31,32.38,0.770145456308631,-0.6273098752734754,29.372690124726525
2010-05-14,23.78,31.59,0.7702011700541803,-0.5506549620115564,29.449345037988444
2010-05-17,23.6,31.59,0.770181823936752,-0.7300438181619953,29.269956181838005
2010-05-18,22.93,31.05,0.770136224837547,-0.9827297812058333,29.017270218794167
2010-05-19,22.52,31.05,0.770050524169751,-1.3900687754707697,28.60993122452923
2010-05-20,21.76,29.64,0.7695750902714974,-1.050205675647181,28.94979432435282
2010-05-21,22.28,30.37,0.7692934987895323,-1.0834435582380983,28.9165564417619
2010-05-24,21.75,29.85,0.7689599247009563,-1.2034537523235471,28.796546247676453
2010-05-25,22.23,30.35,0.7689184124101404,-1.1066738166477599,28.89332618335224
2010-05-26,22.34,30.11,0.768611935348638,-0.8029053733474925,29.197094626652508
2010-05-27,23.76,31.3,0.76813217081166,-0.2825369464049565,29.717463053595043
2010-05-28,23.23,30.75,0.7678955045990624,-0.3827867664211695,29.61721323357883
2010-06-01,22.24,29.76,0.767801480618039,-0.6097720631928425,29.390227936807158
2010-06-02,22.97,30.68,0.7675866515270915,-0.5795584688511681,29.420441531148832
2010-06-03,23.39,30.31,0.7674234507084476,0.12939520902695278,30.129395209026953
2010-06-04,21.93,29.11,0.767585063674339,-0.41440120356000776,29.585598796439992
2010-06-07,21.08,28.59,0.7675004390908803,-0.8628375536082693,29.13716244639173
2010-06-08,21.64,29.24,0.7672501888039831,-0.7943955206284627,29.205604479371537
2010-06-09,21.87,29.28,0.7669967636339011,-0.587665239200625,29.412334760799375
2010-06-10,23.02,30.33,0.767047332164679,-0.24454558455471442,29.755454415445286
2010-06-11,24.3,30.67,0.7672058130589795,0.7697977134810969,30.769797713481097
2010-06-14,25.05,30.37,0.7670633418716392,1.754286307358317,31.754286307358317
2010-06-15,26.2,31.12,0.7676014391703085,2.312243213019997,32.31224321302
2010-06-16,25.66,31.08,0.7685813875652735,1.7724904744713008,31.7724904744713
2010-06-17,25.52,30.91,0.7693927574788306,1.7380698663293437,31.738069866329344
2010-06-18,25.73,30.95,0.7703221737186963,1.8885287234063526,31.888528723406353
2010-06-21,26.31,31.14,0.7712776075890572,2.292415299676758,32.29241529967676
2010-06-22,24.35,30.37,0.772706723071404,0.8828968203214629,30.882896820321463
2010-06-23,25.2,30.43,0.7736830173853063,1.6568257809651286,31.65682578096513
2010-06-24,23.72,29.66,0.7751258264972583,0.7297679860913178,30.729767986091318
2010-06-25,24.59,30.1,0.7761047639674176,1.2292466045807302,31.22924660458073
2010-06-28,23.99,29.76,0.7776301837906426,0.8477257303904722,30.847725730390472
2010-06-29,22.39,28.66,0.7789234395582018,0.0660542222619398,30.06605422226194
2010-06-30,22.63,28.37,0.7799209832526681,0.5036417051218045,30.503641705121805
2010-07-01,22.94,28.21,0.7809418099249401,0.9096315420174399,30.90963154201744
2010-07-02,22.59,28.05,0.7814452960356382,0.670459446200347,30.670459446200347
2010-07-06,22.33,28.08,0.7816488492961873,0.38130031176305934,30.38130031176306
