date,TOL,XHB,beta,value,price
2010-03-31,20.8,16.82,1.217311184881146,0.3248258702991258,30.324825870299126
2010-04-01,20.47,16.98,1.2172675069979637,-0.1992022688254238,29.800797731174576
2010-04-05,20.8,17.3,1.21678418602191,-0.25036641817904126,29.74963358182096
2010-04-06,20.42,17.17,1.2164392272946563,-0.4662615326492485,29.53373846735075
2010-04-07,20.14,16.92,1.2152922946624687,-0.42274562568897167,29.57725437431103
2010-04-08,20.27,17.27,1.2145060146269417,-0.7045188726072844,29.295481127392716
2010-04-09,20.33,17.44,1.2134097923419278,-0.8318667784432243,29.168133221556776
2010-04-12,20.33,17.66,1.2120666468547663,-1.0750969834551753,28.924903016544825
2010-04-13,20.06,17.76,1.2100444745398409,-1.4303898678275786,28.56961013217242
2010-04-14,20.69,18.31,1.2079886306269993,-1.4282718267803567,28.571728173219643
2010-04-15,20.56,18.12,1.2058993031817857,-1.2908953736539601,28.70910462634604
2010-04-16,20.43,17.86,1.204010073513837,-1.0736199129571276,28.926380087042872
2010-04-19,20.44,17.88,1.2024548783677822,-1.0598932252159443,28.940106774784056
2010-04-20,20.88,18.17,1.2009585884072345,-0.9414175513594536,29.058582448640546
2010-04-21,21.65,18.61,1.1996104625118245,-0.6747507073450549,29.325249292654945
2010-04-22,22.4,19.31,1.1988236374429673,-0.7492844390236968,29.250715560976303
2010-04-23,23.0,19.64,1.197842708863494,-0.5256308020790215,29.47436919792098
2010-04-26,22.79,19.5,1.1969962739012228,-0.5514273410738433,29.448572658926157
2010-04-27,22.16,18.68,1.1960396035847738,-0.18201979496357268,29.817980205036427
2010-04-28,22.24,18.92,1.1954856704033148,-0.37858888403071944,29.62141111596928
2010-04-29,22.89,19.47,1.1946275986175972,-0.3693993450846129,29.630600654915387
2010-04-30,22.57,19.1,1.1935863985098771,-0.22750021153865418,29.772499788461346
2010-05-03,23.15,19.51,1.1926276784202325,-0.11816600597873972,29.88183399402126
2010-05-04,22.42,18.86,1.1918854713952547,-0.05895999051450218,29.941040009485498
2010-05-05,22.02,18.36,1.1911857928570266,0.14982884314499145,30.14982884314499
2010-05-06,21.5,17.66,1.1905376843079944,0.4751044951208172,30.475104495120817
2010-05-07,20.7,17.1,1.1904222885165112,0.3437788663676571,30.343778866367657
2010-05-10,22.38,18.39,1.1900457746041484,0.49505820502971076,30.49505820502971
2010-05-11,22.39,18.38,1.1896097050317198,0.5249736215169918,30.524973621516992
2010-05-12,22.44,18.89,1.1892830691013463,-0.025557175324429693,29.97444282467557
2010-05-13,21.3,18.34,1.188526577278499,-0.49757742728766985,29.50242257271233
2010-05-14,20.91,17.96,1.1874173196376852,-0.4160150606928248,29.583984939307175
2010-05-17,20.88,17.94,1.1869617599432356,-0.4140939733816502,29.58590602661835
2010-05-18,21.15,17.63,1.186492616650311,0.23213516845501658,30.232135168455017
2010-05-19,20.8,17.36,1.1865147799125761,0.2021034207176804,30.20210342071768
2010-05-20,20.31,16.62,1.1865136265007556,0.5901435275574372,30.590143527557437
2010-05-21,20.69,16.74,1.1869352065488699,0.820704642371922,30.820704642371922
2010-05-24,20.52,16.58,1.1876162498683287,0.8293225771831132,30.829322577183113
2010-05-25,20.61,16.71,1.1884133527354404,0.7516128757907907,30.75161287579079
2010-05-26,20.78,16.78,1.1893540997147019,0.8226382067873033,30.822638206787303
2010-05-27,21.12,17.42,1.1903212047058842,0.38460461402349466,30.384604614023495
2010-05-28,21.07,17.22,1.190756434789892,0.5651741929180609,30.56517419291806
2010-06-01,20.13,16.58,1.1914540426511364,0.3756919728441588,30.37569197284416
2010-06-02,20.73,16.86,1.1919766699590315,0.6332733444907284,30.63327334449073
2010-06-03,20.23,16.9,1.192798762472999,0.07170091420631763,30.071700914206318
2010-06-04,19.5,16.03,1.1926983040283727,0.3810461864251842,30.381046186425184
2010-06-07,18.61,15.43,1.1928278736488303,0.2046659095985497,30.20466590959855
2010-06-08,18.59,15.38,1.193018632374685,0.24137343407734235,30.241373434077342
2010-06-09,18.3,15.42,1.1933699261373045,-0.10176426103723557,29.898235738962764
2010-06-10,18.83,16.13,1.1935036903129896,-0.4212145247485246,29.578785475251475
2010-06-11,18.84,16.12,1.1929538906323611,-0.39041671699366276,29.609583283006337
2010-06-14,18.64,16.23,1.1925362162814892,-0.7148627902485707,29.28513720975143
2010-06-15,18.93,16.59,1.1917107619347718,-0.8404815404978621,29.159518459502138
2010-06-16,18.78,16.41,1.1904520763837403,-0.7553185734571777,29.244681426542822
2010-06-17,18.03,16.02,1.1894865308953444,-1.0255742249434157,28.974425775056584
2010-06-18,17.95,15.82,1.1883345897684967,-0.849453210137618,29.150546789862382
2010-06-21,17.63,15.61,1.1871165180027052,-0.9008888460222302,29.09911115397777
2010-06-22,17.06,15.23,1.1857290668927785,-0.9986536887770185,29.00134631122298
2010-06-23,17.49,15.41,1.1838268569280856,-0.7527718652618027,29.247228134738197
2010-06-24,17.43,15.11,1.1823171786195608,-0.43481256894156317,29.565187431058437
2010-06-25,17.2,15.15,1.181133130178972,-0.6941669222114264,29.305833077788574
2010-06-28,17.05,15.12,1.1796833527903077,-0.7868122941894491,29.21318770581055
2010-06-29,16.61,14.49,1.1786096813855595,-0.46805428327675713,29.531945716723243
2010-06-30,16.36,14.32,1.1778359262059175,-0.5066104632687392,29.49338953673126
2010-07-01,16.4,14.19,1.1772402195277485,-0.30503871509875324,29.694961284901247
2010-07-02,16.11,14.02,1.1767858252577068,-0.38853727011304784,29.611462729886952
2010-07-06,16.02,13.88,1.1765292462873198,-0.31022593846800106,29.689774061532
