date,PG,XLP,beta,value,price
2010-03-31,63.27,27.93,2.310287884086447,-1.2563406025344577,28.743659397465542
2010-04-01,63.36,28.11,2.3097891903908603,-1.5681741418870843,28.431825858112916
2010-04-05,63.76,28.11,2.3090807077110456,-1.1482586937574908,28.85174130624251
2010-04-06,63.11,28.02,2.3087775716651304,-1.581947558056953,28.418052441943047
2010-04-07,62.5,27.84,2.3083963508522536,-1.765754407726746,28.234245592273254
2010-04-08,62.56,27.89,2.307821261514316,-1.8051349836342752,28.194865016365725
2010-04-09,62.73,28.04,2.307454250622216,-1.9710171874469395,28.02898281255306
2010-04-12,62.7,28.13,2.3067672222187534,-2.1893619610135318,27.81063803898647
2010-04-13,63.0,28.04,2.3058149603964817,-1.6550514895173478,28.344948510482652
2010-04-14,63.19,28.08,2.3050408086533354,-1.5355459069856607,28.46445409301434
2010-04-15,63.0,28.03,2.3046048811658633,-1.5980748190791445,28.401925180920855
2010-04-16,62.85,27.91,2.303807046106304,-1.4492546568269447,28.550745343173055
2010-04-19,63.22,28.02,2.3035779810221237,-1.3262550282399133,28.673744971760087
2010-04-20,63.19,28.099,2.303253315629397,-1.5291149158704371,28.470885084129563
2010-04-21,63.63,28.1,2.302436932678674,-1.0684778082707354,28.931522191729265
2010-04-22,63.59,28.1,2.3017779745107476,-1.0899610837520015,28.910038916248
2010-04-23,63.54,28.03,2.3010214446067208,-0.9576310923263875,29.042368907673612
2010-04-26,63.94,27.97,2.3003491074637417,-0.4007645357608567,29.599235464239143
2010-04-27,63.11,27.48,2.2994139272612384,-0.07789472113883278,29.922105278861167
2010-04-28,63.17,27.7,2.2986110471927086,-0.5015260072380272,29.498473992761973
2010-04-29,62.2,27.79,2.297543660458084,-1.64873832413015,28.35126167586985
2010-04-30,62.16,27.63,2.2957248160012664,-1.2708766661149937,28.729123333885006
2010-05-03,62.68,27.79,2.294012065234015,-1.0705952928532767,28.929404707146723
2010-05-04,61.71,27.51,2.2924200207822407,-1.3544747717194454,28.645525228280555
2010-05-05,62.16,27.61,2.2906106823381807,-1.0837609393571697,28.91623906064283
2010-05-06,60.75,26.92,2.2890655031414453,-0.8716433445677083,29.12835665543229
2010-05-07,60.31,26.74,2.2876058503617838,-0.8605804386740914,29.13941956132591
2010-05-10,62.42,27.52,2.2861483124050266,-0.4948015573863316,29.50519844261367
2010-05-11,62.37,27.51,2.2849788861055003,-0.48976915676232124,29.51023084323768
2010-05-12,63.02,27.7,2.28391019428187,-0.24431238160779145,29.75568761839221
2010-05-13,62.75,27.53,2.2827008212550446,-0.09275360915138009,29.90724639084862
2010-05-14,62.54,27.27,2.2817996178555533,0.3153244210790618,30.315324421079062
2010-05-17,63.38,27.56,2.2810189335240785,0.5151181920764003,30.5151181920764
2010-05-18,63.21,27.4,2.2803910260953195,0.7272858849882482,30.727285884988248
2010-05-19,63.22,27.33,2.2798954850430966,0.9104563937721721,30.910456393772172
2010-05-20,61.61,26.52,2.2794277233954205,1.1595767755534467,31.159576775553447
2010-05-21,61.85,26.62,2.2789008534245943,1.185659281837303,31.185659281837303
2010-05-24,61.4,26.43,2.278521087684589,1.1786876524963148,31.178687652496315
2010-05-25,61.05,26.12,2.2782040020735583,1.5433114658386486,31.54331146583865
2010-05-26,60.44,25.95,2.278194308653517,1.3208576904412297,31.32085769044123
2010-05-27,60.95,26.48,2.278066049647256,0.626811005340663,30.626811005340663
2010-05-28,61.09,26.35,2.2776581732436596,1.0737071350295722,31.073707135029572
2010-06-01,61.16,26.29,2.2775473306614664,1.2832806769100458,31.283280676910046
2010-06-02,61.74,26.74,2.2777711773944342,0.8323987164728308,30.83239871647283
2010-06-03,61.8,26.78,2.277913201894028,0.7974844532779244,30.797484453277924
2010-06-04,60.8,26.07,2.2779172600030484,1.4146970317205216,31.41469703172052
2010-06-07,60.62,25.87,2.2783831004397608,1.6782291916233874,31.678229191623387
2010-06-08,62.14,26.29,2.2789729310278513,2.2258016432777907,32.22580164327779
2010-06-09,61.47,26.24,2.2798428505880035,1.646923600570787,31.646923600570787
2010-06-10,61.91,26.69,2.2804467157128028,1.0448771576252867,31.044877157625287
2010-06-11,61.01,26.47,2.281009439779024,0.6316801290492364,30.631680129049236
2010-06-14,61.25,26.62,2.2812074615440303,0.5242573736979139,30.524257373697914
2010-06-15,61.91,26.89,2.2815639962765344,0.5587441401239843,30.558744140123984
2010-06-16,61.19,26.71,2.281601060132235,0.24843568386800285,30.248435683868003
2010-06-17,61.76,26.95,2.2816241868213734,0.27022816516398507,30.270228165163985
2010-06-18,61.3,26.66,2.28156838754549,0.47338678803723155,30.47338678803723
2010-06-21,61.1,26.59,2.2819212341362634,0.4237143843167601,30.42371438431676
2010-06-22,60.72,26.3,2.2821872784894137,0.6984745757284188,30.69847457572842
2010-06-23,61.38,26.47,2.2826023567036557,0.9595156180542403,30.95951561805424
2010-06-24,60.87,26.15,2.2833447969066465,1.1605335608911957,31.160533560891196
2010-06-25,59.79,25.88,2.284330146228506,0.6715358156062692,30.67153581560627
2010-06-28,60.62,26.1,2.285056658389452,0.9800212160353041,30.980021216035304
2010-06-29,60.32,25.68,2.2861895140176816,1.6106532800259359,31.610653280025936
2010-06-30,59.98,25.5,2.2874489260072224,1.6500523868158226,31.650052386815823
2010-07-01,59.54,25.55,2.289032977281822,1.0552074304494496,31.05520743044945
2010-07-02,59.38,25.45,2.290426567979056,1.0886438449330313,31.08864384493303
2010-07-06,59.34,25.6,2.2919022877918285,0.667301432529193,30.667301432529193
