date,ADI,XSD,beta,value,price
2010-03-31,28.82,23.989998,1.2552748534887357,-1.2940412246450634,28.705958775354937
2010-04-01,28.82,23.9549945,1.2531428849700335,-1.1990309171712852,28.800969082828715
2010-04-05,29.45,24.6949925,1.2511260125111716,-1.446547495518292,28.553452504481708
2010-04-06,29.29,24.524994,1.2489118688215135,-1.339556089376405,28.660443910623595
2010-04-07,29.46,24.689995,1.246737193913247,-1.3219350840320985,28.6780649159679
2010-04-08,28.99,24.314995,1.2446800661575594,-1.274389585220728,28.725610414779272
2010-04-09,29.11,24.644997,1.2426266731729216,-1.5145306324666343,28.485469367533366
2010-04-12,29.55,24.844994,1.240606412107159,-1.2728588651638901,28.72714113483611
2010-04-13,29.78,25.0449985,1.2389705161190787,-1.2500147177465486,28.74998528225345
2010-04-14,31.35,26.109993,1.2372396150440206,-0.9543176881220674,29.045682311877933
2010-04-15,31.35,26.259995,1.2358071701956446,-1.102290110301773,28.897709889698227
2010-04-16,30.58,25.7949985,1.2341353205084196,-1.2545187413117027,28.745481258688297
2010-04-19,30.41,25.484993,1.2328495017280978,-1.0091609215940593,28.99083907840594
2010-04-20,30.75,25.899994,1.2316740399428039,-1.1503502444743816,28.84964975552562
2010-04-21,30.29,25.5999985,1.2304393344603166,-1.209245116525107,28.790754883474893
2010-04-22,30.42,25.739998,1.2291679110664444,-1.2187795725144568,28.781220427485543
2010-04-23,30.67,25.7449955,1.2280188336051432,-0.9453393450796597,29.05466065492034
2010-04-26,31.13,25.939995,1.2272413289167148,-0.7046339358929359,29.295366064107064
2010-04-27,30.04,25.054993,1.2264507847666102,-0.6887158271719258,29.311284172828074
2010-04-28,30.25,25.25,1.2252328526204348,-0.6871295286659773,29.312870471334023
2010-04-29,30.85,25.574997,1.2242225298036846,-0.4594875270616434,29.540512472938357
2010-04-30,29.93,24.4649965,1.2234228446904394,-0.0010356133716449278,29.998964386628355
2010-05-03,30.09,24.929993,1.2231198279799667,-0.40236874970177183,29.597631250298228
2010-05-04,29.4,24.0349965,1.2224524046238099,0.01836073345014455,30.018360733450145
2010-05-05,29.24,23.7949985,1.2220816574596238,0.16056879387073764,30.160568793870738
2010-05-06,28.08,22.969994,1.2218392006600858,0.014360891873032244,30.014360891873032
2010-05-07,27.74,22.695,1.2214482789896275,0.019231308330400765,30.0192313083304
2010-05-10,29.18,23.854996,1.2211950243806027,0.04839757818082191,30.048397578180822
2010-05-11,28.86,23.644997,1.2209205870037039,-0.008663616940818741,29.99133638305918
2010-05-12,29.36,24.344994,1.2205189881672656,-0.3535274438181517,29.64647255618185
2010-05-13,28.58,23.792496,1.2198737612348738,-0.4438415846856927,29.556158415314307
2010-05-14,27.78,23.114998,1.2193303569448224,-0.4048187621188539,29.595181237881146
2010-05-17,28.35,23.4199985,1.218157528693272,-0.17924749476013346,29.820752505239867
2010-05-18,27.6,22.6749955,1.2170974019046803,0.0023218887496838647,30.002321888749684
2010-05-19,28.77,22.769997,1.2160334152675123,1.080922782458991,31.08092278245899
2010-05-20,28.12,22.0899965,1.2157077316854388,1.2650204620457188,31.26502046204572
2010-05-21,28.64,22.434998,1.215544758956665,1.3692557638967386,31.36925576389674
2010-05-24,28.47,22.149994,1.2152771362021264,1.5516187247857154,31.551618724785715
2010-05-25,28.67,22.184998,1.2153847998249678,1.7066906466526888,31.70669064665269
2010-05-26,28.48,22.219994,1.2156279240563526,1.4687548212353896,31.46875482123539
2010-05-27,29.72,23.2099995,1.2159193132483896,1.4985133474645345,31.498513347464534
2010-05-28,29.17,22.779999,1.2164416018128437,1.4594615271450238,31.459461527145024
2010-06-01,28.87,22.269997,1.2170808398232718,1.7656133483782597,31.76561334837826
2010-06-02,29.81,22.979996,1.217812252063709,1.8246793188249768,31.824679318824977
2010-06-03,30.37,23.234993,1.2185848440619378,2.0561896783147873,32.05618967831479
2010-06-04,29.0,22.2849965,1.2197001078252176,1.8189873660654037,31.818987366065404
2010-06-07,27.96,21.434998,1.2203966409226856,1.8008004426155146,31.800800442615515
2010-06-08,28.09,21.3899995,1.2214500377475717,1.9631843033044625,31.963184303304462
2010-06-09,27.87,21.059998,1.222735553878524,2.119191680789392,32.11919168078939
2010-06-10,28.62,21.7549975,1.2239916507746311,1.9920646973770246,31.992064697377025
2010-06-11,29.04,22.104996,1.2249886762087818,1.9616302123595837,31.961630212359584
2010-06-14,28.88,22.125,1.226083528897549,1.752901923141728,31.752901923141728
2010-06-15,30.36,23.25,1.2270169015187964,1.831857039687982,31.831857039687982
2010-06-16,30.6,23.3499985,1.2280208737905751,1.9257144390213803,31.92571443902138
2010-06-17,30.65,23.375,1.2292660978071437,1.9159049637580132,31.915904963758013
2010-06-18,30.52,23.2649995,1.2306208392004987,1.8896067913108183,31.88960679131082
2010-06-21,30.28,23.009995,1.2323535370180134,1.923551274983197,31.923551274983197
2010-06-22,29.58,22.559998,1.2341318090644904,1.7379888557687124,31.737988855768712
2010-06-23,29.8,22.6599965,1.2360139901825826,1.7919273085116458,31.791927308511646
2010-06-24,29.27,22.0499955,1.237879387101478,1.9747650848696523,31.974765084869652
2010-06-25,29.12,22.125,1.2398431101320575,1.6884711883282293,31.68847118832823
2010-06-28,29.22,22.274994,1.241610559169652,1.5631322441593554,31.563132244159355
2010-06-29,28.24,21.3349995,1.2433048161798008,1.714092368456356,31.714092368456356
2010-06-30,27.86,20.9649965,1.2453238354124032,1.7517901492123897,31.75179014921239
2010-07-01,27.92,20.9549945,1.2473496089737819,1.78179580437725,31.78179580437725
