date,CMCSA,XLY,beta,value,price
2010-03-31,9.4149935,32.84,0.27231492859279466,0.4721712450126212,30.47217124501262
2010-04-01,9.429993,33.07,0.27242167705208187,0.4210081398876522,30.421008139887654
2010-04-05,9.4099965,33.47,0.27257816015551617,0.28680547959487335,30.286805479594875
2010-04-06,9.3799975,33.52,0.2726980780299006,0.23915792443773043,30.23915792443773
2010-04-07,9.144997,33.4,0.27273462148064614,0.03566064254641965,30.035660642546418
2010-04-08,9.2149965,33.72,0.27266448444685254,0.020750084452132,30.020750084452132
2010-04-09,9.25,33.97,0.272605486824855,-0.010408387440325129,29.989591612559675
2010-04-12,9.314995,33.97,0.2725511392891377,0.05643279834799131,30.05643279834799
2010-04-13,9.3349995,34.15,0.2725152517434262,0.028603652961995962,30.028603652961998
2010-04-14,9.4649965,34.68,0.27248878815974026,0.01508532662020734,30.01508532662021
2010-04-15,9.429993,34.83,0.2724231715817498,-0.05850606619234533,29.941493933807656
2010-04-16,9.1599965,34.37,0.27232219096873,-0.1997172035952488,29.80028279640475
2010-04-19,9.2899935,34.43,0.27215639545236703,-0.08035119542499736,29.919648804575004
2010-04-20,9.269997,34.85,0.27213631662063,-0.21395363422895564,29.786046365771043
2010-04-21,9.2649995,35.01,0.27199844000094653,-0.25766588443313765,29.742334115566862
2010-04-22,9.399994,35.64,0.27181448012006654,-0.28747407147917237,29.712525928520826
2010-04-23,9.479996,35.67,0.2716888167367327,-0.2111440929992554,29.788855907000745
2010-04-26,9.5399935,35.95,0.27157733447934623,-0.22321167453249835,29.7767883254675
2010-04-27,9.229996,34.91,0.2714895757848325,-0.24770509064850188,29.752294909351498
2010-04-28,9.404999,34.79,0.2713190143805575,-0.03418951029959594,29.965810489700402
2010-04-29,10.0,35.56,0.2712877959596442,0.35300597567505143,30.353005975675053
2010-04-30,9.884995,34.82,0.27144525939046243,0.43327106802409787,30.433271068024098
2010-05-03,10.195,35.52,0.2717223179156482,0.5434232676361752,30.543423267636175
2010-05-04,9.934998,34.4825,0.272062690369913,0.5535962793194749,30.553596279319475
2010-05-05,9.8699955,33.99,0.272414860667286,0.6106143859189483,30.61061438591895
2010-05-06,9.2549975,32.78,0.27282028979743367,0.31194840044012473,30.311948400440123
2010-05-07,9.179993,32.18,0.2730806771169237,0.3922568103773951,30.392256810377397
2010-05-10,9.0149995,33.86,0.2733835988605285,-0.24176915741749383,29.758230842582506
2010-05-11,9.0399935,33.85,0.2734068734092986,-0.21482916490475823,29.785170835095244
2010-05-12,9.0899965,34.34,0.27344214242007236,-0.30000667070528664,29.699993329294713
2010-05-13,8.8799975,33.57,0.2734171859816308,-0.29861743340334534,29.701382566596656
2010-05-14,8.7999955,33.01,0.27342949680653805,-0.22591218958382164,29.774087810416177
2010-05-17,9.0499955,33.26,0.2734897409687875,-0.04627328462187208,29.953726715378128
2010-05-18,8.846245,32.64,0.2735876474264968,-0.08365581200085614,29.916344187999144
2010-05-19,8.7899935,32.44,0.2736240279601221,-0.08636996702636068,29.91363003297364
2010-05-20,8.3937455,31.18,0.27364830521028866,-0.13860865645680143,29.861391343543197
2010-05-21,8.5149995,31.73,0.27363561637559003,-0.1674586075974709,29.83254139240253
2010-05-24,8.384995,31.51,0.27367838823219404,-0.23861101319643474,29.761388986803567
2010-05-25,8.8349995,31.83,0.27362623245184076,0.12547652105790874,30.12547652105791
2010-05-26,8.859993,31.73,0.2737176175356135,0.17493299559498254,30.174932995594983
2010-05-27,9.1649935,32.87,0.2738201109299403,0.16452645373286323,30.16452645373286
2010-05-28,9.0449985,32.37,0.2738961481735844,0.17898018362107493,30.178980183621075
2010-06-01,9.009995,31.88,0.2739657024005875,0.2759684074692714,30.27596840746927
2010-06-02,9.189995,32.68,0.2740946644672536,0.2325813652101516,30.23258136521015
2010-06-03,9.199997,32.79,0.27418705008760336,0.209403627627486,30.209403627627488
2010-06-04,8.894997,31.52,0.274275179166332,0.2498433526772157,30.249843352677217
2010-06-07,8.679993,30.92,0.27438409848601225,0.19603667481250042,30.1960366748125
2010-06-08,8.7149965,31.18,0.27448833130961775,0.15645032976611795,30.156450329766116
2010-06-09,8.707497,31.22,0.274624685805624,0.13371430914842009,30.13371430914842
2010-06-10,9.0349965,32.28,0.27472084411086123,0.16700765210139856,30.167007652101397
2010-06-11,9.094994,32.25,0.2748787489808236,0.23015434536843848,30.23015434536844
2010-06-14,9.074997,32.34,0.27506954527647837,0.17924790575868776,30.179247905758686
2010-06-15,9.324997,33.11,0.27521569392327333,0.21260537420041992,30.21260537420042
2010-06-16,9.195,32.88,0.275394988781898,0.14001276885119296,30.140012768851193
2010-06-17,9.2899935,32.68,0.2755259974424961,0.285803903579227,30.28580390357923
2010-06-18,9.2549975,32.47,0.2756716641480155,0.3039385651139366,30.30393856511394
2010-06-21,9.1749955,32.21,0.2757879496061818,0.29186564318488273,30.291865643184885
2010-06-22,9.1199955,31.49,0.2758606609006457,0.4331432882386679,30.433143288238668
2010-06-23,9.0899965,31.47,0.2760407326454514,0.40299464364764326,30.402994643647645
2010-06-24,8.9099965,30.72,0.276176627726848,0.42585049623123084,30.42585049623123
2010-06-25,8.8349995,30.81,0.2762571539920705,0.32351658550430784,30.323516585504308
2010-06-28,9.054993,30.58,0.276237704684614,0.6076439907445046,30.607643990744506
2010-06-29,8.8399965,29.49,0.27637149989856996,0.6898009679911716,30.68980096799117
2010-06-30,8.684998,29.13,0.2765994742714448,0.627655314472813,30.62765531447281
2010-07-01,8.8699955,29.37,0.27682318820764185,0.7396984623415594,30.739698462341558
2010-07-02,8.729996,29.04,0.27720787240117534,0.679879385469869,30.679879385469867
2010-07-06,8.899994,29.04,0.27758067017802784,0.839051338030071,30.83905133803007
2010-07-07,8.9199985,29.86,0.27805197499592604,0.6173665266216481,30.617366526621648
2010-07-08,8.9199985,30.12,0.2784072002819045,0.5343736275090354,30.534373627509034
2010-07-09,9.0349965,30.41,0.27875020515454274,0.5582027612503548,30.558202761250357
2010-07-12,9.2549975,30.45,0.2791259195774868,0.7556132488655276,30.75561324886553
2010-07-13,9.509995,31.21,0.2796480251310513,0.782180135659889,30.78218013565989
2010-07-14,9.489998,31.01,0.2802784508560412,0.7985632389541628,30.798563238954163
2010-07-15,9.654999,31.11,0.2808671905963862,0.9172207005464248,30.917220700546423
2010-07-16,9.269997,30.02,0.2816083465337914,0.8161144370555817,30.81611443705558
2010-07-19,9.5049975,30.31,0.28233263645537165,0.9474952890376862,30.947495289037686
2010-07-20,9.429993,30.74,0.28317397582657994,0.7252249830909321,30.725224983090932
2010-07-21,9.1749955,30.19,0.28389228953436446,0.6042872789575355,30.604287278957536
2010-07-22,9.4099965,31.1,0.28457838919580186,0.5596085960105626,30.559608596010563
2010-07-23,9.6599965,31.55,0.2852643490018707,0.6599062889909799,30.65990628899098
2010-07-26,9.734993,32.02,0.2859016819758076,0.5804211431346378,30.580421143134636
2010-07-27,9.6649935,31.61,0.2863049815531426,0.6148930331051616,30.61489303310516
2010-07-28,9.779999,31.39,0.28667428480424345,0.7812931999947974,30.7812931999948
2010-07-29,9.564995,31.23,0.28707381332560145,0.5996798098414668,30.59967980984147
2010-07-30,9.734993,31.44,0.28736491012852045,0.7002402255593161,30.700240225559316
2010-08-02,9.739998,32.11,0.28767426748577163,0.5027772710318725,30.502777271031874
2010-08-03,9.604996,31.62,0.28803975390052206,0.4971789816654919,30.497178981665492
2010-08-04,9.614998,32.15,0.2883504571598735,0.34453080231006794,30.344530802310068
2010-08-05,9.469994,32.25,0.28896038998728596,0.15102142291002707,30.151021422910027
2010-08-06,9.32,32.03,0.28946305883003937,0.0484982256738391,30.04849822567384
2010-08-09,9.364998,32.34,0.28998021140327934,-0.012962036782054653,29.987037963217944
2010-08-10,9.304993,32.06,0.2904563516156966,-0.007037632799233862,29.992962367200768
2010-08-11,9.0049975,31.22,0.29089107872074693,-0.07662197766171808,29.923378022338284
2010-08-12,9.0849995,31.1,0.29120192897864233,0.0286195087642227,30.028619508764223
2010-08-13,8.934998,30.75,0.29158081935582575,-0.03111219519164088,29.96888780480836
2010-08-16,8.875,30.74,0.2919325158733978,-0.09900553794824773,29.900994462051752
2010-08-17,8.8799975,31.24,0.2922557424995986,-0.25007189568746035,29.749928104312538
2010-08-18,9.054993,31.53,0.2925315080461499,-0.16852544869510666,29.831474551304893
2010-08-19,8.9199985,30.92,0.29288663067803034,-0.13605612056469774,29.863943879435304
2010-08-20,8.904999,30.9,0.29307882017959075,-0.15113654354935413,29.848863456450644
2010-08-23,8.7249985,30.62,0.29323647695750155,-0.2539024244386976,29.7460975755613
2010-08-24,8.5049975,30.1,0.2933693541734251,-0.325420060620095,29.674579939379903
2010-08-25,8.666245,30.41,0.29345163522236467,-0.2576192271121105,29.74238077288789
2010-08-26,8.5149995,30.2,0.2935059203906165,-0.34887929579661936,29.65112070420338
2010-08-27,8.625,30.69,0.2935504298406439,-0.3840626918093619,29.615937308190638
2010-08-30,8.5,30.15,0.2935876805680197,-0.3516685691257937,29.648331430874208
2010-08-31,8.547493,30.19,0.2935998970084107,-0.3162878906839204,29.68371210931608
2010-09-01,8.9697495,31.23,0.29364748701212384,-0.20086151938862784,29.799138480611372
2010-09-02,9.0399935,31.81,0.2937763287340318,-0.3050315170295512,29.69496848297045
2010-09-03,9.104996,32.28,0.2938588214489831,-0.38076675637317514,29.619233243626823
2010-09-07,8.899994,31.76,0.2938977416125283,-0.43419827361389984,29.5658017263861
2010-09-08,8.9599995,31.99,0.2938730684423868,-0.44099995947195403,29.559000040528048
2010-09-09,8.989998,32.02,0.29386895969212795,-0.41968608934193874,29.580313910658063
2010-09-10,9.199997,32.29,0.29386846501435493,-0.2890157353135212,29.71098426468648
2010-09-13,9.210999,32.68,0.293972718966357,-0.39602945582054794,29.603970544179454
2010-09-14,8.894997,32.71,0.29392812782902183,-0.719392061287305,29.280607938712695
2010-09-15,9.0174945,32.77,0.2936837385176588,-0.6065216112236786,29.393478388776323
2010-09-16,8.7849965,32.77,0.29349890812141655,-0.8329627191388216,29.16703728086118
2010-09-17,8.82,32.75,0.29309487063133477,-0.7788570131762143,29.221142986823786
2010-09-20,9.0499955,33.38,0.29272832381604547,-0.7212759489795992,29.2787240510204
2010-09-21,9.0662465,33.24,0.2923587636005651,-0.6517588020827851,29.348241197917215
2010-09-22,8.9749985,33.02,0.2920790148226219,-0.6694505694429758,29.330549430557024
2010-09-23,8.9599995,32.85,0.29163742733079157,-0.6202899878165038,29.379710012183494
2010-09-24,9.2849965,33.7,0.29117072341111877,-0.5274568789547036,29.472543121045298
2010-09-27,9.154999,33.48,0.29076972206353563,-0.5799712946871711,29.42002870531283
2010-09-28,9.167496,33.74,0.2902791751210409,-0.6265233685839213,29.37347663141608
2010-09-29,9.074997,33.5,0.2897785279026926,-0.6325836847402027,29.367416315259796
2010-09-30,9.0399935,33.41,0.2891898978254683,-0.6218409863488947,29.378159013651107
2010-10-01,8.907494,33.45,0.28870308214822327,-0.749624097858069,29.250375902141933
2010-10-04,8.8299945,33.38,0.2881757215564104,-0.7893110855529812,29.21068891444702
2010-10-05,9.0362475,34.08,0.28760416098774505,-0.7653023064623508,29.234697693537647
2010-10-06,8.8799975,33.85,0.2869258345315425,-0.8324419988927154,29.167558001107285
2010-10-07,8.945,34.01,0.2861793304963096,-0.7879590301794899,29.21204096982051
2010-10-08,8.9949955,34.36,0.28542888573061476,-0.8123410137039233,29.18765898629608
2010-10-11,9.009995,34.37,0.284580907990233,-0.7710508076243077,29.228949192375694
2010-10-12,9.009995,34.45,0.2837969704318578,-0.7668106313775027,29.233189368622497
2010-10-13,9.07,34.5,0.28292810287800213,-0.6910195492910738,29.308980450708926
2010-10-14,9.189995,34.46,0.2821821109724564,-0.5340005441108477,29.465999455889154
2010-10-15,9.4724965,34.71,0.2815701592159049,-0.30080372638405883,29.69919627361594
2010-10-18,9.5049975,34.76,0.28107940165452366,-0.2653225015112426,29.734677498488757
2010-10-19,9.554993,34.13,0.2805353744981648,-0.019679331622365126,29.980320668377637
2010-10-20,9.689995,34.57,0.28014250040718386,0.0054687609236534485,30.005468760923655
2010-10-21,9.752495,34.77,0.27974061672361766,0.02591375651981309,30.025913756519813
2010-10-22,9.729996,34.96,0.2792605373748441,-0.032952386624549135,29.96704761337545
2010-10-25,9.884995,35.18,0.27882872399302633,0.07580048992533328,30.075800489925335
2010-10-26,9.82,35.33,0.2783941157222229,-0.015664108466133086,29.984335891533867
2010-10-27,10.134995,35.11,0.2779846843568177,0.37495273223212955,30.37495273223213
2010-10-28,10.429993,35.27,0.27778883903119517,0.6323806473697449,30.632380647369743
2010-10-29,10.3127445,35.26,0.2777936485680822,0.5177404514894235,30.517740451489423
2010-11-01,10.25,35.19,0.27782097906653547,0.4734797466486178,30.473479746648618
2010-11-02,10.3405,35.59,0.27786965544009823,0.4511189628869037,30.451118962886902
2010-11-03,10.3349995,35.77,0.2779280377175445,0.3935135908434333,30.393513590843433
2010-11-04,10.529999,36.33,0.2779497907003267,0.43208310385713133,30.43208310385713
2010-11-05,10.519997,36.51,0.2780329762963933,0.369013035418682,30.369013035418682
2010-11-08,10.453743,36.45,0.2780306416046621,0.3195261135100651,30.319526113510065
2010-11-09,10.384995,36.12,0.2780275007043264,0.34264167455973116,30.34264167455973
2010-11-10,10.364998,36.44,0.2780615645514894,0.23243458774372705,30.232434587743725
2010-11-11,10.3399965,36.39,0.2780976704138533,0.22002227363987714,30.220022273639877
2010-11-12,10.2149965,36.01,0.2780824520917965,0.2012474001744078,30.20124740017441
2010-11-15,10.294495,35.94,0.2780427270552912,0.3016393896328342,30.301639389632832
2010-11-16,10.1299975,35.45,0.278059630161701,0.27278361076769997,30.2727836107677
2010-11-17,10.195,35.76,0.2781064866363987,0.2499120378823836,30.249912037882382
2010-11-18,10.2849965,36.07,0.27817756630804447,0.25113168326883617,30.251131683268838
2010-11-19,10.279999,36.24,0.27821746472043124,0.1973980785315721,30.19739807853157
2010-11-22,10.199997,36.41,0.2782711609067738,0.06814403138436731,30.068144031384367
2010-11-23,10.074997,35.87,0.27826940509711073,0.09347343916663853,30.093473439166637
2010-11-24,10.189995,36.61,0.2782698452445797,0.002535965595937384,30.00253596559594
2010-11-26,10.114998,36.31,0.27820881080329823,0.01323607973224128,30.01323607973224
2010-11-29,10.104996,36.23,0.27809234403449035,0.029710375630415342,30.029710375630415
2010-11-30,10.0174945,36.15,0.27802124394185185,-0.03297346849794458,29.967026531502057
2010-12-01,10.4149935,36.92,0.2779460535274051,0.15322520376820314,30.1532252037682
2010-12-02,10.359993,37.4,0.2779925337772305,-0.03692776326842129,29.963072236731577
2010-12-03,10.354996,37.42,0.27794397646388525,-0.04566759927858577,29.954332400721412
2010-12-06,10.300995,37.46,0.27788096273860663,-0.1084258641882041,29.891574135811794
