date,ODP,XRT,beta,value,price
2010-03-31,7.98,41.3,0.1847643937546929,0.3492305379311844,30.349230537931184
2010-04-01,8.11,41.8,0.18501508089927823,0.3763696184101697,30.37636961841017
2010-04-05,8.24,42.31,0.18517072430295578,0.40542665474194095,30.40542665474194
2010-04-06,8.32,42.48,0.18543412660653033,0.4427583017545924,30.442758301754594
2010-04-07,8.1,42.24,0.18557033043187743,0.26150924255749697,30.261509242557498
2010-04-08,8.1,42.34,0.18557854787514264,0.24260428296646008,30.24260428296646
2010-04-09,8.08,42.8,0.18564919467173593,0.13421446804970305,30.134214468049702
2010-04-12,8.01,42.68,0.185790276166088,0.08047101323136374,30.080471013231364
2010-04-13,7.97,42.87,0.18585517533069199,0.0023886335732346,30.002388633573233
2010-04-14,8.27,43.81,0.18587641758077475,0.12675414578625777,30.126754145786258
2010-04-15,8.25,43.94,0.18594260770874357,0.0796818172778071,30.07968181727781
2010-04-16,8.01,43.37,0.1859976148533113,-0.056716556188110445,29.94328344381189
2010-04-19,7.94,43.03,0.18609959410982585,-0.06786553454580702,29.932134465454194
2010-04-20,7.93,43.26,0.18622693451732547,-0.12617718721950055,29.8738228127805
2010-04-21,8.11,43.77,0.18634745611274456,-0.04642815405482992,29.95357184594517
2010-04-22,8.21,44.78,0.1865276684992819,-0.1427089953978431,29.857291004602157
2010-04-23,8.45,45.12,0.18671367405932202,0.025479026443390396,30.025479026443392
2010-04-26,8.95,45.4,0.18699531894782653,0.46041251976867414,30.460412519768674
2010-04-27,7.06,43.83,0.18751699811345618,-1.1588700273127843,28.841129972687217
2010-04-28,6.87,43.42,0.187279767784589,-1.2616875172068545,28.738312482793145
2010-04-29,7.04,44.23,0.18696247087071985,-1.2293500866119382,28.770649913388063
2010-04-30,6.86,42.76,0.18663493526195565,-1.1205098318012228,28.879490168198778
2010-05-03,7.0,43.57,0.18634079000266734,-1.118868220416216,28.881131779583782
2010-05-04,6.55,42.51,0.1861814249046968,-1.3645723726986612,28.63542762730134
2010-05-05,6.46,42.5,0.18594242651043102,-1.4425531266933183,28.55744687330668
2010-05-06,5.84,40.8401,0.18568565669959428,-1.7434207881771,28.2565792118229
2010-05-07,6.18,39.79,0.18529067619346157,-1.1927160057378359,28.807283994262164
2010-05-10,6.68,42.11,0.1851313797048948,-1.1158823993731204,28.88411760062688
2010-05-11,6.8,42.27,0.1849255719458278,-1.016803926150141,28.98319607384986
2010-05-12,7.02,43.07,0.18463605666433294,-0.93227496053282,29.06772503946718
2010-05-13,6.56,41.58,0.18430351016097224,-1.1033399524932257,28.896660047506774
2010-05-14,6.43,40.81,0.1839372381737352,-1.0764786898701342,28.923521310129864
2010-05-17,6.38,41.14,0.18358629311282026,-1.1727400986614258,28.827259901338575
2010-05-18,6.36,40.21,0.18318174998555575,-1.0057381669191967,28.994261833080802
2010-05-19,6.19,39.97,0.18282142898938689,-1.1173725167057933,28.882627483294208
2010-05-20,5.78,38.92,0.1823101611437171,-1.315511471713469,28.68448852828653
2010-05-21,5.94,39.75,0.1817890394412383,-1.286114317789222,28.71388568221078
2010-05-24,5.83,39.56,0.1812467445619303,-1.3401212148699626,28.659878785130037
2010-05-25,5.96,39.99,0.1805715468395067,-1.2610561581118738,28.738943841888126
2010-05-26,5.71,39.26,0.17983401289898415,-1.350283346414117,28.649716653585884
2010-05-27,5.99,40.78,0.17912814314849154,-1.3148456775954847,28.685154322404514
2010-05-28,5.8,40.64,0.17845242683672813,-1.4523066266446314,28.54769337335537
2010-06-01,5.43,39.67,0.17769177413427265,-1.6190326799065966,28.380967320093404
2010-06-02,5.67,40.39,0.17691946813429615,-1.475777317944222,28.52422268205578
2010-06-03,5.71,40.66,0.17608369052912154,-1.4495628569140813,28.55043714308592
2010-06-04,5.32,38.72,0.17514052361390584,-1.4614410743304331,28.538558925669566
2010-06-07,5.1,37.76,0.1741904012693273,-1.4774295519297986,28.5225704480702
2010-06-08,5.13,38.24,0.1732383388422276,-1.4946340773267845,28.505365922673214
2010-06-09,5.17,38.43,0.17230603108520726,-1.4517207746045147,28.548279225395486
2010-06-10,5.34,39.49,0.17138223358537613,-1.4278844042865035,28.5721155957135
2010-06-11,5.4,39.75,0.17038365777491302,-1.3727503965527923,28.627249603447208
2010-06-14,5.5,40.17,0.16938019612986563,-1.3040024785367024,28.695997521463298
2010-06-15,5.65,40.72,0.16839121314483596,-1.2068901992577201,28.79310980074228
2010-06-16,5.62,40.23,0.16755148497117828,-1.1205962403905012,28.8794037596095
2010-06-17,5.39,39.86,0.16664915814778025,-1.2526354437705214,28.747364556229478
2010-06-18,5.18,39.41,0.16567276048525606,-1.3491634907239414,28.650836509276058
2010-06-21,5.05,38.57,0.1646838467696181,-1.30185596990417,28.69814403009583
2010-06-22,4.83,37.82,0.1637048628358439,-1.3613179124516162,28.638682087548382
2010-06-23,4.88,38.09,0.16264113348281256,-1.315000774360331,28.684999225639668
2010-06-24,4.65,37.18,0.1615888592221793,-1.357873785880626,28.642126214119372
2010-06-25,4.58,37.44,0.16052760756864856,-1.4301536273702018,28.569846372629797
2010-06-28,4.26,37.12,0.1594571563131377,-1.6590496423436711,28.34095035765633
2010-06-29,3.94,35.82,0.15825835744286496,-1.7288143636034232,28.271185636396577
2010-06-30,4.04,35.65,0.15700135521317593,-1.557098313349722,28.442901686650277
2010-07-01,4.15,36.33,0.15575387057104137,-1.5085381178459327,28.491461882154066
2010-07-02,4.09,35.8,0.15456621860952022,-1.4434706262208232,28.556529373779178
