date,JCI,XHB,beta,value,price
2010-03-31,32.99,16.82,1.8893801813599638,1.2106253495254116,31.21062534952541
2010-04-01,33.38,16.98,1.8918274815467733,1.256769363335792,31.256769363335792
2010-04-05,33.1,17.3,1.8938072468077638,0.3371346302256839,30.337134630225684
2010-04-06,32.9,17.17,1.8947110536889387,0.3678112081609157,30.367811208160916
2010-04-07,31.77,16.92,1.8969224722945406,-0.32592823122363157,29.67407176877637
2010-04-08,32.08,17.27,1.8987853131304036,-0.7120223577620735,29.287977642237927
2010-04-09,32.11,17.44,1.8997774819667248,-1.0221192854996843,28.977880714500316
2010-04-12,32.35,17.66,1.8989809795589156,-1.1860040990104466,28.813995900989553
2010-04-13,32.09,17.76,1.8981667955504908,-1.6214422889767164,28.378557711023284
2010-04-14,33.11,18.31,1.8967700390394409,-1.6198594148121614,28.38014058518784
2010-04-15,33.48,18.12,1.895240412853565,-0.8617562809066044,29.138243719093396
2010-04-16,32.69,17.86,1.8947100014713953,-1.14952062627912,28.85047937372088
2010-04-19,32.71,17.88,1.8937565186943173,-1.15036655425439,28.84963344574561
2010-04-20,34.25,18.17,1.8924787183833804,-0.13633831302602317,29.863661686973977
2010-04-21,34.4,18.61,1.8912376341378303,-0.795932371305021,29.20406762869498
2010-04-22,35.01,19.31,1.8886388835278751,-1.4596168409232675,28.540383159076733
2010-04-23,34.5,19.64,1.8858599631159758,-2.538289675597767,27.461710324402233
2010-04-26,34.67,19.5,1.8824983232537558,-2.0387173034482373,27.961282696551763
2010-04-27,33.31,18.68,1.8803930555959054,-1.8157422785315092,28.18425772146849
2010-04-28,33.12,18.92,1.8789149880506268,-2.4290715739178665,27.570928426082133
2010-04-29,34.52,19.47,1.8760127414068564,-2.0059680751914897,27.99403192480851
2010-04-30,33.59,19.1,1.8744757459799306,-2.2124867482166763,27.787513251783324
2010-05-03,33.9,19.51,1.8718088875119416,-2.6189913953579875,27.381008604642012
2010-05-04,32.16,18.86,1.8688591241571235,-3.086683081603354,26.913316918396646
2010-05-05,31.2,18.36,1.8655684535944341,-3.051836807993812,26.948163192006188
2010-05-06,30.22,17.66,1.8629081559730996,-2.6789580344849426,27.321041965515057
2010-05-07,29.68,17.1,1.8608189655032155,-2.140004310104988,27.859995689895012
2010-05-10,31.88,18.39,1.8594161304906958,-2.3146626397238954,27.685337360276105
2010-05-11,31.58,18.38,1.8580422199304658,-2.570816002321962,27.429183997678038
2010-05-12,32.13,18.89,1.8562745215609058,-2.9350257122855083,27.06497428771449
2010-05-13,31.54,18.34,1.8540537520156286,-2.463345811966626,27.536654188033374
2010-05-14,30.62,17.96,1.8520889559983893,-2.64351764973107,27.35648235026893
2010-05-17,30.44,17.94,1.849544426785021,-2.74082701652328,27.25917298347672
2010-05-18,29.53,17.63,1.8467354336197142,-3.027945694715555,26.972054305284445
2010-05-19,28.71,17.36,1.843155613437414,-3.2871814492735076,26.712818550726492
2010-05-20,27.68,16.62,1.8387359871253508,-2.8797921060233307,27.12020789397667
2010-05-21,28.19,16.74,1.834536771720692,-2.52014555860438,27.47985444139562
2010-05-24,27.68,16.58,1.830442636314385,-2.6687389100925003,27.3312610899075
2010-05-25,27.54,16.71,1.8263604673778424,-2.9784834098837507,27.02151659011625
2010-05-26,27.98,16.78,1.821751797281011,-2.5889951583753685,27.41100484162463
2010-05-27,29.29,17.42,1.8175031492282379,-2.370904859555907,27.629095140444093
2010-05-28,28.53,17.22,1.8133582576091665,-2.696029196029844,27.303970803970156
2010-06-01,27.96,16.58,1.8086159597384983,-2.0268526124642996,27.9731473875357
2010-06-02,28.91,16.86,1.8046722979497516,-1.5167749434328108,28.48322505656719
2010-06-03,29.16,16.9,1.8018024099770928,-1.2904607286128673,28.709539271387133
2010-06-04,27.53,16.03,1.7991490760761581,-1.3103596895008174,28.689640310499183
2010-06-07,26.6,15.43,1.7970900089063029,-1.1290988374242517,28.87090116257575
2010-06-08,26.13,15.38,1.7950337813750576,-1.4776195575483904,28.52238044245161
2010-06-09,25.9,15.42,1.7925133407047593,-1.7405557136673906,28.25944428633261
2010-06-10,27.01,16.13,1.7898012513676842,-1.8594941845607416,28.14050581543926
2010-06-11,27.56,16.12,1.786933279173824,-1.245364460282044,28.754635539717956
2010-06-14,27.98,16.23,1.7840574706463461,-0.9752527485901972,29.024747251409803
2010-06-15,29.53,16.59,1.7814313608070385,-0.023946275788766513,29.976053724211233
2010-06-16,29.01,16.41,1.7792956087434382,-0.1882409394798188,29.81175906052018
2010-06-17,28.9,16.02,1.7768486859746835,0.43488405068557157,30.43488405068557
2010-06-18,28.87,15.82,1.774213987791163,0.8019347131438046,30.801934713143805
2010-06-21,28.89,15.61,1.7720261275599034,1.228672148789908,31.228672148789908
2010-06-22,28.15,15.23,1.7701062391263191,1.1912819781061579,31.191281978106158
2010-06-23,28.33,15.41,1.7684341253415798,1.0784301284862536,31.078430128486254
2010-06-24,27.71,15.11,1.7668525880651025,1.0128573943363044,31.012857394336304
2010-06-25,27.76,15.15,1.7650761013890883,1.0190970639553143,31.019097063955314
2010-06-28,27.75,15.12,1.762858994367903,1.0955720051573081,31.095572005157308
2010-06-29,26.85,14.49,1.7605308631762513,1.3399077925761205,31.33990779257612
2010-06-30,26.87,14.32,1.759064016874402,1.6802032783585616,31.68020327835856
2010-07-01,26.95,14.19,1.7578173643595416,2.0065715997381055,32.00657159973811
2010-07-02,26.88,14.02,1.757488739186433,2.24000787660621,32.240007876606214
2010-07-06,26.86,13.88,1.7575770569166298,2.4648304499971765,32.46483044999718
