date,NTRS,KBE,beta,value,price
2010-11-26,50.73,22.15,2.1317099538841444,3.5126245214662006,33.5126245214662
2010-11-29,50.59,22.41,2.1344885418362836,2.7561117774488864,32.756111777448886
2010-11-30,50.3,22.26,2.1373375333796982,2.722866506967911,32.72286650696791
2010-12-01,51.52,22.76,2.139649343445527,2.8215809431798036,32.821580943179804
2010-12-02,52.99,23.65,2.141944894633185,2.3330032419251836,32.333003241925184
2010-12-03,52.82,23.89,2.1443676063817216,1.591057883540671,31.59105788354067
2010-12-06,52.64,23.78,2.146797262100108,1.5891611072594287,31.58916110725943
2010-12-07,52.51,23.79,2.149447760077887,1.3746377877470621,31.374637787747062
2010-12-08,52.55,24.44,2.1521304015209055,-0.04806701317093598,29.951932986829064
2010-12-09,53.6,25.05,2.1536288616680253,-0.3484029847840304,29.65159701521597
2010-12-10,54.1,25.31,2.1548641306205725,-0.4396111460066834,29.560388853993317
2010-12-13,54.46,25.2,2.1554018960727213,0.14387221896742375,30.143872218967424
2010-12-14,54.5,24.81,2.1562522045857904,1.003382804226547,31.003382804226547
2010-12-15,54.15,24.54,2.1583023530333283,1.185260256562124,31.185260256562124
2010-12-16,54.7,24.59,2.1607677985409866,1.5667198338771442,31.566719833877144
2010-12-17,54.26,24.88,2.1635373006342893,0.4311919602188823,30.431191960218882
2010-12-20,54.25,25.0,2.165243841527556,0.11890396181109963,30.1189039618111
2010-12-21,54.9,25.49,2.166573834237038,-0.32596703470210286,29.674032965297897
2010-12-22,55.73,26.0671,2.1674816906518113,-0.7699619783898299,29.23003802161017
2010-12-23,55.3,25.7,2.1680781734519146,-0.4196090577142044,29.580390942285796
2010-12-27,55.58,25.97,2.168984400144133,-0.748524871743129,29.25147512825687
2010-12-28,55.7,26.1,2.1694603080720762,-0.9229140406811922,29.077085959318808
2010-12-29,55.51,26.01,2.169811075022528,-0.9267860613359531,29.073213938664047
2010-12-30,55.5,25.93,2.1707636686504563,-0.7879019281063293,29.21209807189367
2010-12-31,55.41,25.91,2.1722716326980427,-0.8735580032062913,29.12644199679371
2011-01-03,55.93,26.5,2.17338687610688,-1.6647522168323263,28.335247783167674
2011-01-04,56.0,26.4225,2.1741900888919723,-1.4475376237481399,28.55246237625186
2011-01-05,56.55,26.81,2.17500589320087,-1.7619079967153226,28.238092003284677
2011-01-06,56.35,26.48,2.1751415383393,-1.247747935224659,28.75225206477534
2011-01-07,55.26,26.23,2.1759632753577964,-1.8155167126350022,28.184483287364998
2011-01-10,54.71,26.19,2.1759568177822723,-2.2783090577177134,27.721690942282287
2011-01-11,54.85,26.32,2.1747913492272613,-2.390508311661513,27.609491688338487
2011-01-12,55.9,26.7225,2.173056509545927,-2.1695025763410385,27.83049742365896
2011-01-13,55.5,26.55,2.1712502726054606,-2.146694737674977,27.853305262325023
2011-01-14,55.88,27.14,2.169900158216975,-3.011090294008696,26.988909705991304
2011-01-18,55.64,26.89,2.1678405912022973,-2.653233497429774,27.346766502570226
2011-01-19,52.49,26.22,2.1670795671132383,-4.330826249709105,25.669173750290895
2011-01-20,52.91,26.18,2.164943956594668,-3.7682327836484077,26.231767216351592
2011-01-21,52.91,26.61,2.162768494618213,-4.641269641790643,25.358730358209357
2011-01-24,52.56,26.34,2.1583434032360307,-4.290765241237047,25.709234758762953
2011-01-25,52.59,26.3075,2.154379679956477,-4.086343430455017,25.913656569544983
2011-01-26,52.55,26.16,2.1506324051391044,-3.71054371843897,26.28945628156103
2011-01-27,52.51,26.46,2.1473485451844425,-4.308842505580351,25.69115749441965
2011-01-28,51.69,26.04,2.1435716543190297,-4.128605878467532,25.871394121532468
2011-01-31,51.98,26.32,2.139148336092361,-4.3223842059509465,25.677615794049053
2011-02-01,52.3,26.96,2.135155001599677,-5.263778843127298,24.736221156872702
2011-02-02,51.88,26.8075,2.1306129837466203,-5.236407561787523,24.763592438212477
2011-02-03,52.02,26.8975,2.1266611679136354,-5.181868763957006,24.818131236042994
2011-02-04,51.84,26.905,2.1228711004454075,-5.275846957483687,24.724153042516313
2011-02-07,52.12,27.285,2.1188989759221992,-5.694158558037209,24.30584144196279
2011-02-08,52.49,27.4975,2.114472992261636,-5.652721104714331,24.34727889528567
2011-02-09,52.11,27.19,2.109964165490124,-5.259925659676476,24.740074340323524
2011-02-10,52.02,27.08,2.1054371570288364,-4.99523821234088,25.00476178765912
2011-02-11,52.86,27.6175,2.1008287360131748,-5.1596376168438525,24.840362383156148
2011-02-14,52.64,27.62,2.0959504662792217,-5.250151878632103,24.749848121367897
2011-02-15,52.83,27.52,2.0906117723397184,-4.7036359747890515,25.29636402521095
2011-02-16,54.0,27.62,2.0854523849029554,-3.6001948710196316,26.39980512898037
2011-02-17,54.04,27.38,2.0809444934776216,-2.936260231417279,27.06373976858272
2011-02-18,54.55,27.415,2.07663464047815,-2.380938668708481,27.61906133129152
2011-02-22,52.95,26.47,2.0725564586558316,-1.910569460619854,28.089430539380146
2011-02-23,52.4,26.42,2.0686128832445903,-2.252752375322082,27.747247624677918
2011-02-24,52.14,26.245,2.064458797519179,-2.04172114089085,27.95827885910915
2011-02-25,52.21,26.63,2.060760172052739,-2.6680433817644342,27.331956618235566
