date,D,XLU,beta,value,price
2021-09-10,77.3,68.45,1.1476560088903909,-1.257053808547255,28.742946191452745
2021-09-13,76.54,68.33,1.1469925872581095,-1.8340034873466067,28.165996512653393
2021-09-14,76.15,68.1,1.1462029982583026,-1.906424181390392,28.093575818609608
2021-09-15,75.55,68.01,1.1453939292151507,-2.3482411259224136,27.651758874077586
2021-09-16,74.93,67.44,1.1442916573144142,-2.241029369284078,27.758970630715922
2021-09-17,74.12,66.4,1.1431624072122277,-1.785983838891923,28.214016161108077
2021-09-20,74.6,65.78,1.1422210265713748,-0.535299127865045,29.464700872134955
2021-09-21,74.51,65.6,1.1415469803089409,-0.37548190826650796,29.624518091733492
2021-09-22,74.84,65.56,1.1409624696924254,0.03850048696459396,30.038500486964594
2021-09-23,74.26,65.21,1.1405478007001717,-0.11512208365817855,29.88487791634182
2021-09-24,74.58,65.14,1.1402246704140753,0.30576496922714114,30.30576496922714
2021-09-27,73.81,64.37,1.139953119685182,0.4312176858648371,30.431217685864837
2021-09-28,73.14,63.56,1.1397612548821991,0.696774639687419,30.69677463968742
2021-09-29,74.35,64.39,1.1396305649544853,0.9691879225806872,30.969187922580687
2021-09-30,73.02,63.88,1.1393559365940227,0.23794277037382017,30.23794277037382
2021-10-01,72.29,63.88,1.1389534474438945,-0.4663462227159698,29.53365377728403
2021-10-04,73.35,64.76,1.1382530951652168,-0.36327044289944865,29.63672955710055
2021-10-05,72.78,64.6,1.137682130950325,-0.7142656593909891,29.28573434060901
2021-10-06,74.17,65.6,1.1370742141084156,-0.42206844551205336,29.577931554487947
2021-10-07,73.85,65.25,1.1366464958158142,-0.31618385198189003,29.68381614801811
2021-10-08,72.7,64.77,1.136210680016254,-0.8923657446527642,29.107634255347236
2021-10-11,72.12,63.89,1.1356087847697054,-0.4340452589364787,29.56595474106352
2021-10-12,72.52,64.32,1.1350376498863213,-0.4856216406881799,29.51437835931182
2021-10-13,73.37,65.07,1.134477718274641,-0.4504651281308867,29.549534871869113
2021-10-14,73.65,65.87,1.1340375353952297,-1.0490524564837784,28.95094754351622
2021-10-15,73.1,65.68,1.1334786764031508,-1.3468794661589527,28.653120533841047
2021-10-18,71.96,65.05,1.1329457442015345,-1.7381206603098178,28.261879339690182
2021-10-19,75.22,65.87,1.132312782863505,0.6345569927809294,30.63455699278093
2021-10-20,76.59,66.91,1.132306153048662,0.8273952995140377,30.827395299514038
2021-10-21,77.29,66.91,1.1322326924058672,1.5323105511234303,31.53231055112343
2021-10-22,77.29,67.25,1.1324614013411043,1.1319707598107414,31.13197075981074
2021-10-25,76.5,66.96,1.1327024940841457,0.6542409961256084,30.65424099612561
2021-10-26,76.59,67.32,1.1328293063926969,0.3279310936436559,30.327931093643656
2021-10-27,75.99,66.87,1.132901392158876,0.23288390633595668,30.232883906335957
2021-10-28,76.34,67.31,1.1330200144257105,0.07642282900542341,30.076422829005423
2021-10-29,75.93,66.91,1.1330812281631357,0.11553502360459333,30.115535023604593
2021-11-01,75.41,67.15,1.1332078458960504,-0.6849068519197914,29.31509314808021
2021-11-02,75.49,67.21,1.133146091676323,-0.6687488215656714,29.33125117843433
2021-11-03,75.48,66.96,1.1330814655759749,-0.39113493496726903,29.60886506503273
2021-11-04,75.44,66.59,1.1329951082630552,-0.006144259236847915,29.993855740763152
2021-11-05,76.53,67.22,1.133059569329511,0.36573574967027866,30.36573574967028
2021-11-08,74.58,66.22,1.133129241360321,-0.45581836288044997,29.54418163711955
2021-11-09,74.58,66.56,1.1330459628967386,-0.8355392904069276,29.164460709593072
2021-11-10,75.68,67.1,1.1327961230309402,-0.33061985537607086,29.66938014462393
2021-11-11,75.07,66.69,1.132636565808089,-0.46553257374145574,29.534467426258544
2021-11-12,74.74,66.65,1.1325038431281922,-0.7413811444940279,29.258618855505972
2021-11-15,75.88,67.53,1.1321031486426747,-0.5709256278398271,29.429074372160173
2021-11-16,75.41,67.21,1.1317283447505673,-0.6534620506856186,29.34653794931438
2021-11-17,75.35,67.27,1.1313426055198141,-0.7554170733179006,29.2445829266821
2021-11-18,75.19,66.92,1.1309076311861397,-0.490338678976471,29.50966132102353
2021-11-19,74.19,67.3,1.1305643175700906,-1.8969785724670913,28.10302142753291
2021-11-22,74.04,67.71,1.1298383411867519,-2.461354081754962,27.538645918245038
2021-11-23,74.82,67.78,1.1290140662531292,-1.70457341063711,28.29542658936289
2021-11-24,74.9,67.82,1.1283672659404056,-1.6258679760782968,28.374132023921703
2021-11-26,73.67,66.76,1.12782401219062,-1.6235310538457952,28.376468946154205
2021-11-29,74.42,67.75,1.1272430269298541,-1.9507150744976087,28.04928492550239
2021-11-30,71.2,65.77,1.1267707158921667,-2.907709984227793,27.092290015772207
2021-12-01,70.85,65.89,1.1260281290728655,-3.3439934246111136,26.656006575388886
2021-12-02,71.84,66.73,1.1253749864720886,-3.2562728472824745,26.743727152717526
