date,SBUX,XLY,beta,value,price
2010-03-31,12.134995,32.84,0.38128610170057176,-0.38644057984677715,29.613559420153223
2010-04-01,12.1199955,33.07,0.38101598442392287,-0.4802031048991289,29.51979689510087
2010-04-05,12.304993,33.47,0.38056511780894753,-0.43252149306547416,29.567478506934528
2010-04-06,12.2999955,33.52,0.3801861835674504,-0.4438453731809382,29.556154626819062
2010-04-07,12.4549945,33.4,0.37986093662525633,-0.23236078328356058,29.76763921671644
2010-04-08,12.4149935,33.72,0.37967478937956567,-0.387640397878954,29.612359602121046
2010-04-09,12.359993,33.97,0.37940068582382463,-0.5282482974353222,29.471751702564678
2010-04-12,12.2449955,33.97,0.37906419670621305,-0.6318152621100577,29.36818473788994
2010-04-13,12.364998,34.15,0.3785854750616376,-0.5636959733549229,29.436304026645075
2010-04-14,12.4199985,34.68,0.37809378695303814,-0.6922940315313628,29.30770596846864
2010-04-15,12.564995,34.83,0.3775310573409702,-0.5844117271859925,29.415588272814006
2010-04-16,12.479996,34.37,0.377020317763036,-0.4781923215155466,29.521807678484453
2010-04-19,12.449997,34.43,0.37656773720758513,-0.5152301920571567,29.484769807942843
2010-04-20,12.6299975,34.85,0.37592397211708656,-0.4709529282804663,29.529047071719532
2010-04-21,12.695,35.01,0.37538550720681346,-0.44724660731053767,29.55275339268946
2010-04-22,13.625,35.64,0.3750046736160924,0.25983343232246625,30.259833432322466
2010-04-23,13.6299975,35.67,0.375005116525581,0.2535649935325246,30.253564993532525
2010-04-26,13.695,35.95,0.3750418816414945,0.21224435498827177,30.21224435498827
2010-04-27,13.2649995,34.91,0.37510440237770076,0.17010481299446845,30.170104812994467
2010-04-28,13.109993,34.79,0.37517661360341537,0.05759861273717881,30.05759861273718
2010-04-29,13.2999955,35.56,0.3751477522661971,-0.04025857058597104,29.95974142941403
2010-04-30,12.989998,34.82,0.3750837504433706,-0.07041819043816488,29.929581809561835
2010-05-03,13.5899965,35.52,0.37501121709759755,0.2695980686933339,30.269598068693334
2010-05-04,13.0149995,34.4825,0.3751231216673544,0.07981645710545138,30.07981645710545
2010-05-05,13.109993,33.99,0.37514024317045797,0.35897613463613176,30.35897613463613
2010-05-06,12.804993,32.78,0.37522810021609515,0.5050158749164009,30.505015874916403
2010-05-07,12.725243,32.18,0.3753941663841358,0.6450587257585099,30.64505872575851
2010-05-10,13.519997,33.86,0.37556688898200435,0.8033021390693325,30.80330213906933
2010-05-11,13.3499985,33.85,0.3758534374487349,0.6273596423603234,30.627359642360325
2010-05-12,13.9249955,34.34,0.3760419322452458,1.011715546698257,31.011715546698255
2010-05-13,13.719994,33.57,0.3764529901812422,1.0824671196156999,31.0824671196157
2010-05-14,13.2549975,33.01,0.3768711555563365,0.8144806550853332,30.814480655085333
2010-05-17,13.4549945,33.26,0.37715709187852314,0.9107496241203208,30.91074962412032
2010-05-18,13.2899935,32.64,0.3774866298877242,0.9688299004646819,30.968829900464684
2010-05-19,13.094994,32.44,0.377943364662624,0.8345112503444785,30.834511250344477
2010-05-20,12.5499955,31.18,0.3783558279209228,0.7528607854256268,30.752860785425625
2010-05-21,12.644997,31.73,0.3786955120502694,0.6289884026449517,30.62898840264495
2010-05-24,12.5349965,31.51,0.3790365420628073,0.5915550596009425,30.591555059600942
2010-05-25,12.4599995,31.83,0.37936868219612485,0.38469434569734773,30.384694345697348
2010-05-26,12.354996,31.73,0.37960635856838537,0.3100862426251325,30.310086242625133
2010-05-27,13.009995,32.87,0.37977349524229914,0.526840211385629,30.52684021138563
2010-05-28,12.945,32.37,0.38013317867379864,0.6400890063291396,30.64008900632914
2010-06-01,12.8499985,31.88,0.3806318806520515,0.7154541448125986,30.715454144812597
2010-06-02,13.2899935,32.68,0.3811706926169534,0.8333352652779631,30.833335265277963
2010-06-03,13.429993,32.79,0.3818103374886357,0.9104320337476359,30.910432033747636
2010-06-04,13.0762485,31.52,0.3824174699930979,1.0224498458175546,31.022449845817555
2010-06-07,12.769997,30.92,0.38293727862691695,0.929576344855727,30.929576344855725
2010-06-08,12.9249955,31.18,0.38344649328950997,0.9691338392330788,30.96913383923308
2010-06-09,13.154999,31.22,0.38400063463568423,1.1664991866739385,31.16649918667394
2010-06-10,13.489998,32.28,0.3846155280633395,1.0746087541154008,31.074608754115403
2010-06-11,13.574997,32.25,0.3850482203581123,1.157191893450877,31.15719189345088
2010-06-14,13.729996,32.34,0.3854910723899497,1.2632147189090261,31.263214718909026
2010-06-15,13.9649965,33.11,0.38612404134335865,1.1804294911213944,31.180429491121394
2010-06-16,13.9949955,32.88,0.3867221174498331,1.2795722782494874,31.27957227824949
2010-06-17,13.989998,32.68,0.3873727998827604,1.330654899831389,31.330654899831387
2010-06-18,14.0449985,32.47,0.3880382977841248,1.4453949709494687,31.44539497094947
2010-06-21,14.009995,32.21,0.3887710037720398,1.4876809685025965,31.487680968502595
2010-06-22,13.614998,31.49,0.38983429393385627,1.3391160840228675,31.33911608402287
2010-06-23,13.6599965,31.47,0.3907623705575081,1.3627046985552198,31.36270469855522
2010-06-24,13.3349995,30.72,0.39172318313652144,1.3012633140460625,31.30126331404606
2010-06-25,13.404999,30.81,0.39266448750468613,1.3070061399806203,31.307006139980622
2010-06-28,13.195,30.58,0.39365026066160513,1.1571750289681155,31.157175028968116
2010-06-29,12.5049975,29.49,0.39463617555232894,0.867176682961821,30.86717668296182
2010-06-30,12.149994,29.13,0.3954848656883848,0.6295198624973501,30.62951986249735
2010-07-01,12.3299945,29.37,0.3962545486563962,0.6919984059616429,30.69199840596164
