date,LAZ,KCE,beta,value,price
2010-03-31,35.7,37.21,1.040925587677804,-3.0328411174910883,26.96715888250891
2010-04-01,36.15,37.58,1.039119131759131,-2.900096971508148,27.099903028491852
2010-04-05,36.53,37.97,1.0369808613699192,-2.844163306215826,27.155836693784174
2010-04-06,36.75,38.3,1.0348649786959436,-2.8853286840546346,27.114671315945365
2010-04-07,36.4,38.26,1.0328036681457708,-3.1150683432571924,26.884931656742808
2010-04-08,36.9,38.38,1.0305293457331957,-2.6517162892400563,27.348283710759944
2010-04-09,38.13,38.57,1.0285919021222014,-1.5427896648533093,28.45721033514669
2010-04-12,38.78,38.85,1.0276170623129284,-1.1429228708572694,28.85707712914273
2010-04-13,38.35,38.96,1.0266710735049822,-1.6491050237541032,28.350894976245897
2010-04-14,38.76,39.75,1.0252569237416254,-1.9939627187296125,28.006037281270387
2010-04-15,39.13,39.79,1.0234406852401006,-1.5927048657035954,28.407295134296405
2010-04-16,38.35,38.49,1.0214521955302522,-0.9656950059594109,29.03430499404059
2010-04-19,38.25,38.75,1.0200960996776172,-1.2787238625076682,28.72127613749233
2010-04-20,38.75,38.78,1.0178950905254567,-0.7239716105772089,29.27602838942279
2010-04-21,38.88,38.81,1.016143367502002,-0.5565240927526958,29.443475907247304
2010-04-22,38.33,39.06,1.0147290694567186,-1.3053174529794305,28.69468254702057
2010-04-23,38.62,39.3,1.01326864565327,-1.2014577741735124,28.798542225826488
2010-04-26,38.21,38.81,1.0113592226844097,-1.0408514323819418,28.959148567618058
2010-04-27,38.78,37.91,1.0091942934813583,0.5214443341217105,30.52144433412171
2010-04-28,39.23,38.06,1.0079267837731445,0.8683066095941143,30.868306609594114
2010-04-29,39.23,39.05,1.0069239836129351,-0.09038156008511322,29.909618439914887
2010-04-30,38.66,38.38,1.0045770557068932,0.10433260196943195,30.104332601969432
2010-05-03,39.65,38.87,1.002700909508834,0.6750156473916249,30.675015647391625
2010-05-04,38.48,37.7,1.0016176043882659,0.7190163145623742,30.719016314562374
2010-05-05,37.41,37.58,1.000697123873622,-0.19619791517071405,29.803802084829286
2010-05-06,37.01,36.25,0.9993395075980669,0.7839428495700744,30.783942849570074
2010-05-07,34.58,35.41,0.9987030886067981,-0.7840763675667191,29.21592363243328
2010-05-10,36.35,36.99,0.9976227154082268,-0.5520642429503084,29.44793575704969
2010-05-11,35.71,36.877,0.9965973953817476,-1.0415221494927067,28.958477850507293
2010-05-12,36.13,37.19,0.9955715546303727,-0.8953061167035585,29.10469388329644
2010-05-13,36.12,36.93,0.9945136806212796,-0.6073902253438632,29.392609774656137
2010-05-14,35.0,36.08,0.9936655344570661,-0.8514524832109416,29.14854751678906
2010-05-17,35.0,36.16,0.9927154899103235,-0.8965921151572971,29.103407884842703
2010-05-18,34.52,35.21,0.9919097090868899,-0.4051408569493944,29.594859143050606
2010-05-19,33.63,35.2,0.9914239807329331,-1.2681241217992465,28.731875878200754
2010-05-20,31.89,33.71,0.990792790285202,-1.5096249605141594,28.49037503948584
2010-05-21,32.27,34.73,0.9904295722006263,-2.1276190425277477,27.872380957472252
2010-05-24,31.4,33.86,0.98938097203259,-2.1004397130234977,27.899560286976502
2010-05-25,32.51,34.02,0.988119328586605,-1.105819558516309,28.89418044148369
2010-05-26,32.01,33.81,0.9872612668620686,-1.369303432606543,28.630696567393457
2010-05-27,32.96,35.04,0.9857809417598996,-1.5817641992668783,28.41823580073312
2010-05-28,31.54,34.47,0.9838978395268131,-2.3749585284892447,27.625041471510755
2010-06-01,30.64,33.68,0.9818336755129314,-2.4281581912755286,27.57184180872447
2010-06-02,31.51,34.67,0.9799309081005613,-2.464204583846456,27.535795416153544
2010-06-03,31.96,34.73,0.9779033911225932,-2.0025847736876585,27.99741522631234
2010-06-04,31.56,33.61,0.9760408684517597,-1.244733588663646,28.755266411336354
2010-06-07,31.53,32.98,0.9753046369192548,-0.6355469255970192,29.36445307440298
2010-06-08,31.28,33.1,0.9744430468911153,-0.9740648520959141,29.025935147904086
2010-06-09,30.54,32.69,0.9737158870015206,-1.2907723460797058,28.709227653920294
2010-06-10,32.02,33.69,0.9728492935237651,-0.7552926988156443,29.244707301184356
2010-06-11,32.03,34.12,0.9720810609758815,-1.1374058004970777,28.862594199502922
2010-06-14,30.9,33.79,0.9715373881629826,-1.928248346027182,28.071751653972818
2010-06-15,31.76,34.4,0.9706355149751383,-1.6298617151447523,28.370138284855248
2010-06-16,31.97,34.36,0.9697404391786256,-1.3502814901775793,28.64971850982242
2010-06-17,31.63,33.99,0.9690824283531666,-1.309111739724134,28.690888260275866
2010-06-18,31.73,33.92,0.9686948756770827,-1.1281301829666468,28.871869817033353
2010-06-21,30.73,33.76,0.9681542980846882,-1.9548891033390738,28.045110896660926
2010-06-22,30.66,33.39,0.9673901679070442,-1.6411577064162053,28.358842293583795
2010-06-23,29.33,33.16,0.9669228388058534,-2.733161334802098,27.266838665197902
2010-06-24,28.32,32.45,0.965717592812628,-3.0175358867697817,26.98246411323022
2010-06-25,27.96,33.03,0.9646222931298019,-3.901474342077357,26.098525657922643
2010-06-28,28.95,32.95,0.9630744934938973,-2.783304560623918,27.216695439376082
2010-06-29,27.48,31.49,0.9619232080215668,-2.810961820599136,27.189038179400864
2010-06-30,26.71,31.07,0.9607830251760686,-3.1415285922204497,26.85847140777955
2010-07-01,26.43,30.81,0.9595444958721234,-3.133565917820121,26.86643408217988
2010-07-02,26.5,30.59,0.9584430640964003,-2.8187733307088862,27.181226669291114
