date,STT,KCE,beta,value,price
2010-03-31,45.14,37.21,1.2331647908823076,-0.7460618687306635,29.253938131269337
2010-04-01,45.97,37.58,1.2337859772452127,-0.3956770248750914,29.60432297512491
2010-04-05,46.35,37.97,1.2346798348461518,-0.5307933291083842,29.469206670891616
2010-04-06,46.61,38.3,1.235764428825305,-0.7197776240091756,29.280222375990824
2010-04-07,46.41,38.26,1.236509714848973,-0.8988616901217057,29.101138309878294
2010-04-08,46.38,38.38,1.2367472156367247,-1.0863581361374983,28.9136418638625
2010-04-09,46.96,38.57,1.2374278192888706,-0.7675909899717368,29.232409010028263
2010-04-12,48.07,38.85,1.2380401087309014,-0.0278582241955192,29.97214177580448
2010-04-13,47.85,38.96,1.2390291146529357,-0.4225743068783743,29.577425693121626
2010-04-14,47.85,39.75,1.240161449469566,-1.4464176164152533,28.553582383584747
2010-04-15,47.95,39.79,1.2410054491734004,-1.4296068226095997,28.5703931773904
2010-04-16,46.5,38.49,1.2419022528066903,-1.3008177105295147,28.699182289470485
2010-04-19,47.25,38.75,1.2414194903200524,-0.8550052499020282,29.144994750097972
2010-04-20,45.28,38.78,1.2411028552995278,-2.849968728515691,27.15003127148431
2010-04-21,43.67,38.81,1.2400883503493425,-4.457828877057985,25.542171122942015
2010-04-22,44.39,39.06,1.2381802100776338,-3.9733190056323764,26.026680994367624
2010-04-23,44.48,39.3,1.2364093937011553,-4.110889172455401,25.8891108275446
2010-04-26,43.75,38.81,1.2342484702450904,-4.151183130211962,25.84881686978804
2010-04-27,42.78,37.91,1.2320964723503824,-3.928777266802996,26.071222733197004
2010-04-28,43.54,38.06,1.230201044341679,-3.2814517476443115,26.71854825235569
2010-04-29,44.32,39.05,1.2282740265440641,-3.6441007365457025,26.355899263454297
2010-04-30,43.5,38.38,1.226075823601147,-3.5567901098120274,26.443209890187973
2010-05-03,43.79,38.87,1.2239015421326411,-3.783052942695761,26.21694705730424
2010-05-04,42.61,37.7,1.2213571635113165,-3.4351650643766334,26.564834935623367
2010-05-05,43.41,37.58,1.2191256173297538,-2.4047406992521516,27.59525930074785
2010-05-06,42.12,36.25,1.2172450831851132,-2.005134265460356,27.994865734539644
2010-05-07,41.34,35.41,1.21520891148684,-1.6905475557489993,28.309452444251
2010-05-10,43.28,36.99,1.2132896789918648,-1.599585225909081,28.40041477409092
2010-05-11,42.81,36.877,1.2112521805300274,-1.8573466614058205,28.14265333859418
2010-05-12,42.8,37.19,1.2093482235258581,-2.1756604329266622,27.824339567073338
2010-05-13,41.91,36.93,1.2071448674785195,-2.669859955981728,27.330140044018272
2010-05-14,41.63,36.08,1.2048948504977846,-1.8426062059600596,28.15739379403994
2010-05-17,41.54,36.16,1.2028424290286517,-1.9547822336760419,28.045217766323958
2010-05-18,40.58,35.21,1.2002755554240958,-1.6817023064824141,28.318297693517586
2010-05-19,40.6,35.2,1.1977567004814258,-1.5610358569461908,28.43896414305381
2010-05-20,39.01,33.71,1.195392826434102,-1.2866921790935848,28.713307820906415
2010-05-21,39.65,34.73,1.1934727531089666,-1.7993087154744103,28.20069128452559
2010-05-24,38.59,33.86,1.191395668234329,-1.7506573264143768,28.249342673585623
2010-05-25,38.88,34.02,1.1895003223522864,-1.5868009664247822,28.413199033575218
2010-05-26,38.29,33.81,1.1877197350576578,-1.8668042422994162,28.133195757700584
2010-05-27,39.14,35.04,1.1859172109025864,-2.4145390700266276,27.585460929973372
2010-05-28,38.17,34.47,1.1838910690183508,-2.6387251490625516,27.36127485093745
2010-06-01,37.02,33.68,1.1819091815135654,-2.7867012333768812,27.21329876662312
2010-06-02,38.38,34.67,1.1799651097135,-2.5293903537670417,27.47060964623296
2010-06-03,38.91,34.73,1.178262087841417,-2.011042310732414,27.988957689267586
2010-06-04,36.48,33.61,1.1765658473136404,-3.064378128211459,26.93562187178854
2010-06-07,36.28,32.98,1.174698214361969,-2.4615471096577366,27.538452890342263
2010-06-08,36.86,33.1,1.1732916172790824,-1.9759525319376294,28.02404746806237
2010-06-09,36.5,32.69,1.1721681793678969,-1.818177783536548,28.181822216463452
2010-06-10,37.55,33.69,1.1711013218560011,-1.9044035333286757,28.095596466671324
2010-06-11,37.68,34.12,1.1698398383215303,-2.2349352835306107,27.76506471646939
2010-06-14,37.03,33.79,1.1680916700546708,-2.4398175311473267,27.560182468852673
2010-06-15,38.49,34.4,1.1661806447116314,-1.6266141780801178,28.373385821919882
2010-06-16,38.15,34.36,1.1645061903296743,-1.8624326997276057,28.137567300272394
2010-06-17,37.57,33.99,1.1628139177590835,-1.9540450646312522,28.045954935368748
2010-06-18,37.2,33.92,1.1609032745444845,-2.177839072548913,27.822160927451087
2010-06-21,37.17,33.76,1.1591266954627408,-1.962117238822124,28.037882761177876
2010-06-22,36.41,33.39,1.1571251814710906,-2.226409809319719,27.77359019068028
2010-06-23,35.81,33.16,1.1548146967317605,-2.4836553436251734,27.516344656374827
2010-06-24,34.86,32.45,1.152367447409468,-2.5343236684372457,27.465676331562754
2010-06-25,35.83,33.03,1.1500591026673226,-2.1564521611016687,27.84354783889833
2010-06-28,35.31,32.95,1.1480422196069582,-2.5179911360492753,27.482008863950725
2010-06-29,33.95,31.49,1.1456252735621326,-2.125739864471555,27.874260135528445
2010-06-30,33.82,31.07,1.1433744073319547,-1.7046428358038312,28.29535716419617
