date,FITB,KBE,beta,value,price
2010-03-31,13.56,25.81,0.515647246602082,0.2511445652002635,30.251144565200264
2010-04-01,13.59,25.99,0.516522841263213,0.16557135556909408,30.165571355569092
2010-04-05,13.95,26.61,0.5173395207906105,0.18359535176185382,30.183595351761852
2010-04-06,14.35,27.19,0.5182478347167256,0.2588413740522295,30.25884137405223
2010-04-07,14.3,27.08,0.5191624031531863,0.2410821226117168,30.241082122611715
2010-04-08,14.27,27.36,0.5200309904141168,0.041952102269764424,30.041952102269764
2010-04-09,14.1,27.48,0.5206848420195156,-0.20841945869628908,29.79158054130371
2010-04-12,14.36,27.79,0.5211435337490354,-0.12257880288569467,29.877421197114305
2010-04-13,14.33,27.49,0.521467239291589,-0.005134408125780254,29.99486559187422
2010-04-14,14.94,28.4,0.5218471873127911,0.1195398803167329,30.119539880316733
2010-04-15,14.9,28.17,0.5224094195558145,0.18372665111270337,30.183726651112703
2010-04-16,14.2,27.26,0.523091938595009,-0.05948624609994724,29.940513753900053
2010-04-19,14.24,27.47,0.5237595619174047,-0.14767516587110663,29.852324834128893
2010-04-20,14.8,28.23,0.5238929182764912,0.010502917054653338,30.01050291705465
2010-04-21,15.15,28.43,0.5238564505959823,0.25676110955622455,30.256761109556223
2010-04-22,14.96,28.69,0.5237796540464688,-0.06723827459318876,29.932761725406813
2010-04-23,15.12,28.72,0.5237954754202976,0.07659394592905322,30.076593945929055
2010-04-26,14.515,27.89,0.5238333987548237,-0.09471349127203332,29.90528650872797
2010-04-27,14.05,27.07,0.5237302186956038,-0.12737702008999285,29.872622979910005
2010-04-28,14.44,27.42,0.5234297693065696,0.0875557256138606,30.08755572561386
2010-04-29,14.87,28.02,0.5233450325396458,0.20587218823912323,30.205872188239123
2010-04-30,14.915,27.66,0.5233746484756723,0.4384572231629047,30.438457223162906
2010-05-03,15.36,28.12,0.5236937823412328,0.6337308405645334,30.63373084056453
2010-05-04,14.56,27.35,0.5243124960787467,0.2200532322462756,30.220053232246276
2010-05-05,14.59,27.35,0.5246915680839362,0.2396856129043421,30.239685612904342
2010-05-06,13.61,26.11,0.5249154453736201,-0.0955422787052207,29.90445772129478
2010-05-07,13.31,25.7,0.5249489310272477,-0.18118752740026522,29.818812472599735
2010-05-10,14.38,27.25,0.5248533961738064,0.0777449542637747,30.077744954263775
2010-05-11,14.61,27.4,0.5248372045096151,0.22946059643654593,30.229460596436546
2010-05-12,15.0,27.77,0.5250237858191293,0.42008946780277867,30.42008946780278
2010-05-13,14.8,27.3,0.5252517086879754,0.4606283528182704,30.46062835281827
2010-05-14,14.08,26.52,0.5255259857073159,0.143050859041983,30.143050859041985
2010-05-17,13.98,26.48,0.5256671583069785,0.06033364803120911,30.06033364803121
2010-05-18,13.43,25.45,0.5256717558114,0.051653814599870174,30.05165381459987
2010-05-19,13.3,25.33,0.5256183992984323,-0.013914054229289263,29.98608594577071
2010-05-20,12.51,24.13,0.525538585734631,-0.17124607377664525,29.828753926223357
2010-05-21,13.19,25.06,0.5252643247568405,0.02687602159357816,30.02687602159358
2010-05-24,12.57,24.24,0.5253317547659174,-0.16404173552583678,29.835958264474165
2010-05-25,12.83,24.45,0.5253156256039871,-0.013967046017485885,29.986032953982516
2010-05-26,12.51,24.36,0.5253457136876253,-0.2874215854305522,29.71257841456945
2010-05-27,13.26,25.37,0.5250242152093646,-0.05986433986157991,29.94013566013842
2010-05-28,13.0,24.77,0.5248890400709028,-0.0015015225562606815,29.99849847744374
2010-06-01,12.4,24.22,0.5249056525566029,-0.3132149049209225,29.686785095079077
2010-06-02,13.05,24.95,0.5246907625560008,-0.041034525772218444,29.95896547422778
2010-06-03,13.13,24.77,0.5247168483798782,0.1327636656304172,30.132763665630417
2010-06-04,12.5025,23.67,0.5248862375011183,0.07844275834852787,30.07844275834853
2010-06-07,12.32,23.16,0.5249988640812551,0.16102630787813332,30.16102630787813
2010-06-08,12.67,23.63,0.5250895824600214,0.2621331664696953,30.262133166469695
2010-06-09,12.67,23.43,0.5252401174837633,0.36362404735542597,30.363624047355426
2010-06-10,13.37,24.34,0.5253325169111581,0.5834065383824107,30.583406538382413
2010-06-11,13.36,24.3,0.525663376253781,0.5863799570331203,30.58637995703312
2010-06-14,13.53,24.13,0.5259927877679405,0.8377940311595964,30.837794031159596
2010-06-15,14.0,24.8,0.5264997563533549,0.9428060424367981,30.9428060424368
2010-06-16,14.05,24.74,0.5270996828392166,1.0095538465577825,31.009553846557782
2010-06-17,13.62,24.7,0.5277628805132637,0.5842568513223867,30.584256851322387
2010-06-18,13.58,24.84,0.5282401569887446,0.4585145003995841,30.458514500399584
2010-06-21,13.53,24.82,0.5286170273761012,0.4097253805251686,30.409725380525167
2010-06-22,13.51,24.48,0.5290990229391289,0.5576559184501235,30.557655918450124
2010-06-23,13.51,24.3,0.5297869122314446,0.6361780327758968,30.636178032775895
2010-06-24,13.2,23.74,0.530420292540744,0.6078222550827377,30.607822255082738
2010-06-25,13.37,24.41,0.5310136865371581,0.40795591162797074,30.407955911627973
2010-06-28,13.51,24.34,0.5313494368404142,0.5769547073043171,30.576954707304317
2010-06-29,12.95,23.28,0.5318341180015964,0.5689017329228339,30.568901732922832
2010-06-30,12.29,22.89,0.5322928742682531,0.10581610799968466,30.105816107999686
2010-07-01,12.16,22.69,0.5324357192678085,0.07903352981342415,30.079033529813422
2010-07-02,11.82,22.34,0.532560186510518,-0.07739456664497091,29.92260543335503
2010-07-06,12.04,22.58,0.5327231106892387,0.011112160636990609,30.01111216063699
