date,PEP,XLP,beta,value,price
2014-02-10,80.6,41.09,1.9538838950492767,0.31491075242520594,30.314910752425206
2014-02-11,81.25,41.57,1.953057839138898,0.0613856269960138,30.061385626996014
2014-02-12,81.49,41.39,1.9522694068137612,0.6855692519784213,30.68556925197842
2014-02-13,79.69,41.6,1.9517681668910463,-1.5035557426675297,28.49644425733247
2014-02-14,78.09,41.84,1.9505917049688246,-3.5227569358956288,26.47724306410437
2014-02-18,78.18,41.6,1.9485631897184845,-2.880228692288952,27.119771307711048
2014-02-19,77.1,41.51,1.9468658751133832,-3.7144024759565326,26.285597524043467
2014-02-20,78.01,41.69,1.9447407519344693,-3.0662419481480185,26.93375805185198
2014-02-21,78.22,41.6,1.9426843402136718,-2.5956685528887533,27.404331447111247
2014-02-24,78.88,41.75,1.9409004144171977,-2.1525923019180055,27.847407698081994
2014-02-25,79.23,41.91,1.939350033973814,-2.048159923842533,27.951840076157467
2014-02-26,78.65,41.87,1.9381758238041868,-2.5014217426812877,27.498578257318712
2014-02-27,79.07,42.06,1.9368129075353866,-2.392350890938374,27.607649109061626
2014-02-28,80.07,42.35,1.9353932662930404,-1.8939048275102692,28.10609517248973
2014-03-03,79.52,42.12,1.9342709121227635,-1.951490818610793,28.048509181389207
2014-03-04,80.85,42.69,1.9332320453442824,-1.6796760157474182,28.320323984252582
2014-03-05,81.11,42.55,1.932662395591289,-1.1247849324093409,28.87521506759066
2014-03-06,81.33,42.54,1.932305798650207,-0.8702886745798111,29.12971132542019
2014-03-07,81.56,42.66,1.9319939883123523,-0.8588635414049435,29.141136458595057
2014-03-10,81.73,42.7,1.9319868582018682,-0.7658388452197755,29.234161154780224
2014-03-11,82.81,42.68,1.9318417114280129,0.358995756252412,30.358995756252412
2014-03-12,82.15,42.77,1.9320938814633348,-0.4856553101868286,29.51434468981317
2014-03-13,81.8,42.56,1.9321076033349938,-0.4304995979373416,29.56950040206266
2014-03-14,81.0,42.58,1.932230199429062,-1.274361891689452,28.725638108310548
2014-03-17,82.05,42.83,1.9319793385326507,-0.6966750693534323,29.303324930646568
2014-03-18,81.95,42.92,1.9320149494872716,-0.9720816319937029,29.027918368006297
2014-03-19,81.37,42.59,1.9321026945478394,-0.9182537607924814,29.08174623920752
2014-03-20,81.86,42.74,1.9320566615368469,-0.7161017140848429,29.283898285915157
2014-03-21,82.14,42.5,1.9319279402272387,0.03306254034235678,30.033062540342357
2014-03-24,81.89,42.46,1.932048118974827,-0.14476313167115507,29.855236868328845
2014-03-25,82.4,42.77,1.9320734120360343,-0.23477983278118586,29.765220167218814
2014-03-26,82.87,42.67,1.9320297594804166,0.4302901629706213,30.43029016297062
2014-03-27,82.54,42.64,1.9322267498374677,0.14985138693037925,30.14985138693038
2014-03-28,82.95,42.75,1.9323192481079867,0.34335214338356934,30.34335214338357
2014-03-31,83.5,43.06,1.9325030997893449,0.28641652307081245,30.286416523070812
2014-04-01,82.88,42.99,1.932593442648348,-0.20219209945248906,29.79780790054751
2014-04-02,82.73,43.04,1.93236894612754,-0.4391594413293092,29.56084055867069
2014-04-03,82.91,43.09,1.9319059490827555,-0.3358273459759431,29.664172654024057
2014-04-04,82.59,42.95,1.9311731628074067,-0.35388734257811905,29.64611265742188
2014-04-07,83.91,42.99,1.930276106125303,0.9274301976732175,30.927430197673218
2014-04-08,83.47,43.21,1.9302041424892118,0.0658790030411609,30.06587900304116
2014-04-09,83.91,43.4,1.9295686546692234,0.16672038735569572,30.166720387355696
2014-04-10,83.62,42.97,1.9292325436730213,0.7208775983702793,30.72087759837028
2014-04-11,83.15,42.75,1.9292810580444044,0.6732347686017164,30.673234768601716
2014-04-14,83.55,43.09,1.9291102454632927,0.42463952298670904,30.42463952298671
2014-04-15,83.96,43.2,1.928857715778104,0.633346678385891,30.63334667838589
2014-04-16,84.77,43.62,1.9286987923946575,0.6401586757450417,30.64015867574504
2014-04-17,85.55,43.63,1.9283782628767892,1.414856390685685,31.414856390685685
2014-04-21,85.91,43.65,1.9283969140566946,1.7354747014252752,31.735474701425275
2014-04-22,85.14,43.63,1.9284369791921554,1.0022945978462587,31.00229459784626
2014-04-23,85.41,43.56,1.9282882528366616,1.413763706435006,31.413763706435006
2014-04-24,85.52,43.73,1.9279374095157933,1.2112970818743634,31.211297081874363
2014-04-25,85.25,43.79,1.9276324795555042,0.8389737202644767,30.838973720264477
2014-04-28,86.82,44.29,1.9274497084293605,1.4532524136636198,31.45325241366362
2014-04-29,85.76,44.1,1.9272373221532868,0.7688340930400557,30.768834093040056
2014-04-30,85.89,44.24,1.9268708677439754,0.6452328110065224,30.645232811006522
2014-05-01,85.57,44.2,1.926500091117967,0.41869597258583724,30.418695972585837
2014-05-02,85.52,44.2,1.9260864967364755,0.38697684424776924,30.38697684424777
2014-05-05,85.91,44.1,1.925456006437944,0.9973901160866632,30.997390116086663
2014-05-06,85.37,43.82,1.9253717014800664,1.0002120411434987,31.0002120411435
2014-05-07,86.8,44.24,1.9252437386330945,1.6272170028718875,31.627217002871888
2014-05-08,86.66,44.3,1.9253407646620084,1.3674041254730298,31.36740412547303
2014-05-09,87.17,44.51,1.9254324651671675,1.4690009754093865,31.469000975409386
2014-05-12,86.93,44.55,1.925351479183511,1.1555916023745993,31.1555916023746
2014-05-13,87.23,44.64,1.9259671356652437,1.2548270639035195,31.25482706390352
2014-05-14,86.84,44.4,1.9274086435354763,1.2630562270248618,31.26305622702486
2014-05-15,85.74,44.01,1.9286584915567135,0.8597397865890315,30.85973978658903
2014-05-16,86.54,44.28,1.930097256143315,1.075293497974016,31.075293497974016
2014-05-19,86.1,44.19,1.9314379234193546,0.7497581640987221,30.749758164098722
2014-05-20,85.65,44.03,1.9325230812874858,0.5610087309120075,30.561008730912008
2014-05-21,86.1,44.28,1.9334132980567296,0.4884591620480023,30.488459162048002
2014-05-22,85.58,44.21,1.9342758551002903,0.06566444601615729,30.065664446016157
2014-05-23,85.83,44.28,1.9351702389306058,0.14066182015277207,30.140661820152772
2014-05-27,86.53,44.4,1.936090955685141,0.5675615675797445,30.567561567579745
2014-05-28,87.07,44.34,1.9370342184613198,1.1819027534250637,31.181902753425064
2014-05-29,87.73,44.69,1.938265881493467,1.1088977560569617,31.10889775605696
2014-05-30,88.33,45.04,1.9394157029295331,0.9787167400538266,30.978716740053827
2014-06-02,87.87,44.93,1.9403322042007962,0.6908740652582281,30.690874065258228
2014-06-03,88.22,44.77,1.9410575053781403,1.3188554842206486,31.31885548422065
2014-06-04,87.43,44.93,1.942041083234426,0.17409413027725407,30.174094130277254
2014-06-05,87.76,45.11,1.942556239547386,0.13128803401741607,30.131288034017416
2014-06-06,87.91,45.23,1.9426446356558618,0.04418312928537205,30.044183129285372
2014-06-09,88.0,45.16,1.9430114930671942,0.2536009730855113,30.25360097308551
2014-06-10,88.42,45.16,1.9434425054075553,0.6541364557948128,30.654136455794813
2014-06-11,87.78,45.04,1.9443469648524236,0.20661270304684365,30.206612703046844
2014-06-12,87.22,44.72,1.9448831139937703,0.24482714219858792,30.244827142198588
2014-06-13,87.19,44.71,1.9455444665425432,0.2047069008828828,30.204706900882883
2014-06-16,87.55,44.88,1.9461724946331624,0.2057784408636678,30.205778440863668
2014-06-17,87.28,44.88,1.94673894841147,-0.08964400470678413,29.910355995293216
2014-06-18,88.9,45.41,1.946922674838148,0.4902413355997055,30.490241335599706
