date,JPM,XLF,beta,value,price
2010-06-02,39.55,14.82,2.7249010009756374,-0.8330328344589475,29.166967165541053
2010-06-03,39.1,14.739,2.723028770252318,-1.0347210447489203,28.96527895525108
2010-06-04,37.62,14.15,2.72124040226329,-0.8855516920255582,29.114448307974442
2010-06-07,36.72,13.87,2.7195432175106244,-1.0000644268723633,28.999935573127637
2010-06-08,37.78,14.16,2.7178239525242684,-0.70438716774364,29.29561283225636
2010-06-09,37.12,14.01,2.716197903003454,-0.9339326210783909,29.06606737892161
2010-06-10,38.29,14.47,2.714414555986449,-0.9875786251239163,29.012421374876084
2010-06-11,38.09,14.51,2.7128693406607822,-1.273734132987947,28.726265867012053
2010-06-14,37.33,14.45,2.7109678569457514,-1.8434855328661044,28.156514467133896
2010-06-15,38.25,14.7925,2.7083764796264806,-1.813659074874714,28.186340925125286
2010-06-16,38.52,14.8,2.705528262866758,-1.5218182904280155,28.478181709571984
2010-06-17,38.44,14.78,2.702835637344086,-1.507910719945592,28.492089280054408
2010-06-18,39.18,14.83,2.699565660086293,-0.854558739079728,29.145441260920272
2010-06-21,38.87,14.81,2.696526305391249,-1.0655545828444062,28.934445417155594
2010-06-22,38.33,14.575,2.693410460918386,-0.9264574678854771,29.073542532114523
2010-06-23,38.89,14.51,2.6903559839029496,-0.14706532643180026,29.8529346735682
2010-06-24,38.03,14.25,2.6882580545192547,-0.27767727689937516,29.722322723100625
2010-06-25,39.44,14.635,2.6860137143347695,0.13018929071064633,30.130189290710646
2010-06-28,38.54,14.5,2.6840284112704222,-0.37841196342112227,29.621588036578878
2010-06-29,37.06,13.98,2.681376340676283,-0.4256412426544358,29.574358757345564
2010-06-30,36.61,13.81,2.678914288001805,-0.385806317304926,29.614193682695074
2010-07-01,36.08,13.68,2.676363077089292,-0.5326468945815179,29.467353105418482
2010-07-02,35.83,13.52,2.6740347577429784,-0.32294992468506933,29.67705007531493
2010-07-06,36.33,13.6,2.671732204483858,-0.005557980980469779,29.99444201901953
2010-07-07,38.15,14.2,2.6696029975311046,0.24163743505831548,30.241637435058315
2010-07-08,38.16,14.31,2.667693576807863,-0.014695084120525337,29.985304915879475
2010-07-09,38.85,14.51,2.665828285116173,0.1688315829643301,30.16883158296433
