date,PHM,XHB,beta,value,price
2010-03-31,11.25,16.82,0.6914712934149038,-0.3805471552386823,29.61945284476132
2010-04-01,11.12,16.98,0.6914075343180972,-0.6200999327212919,29.379900067278708
2010-04-05,11.44,17.3,0.6910262860822881,-0.5147547492235844,29.485245250776416
2010-04-06,11.16,17.17,0.6908012329938779,-0.7010571705048836,29.298942829495118
2010-04-07,10.88,16.92,0.6899759177917643,-0.7943925290366511,29.20560747096335
2010-04-08,10.89,17.27,0.689284621860746,-1.0139454195350837,28.986054580464916
2010-04-09,11.17,17.44,0.6883498567668046,-0.8348215020130727,29.16517849798693
2010-04-12,11.23,17.66,0.6875052532196708,-0.9113427718593865,29.08865722814061
2010-04-13,11.03,17.76,0.6861490933843306,-1.1560078985057132,28.843992101494287
2010-04-14,11.38,18.31,0.6845603951473234,-1.15430083514749,28.845699164852512
2010-04-15,11.27,18.12,0.6829411612480076,-1.1048938418138992,28.895106158186103
2010-04-16,11.1,17.86,0.6815351925380919,-1.072218538730322,28.927781461269678
2010-04-19,11.11,17.88,0.6800544623659684,-1.0493737871035158,28.950626212896484
2010-04-20,11.46,18.17,0.6787426935134605,-0.8727547411395769,29.127245258860423
2010-04-21,11.77,18.61,0.6777030386441886,-0.8420535491683498,29.157946450831652
2010-04-22,12.48,19.31,0.6767578447508797,-0.5881939821394866,29.411806017860513
2010-04-23,13.19,19.64,0.6759526979669541,-0.08571098807098032,29.91428901192902
2010-04-26,13.04,19.5,0.6757710774811382,-0.13753601088219547,29.862463989117806
2010-04-27,12.63,18.68,0.675322860961382,0.014968957241384473,30.014968957241386
2010-04-28,12.86,18.92,0.6750584049332116,0.08789497866363583,30.087894978663634
2010-04-29,13.31,19.47,0.6748667452281292,0.17034447040832568,30.170344470408324
2010-04-30,13.09,19.1,0.6744819181768487,0.20739536282219007,30.20739536282219
2010-05-03,13.39,19.51,0.6739929413131153,0.24039771498112117,30.24039771498112
2010-05-04,13.1,18.86,0.6736691910805515,0.39459905622079994,30.394599056220798
2010-05-05,12.59,18.36,0.6734427448701329,0.22559120418435974,30.22559120418436
2010-05-06,11.91,17.66,0.6728950791225594,0.026672902695601408,30.0266729026956
2010-05-07,11.18,17.1,0.6723288129407367,-0.31682270128659873,29.683177298713403
2010-05-10,12.23,18.39,0.6712658835771217,-0.11457959898326742,29.88542040101673
2010-05-11,12.14,18.38,0.6701568224463851,-0.17748239656455667,29.822517603435443
2010-05-12,12.19,18.89,0.6690105071329603,-0.4476084797416213,29.55239152025838
2010-05-13,11.82,18.34,0.6677944509590329,-0.4273502305886634,29.572649769411335
2010-05-14,11.59,17.96,0.6665524814160309,-0.38128256623191525,29.618717433768083
2010-05-17,11.65,17.94,0.665478172739983,-0.2886784189552962,29.711321581044704
2010-05-18,11.53,17.63,0.6645575031184747,-0.1861487799787085,29.81385122002129
2010-05-19,11.28,17.36,0.6638112965944464,-0.24376410887958855,29.75623589112041
2010-05-20,10.76,16.62,0.6631374169933754,-0.26134387042989893,29.738656129570103
2010-05-21,10.84,16.74,0.6625748398758341,-0.2515028195214626,29.748497180478537
2010-05-24,10.66,16.58,0.662106306158838,-0.3177225561135337,29.682277443886466
2010-05-25,10.86,16.71,0.6615684619007042,-0.19480899836076837,29.80519100163923
2010-05-26,10.81,16.78,0.6612446947818422,-0.28568597843931265,29.71431402156069
2010-05-27,11.16,17.42,0.6609077293884678,-0.3530126459471088,29.64698735405289
2010-05-28,11.14,17.22,0.6604512689623517,-0.23297085153169483,29.767029148468303
2010-06-01,10.46,16.58,0.6601219337940053,-0.484821662304606,29.515178337695396
2010-06-02,10.74,16.86,0.6594317799485656,-0.37801980993281603,29.621980190067184
2010-06-03,10.31,16.9,0.6587882824723014,-0.823521973781892,29.176478026218106
2010-06-04,9.82,16.03,0.6576224135618779,-0.721687289396904,29.278312710603096
2010-06-07,9.4,15.43,0.6566974471013273,-0.7328416087734784,29.267158391226523
2010-06-08,9.4,15.38,0.6557883110360373,-0.686024223734254,29.313975776265746
2010-06-09,9.17,15.42,0.6550382217445663,-0.9306893793012119,29.069310620698786
2010-06-10,9.77,16.13,0.6541817077266748,-0.7819509456312641,29.218049054368734
2010-06-11,9.55,16.12,0.6532279143040326,-0.9800339785810053,29.019966021418995
2010-06-14,9.48,16.23,0.6519942481988918,-1.1018666482680146,28.898133351731985
2010-06-15,9.93,16.59,0.6505592318212705,-0.8627776559148774,29.137222344085124
2010-06-16,9.75,16.41,0.6493876141283004,-0.90645074784541,29.093549252154588
2010-06-17,9.51,16.02,0.6480684879655502,-0.8720571772081129,29.127942822791887
2010-06-18,9.36,15.82,0.6468553157478544,-0.8732510951310566,29.126748904868943
2010-06-21,9.15,15.61,0.6454407804778924,-0.9253305832598997,29.0746694167401
2010-06-22,8.86,15.23,0.6439923851118192,-0.9480040252530078,29.051995974746994
2010-06-23,9.05,15.41,0.6424597110241803,-0.8503041468826176,29.149695853117382
2010-06-24,9.01,15.11,0.6410930362591511,-0.6769157778757737,29.323084222124226
2010-06-25,8.92,15.15,0.6400481000907479,-0.77672871637483,29.22327128362517
2010-06-28,8.8,15.12,0.6389467572356626,-0.8608749694032181,29.13912503059678
2010-06-29,8.37,14.49,0.6379695077704439,-0.8741781675937332,29.125821832406267
2010-06-30,8.28,14.32,0.6368742880718418,-0.8400398051887752,29.159960194811227
2010-07-01,8.39,14.19,0.6359837521296646,-0.63460944271994,29.365390557280058
2010-07-02,8.16,14.02,0.6353631418526332,-0.7477912487739165,29.252208751226085
