date,PTEN,XES,beta,value,price
2010-03-31,13.97,296.99997,0.05379484263100608,-2.007066647563528,27.992933352436474
2010-04-01,14.11,304.09989,0.05366230744752305,-2.208701791937944,27.791298208062056
2010-04-05,14.62,310.99991,0.05346255522068453,-2.006849862002918,27.993150137997084
2010-04-06,14.56,313.09998,0.05327232852758873,-2.1195649965414614,27.880435003458537
2010-04-07,14.31,308.9,0.053065934582827996,-2.0820671926355647,27.917932807364437
2010-04-08,14.11,308.49991,0.052842485944015714,-2.191902157905112,27.808097842094888
2010-04-09,14.31,308.99994,0.052628784659254066,-1.9522913019824255,28.047708698017573
2010-04-12,14.3,310.0,0.05242678812912759,-1.9523043200295547,28.047695679970445
2010-04-13,14.45,308.09998,0.05221446375580525,-1.6372752388743237,28.362724761125676
2010-04-14,14.73,314.59992,0.05199167906592568,-1.6265780748058916,28.37342192519411
2010-04-15,14.66,315.59998,0.05177217997131901,-1.6792989635046816,28.32070103649532
2010-04-16,14.44,308.19993,0.05154397965274769,-1.4458509208982626,28.554149079101737
2010-04-19,14.48,307.79999,0.05132356033124199,-1.3173913567206803,28.68260864327932
2010-04-20,14.825,318.29987,0.0510869646226494,-1.4359741980839047,28.564025801916095
2010-04-21,15.22,320.1999,0.05089142058854841,-1.0754277833111434,28.92457221668886
2010-04-22,15.56,324.59992,0.05070871959587428,-0.9000463241232222,29.099953675876776
2010-04-23,15.64,331.19996,0.050553416197811125,-1.1032894225783956,28.896710577421604
2010-04-26,15.33,329.59992,0.05039192980162395,-1.279176031260869,28.720823968739133
2010-04-27,14.83,315.99991,0.050214916568422606,-1.037909116279053,28.962090883720947
2010-04-28,15.08,321.19996,0.05008321037093329,-1.0067251678153557,28.993274832184646
2010-04-29,15.47,324.19999,0.04993304519461282,-0.7182927527630252,29.281707247236973
2010-04-30,15.31,316.99997,0.04978600274861222,-0.4721613777299911,29.52783862227001
2010-05-03,15.05,319.29993,0.04965519863249291,-0.8049014474910816,29.195098552508917
2010-05-04,14.77,307.59995,0.0495153041930478,-0.46090509401629376,29.539094905983706
2010-05-05,14.49,302.39991,0.04939864846102291,-0.44814684873496624,29.551853151265036
2010-05-06,13.83,289.09989,0.04928891644638785,-0.4194203228699198,29.580579677130082
2010-05-07,13.38,278.39997,0.04914659541790925,-0.3024106899480721,29.697589310051928
2010-05-10,14.09,292.39991,0.04898579262375662,-0.23344135446509995,29.7665586455349
2010-05-11,13.83,292.39991,0.04883212000832502,-0.44850749554343494,29.551492504456565
2010-05-12,14.11,299.39988,0.04867611798947091,-0.4636238849134333,29.53637611508657
2010-05-13,13.94,295.39994,0.048527991797690996,-0.3951658653584129,29.604834134641585
2010-05-14,13.54,288.09998,0.04838178792331637,-0.39879213307168904,29.601207866928313
2010-05-17,13.47,283.29987,0.04825477729403223,-0.20057213427828202,29.799427865721718
2010-05-18,13.37,279.29993,0.04815535112259208,-0.07978619766539197,29.920213802334608
2010-05-19,13.33,274.59992,0.04807261272573124,0.1292643913232201,30.12926439132322
2010-05-20,12.81,259.09989,0.04801082797546803,0.37039975274731063,30.37039975274731
2010-05-21,12.97,266.69999,0.047963991811588634,0.17800386348922892,30.17800386348923
2010-05-24,12.49,257.99988,0.04789700102274969,0.1325794837707015,30.1325794837707
2010-05-25,12.46,262.29996,0.04782254936575953,-0.08385278573675059,29.916147214263248
2010-05-26,12.69,263.99994,0.04774937569321864,0.0841676819528221,30.08416768195282
2010-05-27,13.59,274.89991,0.04769279921833038,0.4792537872329081,30.479253787232906
2010-05-28,14.03,264.39988,0.04765611830123304,1.4297280398881789,31.42972803988818
2010-06-01,13.64,245.0,0.047671427994592494,1.9605001413248395,31.96050014132484
2010-06-02,13.85,257.79999,0.04771704082980965,1.5485473512454817,31.54854735124548
2010-06-03,14.63,260.69993,0.04774847392067098,2.181976191274252,32.18197619127425
2010-06-04,13.9,252.99988,0.047810297496029774,1.8040004707401671,31.804000470740167
2010-06-07,13.76,249.09989,0.04782810063180054,1.8460253937095548,31.846025393709553
2010-06-08,13.83,252.29996,0.04785851839002577,1.7552977245372343,31.755297724537236
2010-06-09,13.81,251.2999,0.0479113046330492,1.7698939368452002,31.7698939368452
2010-06-10,14.74,267.6999,0.0479910999674357,1.8927873378274587,31.892787337827457
2010-06-11,14.67,268.9,0.04808806445471094,1.7391194681282283,31.73911946812823
2010-06-14,14.48,267.19986,0.048203072921689204,1.600145663754855,31.600145663754855
2010-06-15,14.93,277.19986,0.048326632035637765,1.5338643654496966,31.533864365449695
2010-06-16,14.92,276.99997,0.0484264919411492,1.5058631850964286,31.50586318509643
2010-06-17,14.78,275.59998,0.0485269545514169,1.405972296168592,31.405972296168592
2010-06-18,14.93,278.29987,0.04864127314646225,1.3931400067050639,31.393140006705064
2010-06-21,14.76,275.79987,0.04874994689701388,1.3147709832966683,31.31477098329667
2010-06-22,14.05,265.99991,0.04886436796222155,1.052082519842184,31.052082519842184
2010-06-23,14.06,263.7999,0.04895043575154977,1.1468799437847483,31.146879943784747
2010-06-24,13.52,257.29996,0.04903335108498179,0.9037207271682295,30.903720727168228
2010-06-25,13.63,261.79993,0.04910620868496737,0.7739980037101493,30.773998003710147
2010-06-28,13.28,258.19993,0.04918305347264607,0.5809390361765274,30.580939036176527
2010-06-29,12.75,249.89991,0.04926476546564248,0.43873954396483583,30.438739543964836
2010-06-30,12.87,250.0,0.04933095233381116,0.5372619165472106,30.53726191654721
2010-07-01,13.04,251.59989,0.049414665353161386,0.6072756327577835,30.607275632757784
