date,MSFT,XLK,beta,value,price
2010-03-31,29.2875,23.1,1.3154142478094892,-1.0985691243992015,28.9014308756008
2010-04-01,29.16,23.06,1.314292617835854,-1.147587767294791,28.85241223270521
2010-04-05,29.27,23.33,1.313075261843631,-1.3640458588119095,28.63595414118809
2010-04-06,29.32,23.35,1.311542639801429,-1.3045206393633677,28.695479360636632
2010-04-07,29.35,23.26,1.3101856816721609,-1.1249189556944614,28.87508104430554
2010-04-08,29.92,23.3,1.308938537603286,-0.5782679261565633,29.421732073843437
2010-04-09,30.34,23.48,1.3083081274069548,-0.3790748315153003,29.6209251684847
2010-04-12,30.32,23.53,1.307726079161981,-0.4507946426814122,29.549205357318588
2010-04-13,30.45,23.6,1.3070803477542405,-0.39709620700007875,29.60290379299992
2010-04-14,30.82,23.94,1.3060550524940664,-0.44695795670795135,29.55304204329205
2010-04-15,30.87,24.05,1.3047383766280551,-0.5089579579047268,29.491042042095273
2010-04-16,30.67,23.73,1.3035398574051993,-0.26300081622537874,29.73699918377462
2010-04-19,31.039,23.78,1.3025598218715881,0.06412743589363501,30.064127435893635
2010-04-20,31.36,23.91,1.3020277100999862,0.22851745150932956,30.22851745150933
2010-04-21,31.332,23.96,1.301664370547695,0.14412168167723038,30.14412168167723
2010-04-22,31.39,24.02,1.30113478770599,0.13674239930212195,30.136742399302122
2010-04-23,30.96,24.08,1.3004097295332686,-0.3538662871611038,29.646133712838896
2010-04-26,31.11,24.05,1.2993272603545043,-0.13882061152582992,29.86117938847417
2010-04-27,30.845,23.58,1.298209739506123,0.23321434244562056,30.23321434244562
2010-04-28,30.91,23.65,1.297725948782317,0.21878131129820488,30.218781311298205
2010-04-29,31.003,23.89,1.2972757134988568,0.011083204512310374,30.01108320451231
2010-04-30,30.535,23.389,1.2968096399477722,0.20391933126155593,30.203919331261556
2010-05-03,30.86,23.71,1.2964093685250142,0.12213387227191319,30.122133872271913
2010-05-04,30.13,23.03,1.295968354847201,0.2838487878689584,30.28384878786896
2010-05-05,29.85,22.93,1.2956958520974853,0.13969411140466548,30.139694111404665
2010-05-06,28.98,22.24,1.2954387089141024,0.16944311375036492,30.169443113750365
2010-05-07,28.21,21.75,1.2951549041004804,0.04038083581455254,30.040380835814553
2010-05-10,28.94,22.75,1.2947375273234687,-0.5152787466089102,29.48472125339109
2010-05-11,28.88,22.6,1.2940145628505273,-0.36472912042192007,29.63527087957808
2010-05-12,29.44,23.19,1.293556216559351,-0.5575686620113522,29.442431337988648
2010-05-13,29.24,22.85,1.2929365071385375,-0.30359918811558373,29.696400811884416
2010-05-14,28.93,22.41,1.2923858268109893,-0.03236637883427207,29.967633621165728
2010-05-17,28.94,22.52,1.2918845198158582,-0.15323938625312294,29.846760613746877
2010-05-18,28.5975,22.18,1.2913750944437814,-0.04519959476306923,29.95480040523693
2010-05-19,28.24,22.01,1.290928314954017,-0.17333221213791816,29.826667787862082
2010-05-20,27.11,21.31,1.2904265751892463,-0.3889903172828362,29.611009682717164
2010-05-21,26.84,21.47,1.2897523326394005,-0.8509825817679264,29.149017418232074
2010-05-24,26.27,21.37,1.2887215463190476,-1.2699794448380466,28.730020555161953
2010-05-25,26.07,21.31,1.287372819136711,-1.3639147758033126,28.636085224196687
2010-05-26,25.01,21.1,1.285942604014613,-2.1233889447083314,27.87661105529167
2010-05-27,26.0,21.82,1.2843535989819046,-2.0245955297851594,27.97540447021484
2010-05-28,25.8,21.64,1.2827687722699235,-1.9591162319211435,28.040883768078857
2010-06-01,25.89,21.43,1.2811763619300018,-1.5656094361599386,28.43439056384006
2010-06-02,26.46,21.91,1.280109338196767,-1.5871955998911638,28.412804400108836
2010-06-03,26.86,22.13,1.279064804158109,-1.4457041160189519,28.554295883981048
2010-06-04,25.79,21.42,1.2780614003619903,-1.5860751957538355,28.413924804246165
2010-06-07,25.29,21.11,1.2769926722983245,-1.667315312217628,28.332684687782372
2010-06-08,25.11,21.15,1.2757959023114114,-1.873083333886349,28.12691666611365
2010-06-09,24.79,21.04,1.274351549759577,-2.0223566069415,27.9776433930585
2010-06-10,25.0,21.55,1.2727529077778634,-2.427825162612958,27.572174837387042
2010-06-11,25.66,21.74,1.2709094397809266,-1.9695712208373415,28.03042877916266
2010-06-14,25.495,21.7,1.2692101688458663,-2.0468606639552966,27.953139336044703
2010-06-15,26.5825,22.27,1.267469923879327,-1.6440552047926111,28.35594479520739
2010-06-16,26.32,22.33,1.2657724949622706,-1.9446998125075012,28.0553001874925
2010-06-17,26.37,22.41,1.263973206807613,-1.9556395645586093,28.04436043544139
2010-06-18,26.44,22.33,1.262122745452939,-1.7432009059641231,28.256799094035877
2010-06-21,25.95,22.17,1.2604667791528943,-1.9945484938196678,28.005451506180332
2010-06-22,25.77,21.98,1.2583762405248626,-1.8891097667364818,28.110890233263518
2010-06-23,25.308,21.94,1.2564949233013003,-2.2594986172305305,27.74050138276947
2010-06-24,25.0,21.5,1.2544333240240664,-1.9703164665174278,28.029683533482572
2010-06-25,24.5325,21.475,1.2525225108344222,-2.365420920169221,27.63457907983078
2010-06-28,24.31,21.52,1.2505977635912173,-2.602863872482999,27.397136127517
2010-06-29,23.31,20.72,1.2485234508683376,-2.559405901991955,27.440594098008045
2010-06-30,23.01,20.4,1.246673693987099,-2.422143357336818,27.577856642663182
2010-07-01,23.16,20.32,1.2448827766222084,-2.1360180209632738,27.863981979036726
2010-07-02,23.27,20.29,1.2431422121282798,-1.9533554840827954,28.046644515917205
2010-07-06,23.82,20.49,1.2410844142961368,-1.6098196489278394,28.39018035107216
2010-07-07,24.3,21.15,1.2390421112861287,-1.9057406537016206,28.09425934629838
2010-07-08,24.4095,21.28,1.2367719294617756,-1.9090066589465842,28.090993341053416
2010-07-09,24.27,21.39,1.234403503890361,-2.1338909482148196,27.86610905178518
2010-07-12,24.83,21.49,1.2318368056701248,-1.6421729538509808,28.35782704614902
2010-07-13,25.13,21.8,1.2296258531854152,-1.6758435994420537,28.324156400557946
2010-07-14,25.44,21.93,1.2271805414500074,-1.4720692739986632,28.527930726001337
2010-07-15,25.51,22.0,1.2245740670961245,-1.4306294761147385,28.56937052388526
2010-07-16,24.89,21.3725,1.2217961634322165,-1.222838502955046,28.777161497044954
2010-07-19,25.23,21.58,1.2192054897631988,-1.0804544690898261,28.919545530910174
2010-07-20,25.48,21.72,1.216658947358318,-0.9458323366226651,29.054167663377335
2010-07-21,25.12,21.46,1.2145625929231092,-0.9445132441299222,29.055486755870078
2010-07-22,25.84,22.04,1.2122709501094315,-0.8784517404118688,29.12154825958813
2010-07-23,25.81,22.19,1.2097408730258665,-1.0341499724439807,28.96585002755602
2010-07-26,26.1,22.32,1.2070411445857432,-0.8411583471537867,29.158841652846213
2010-07-27,26.16,22.39,1.2045723698470243,-0.8103753608748754,29.189624639125125
2010-07-28,25.95,22.21,1.2020003432011557,-0.74642762249767,29.25357237750233
2010-07-29,26.03,22.01,1.1994510611056155,-0.3699178549345987,29.6300821450654
2010-07-30,25.81,21.92,1.1971326793988077,-0.4311483324218699,29.56885166757813
2010-08-02,26.33,22.38,1.1948596979018984,-0.4109600390444861,29.589039960955514
2010-08-03,26.16,22.26,1.1926493582801732,-0.3883747153166546,29.611625284683345
2010-08-04,25.73,22.44,1.190606243913849,-0.9872041134267704,29.01279588657323
2010-08-05,25.37,22.34,1.1883398034412718,-1.177511208878009,28.82248879112199
2010-08-06,25.55,22.28,1.1858005744492992,-0.8696367987303866,29.130363201269613
2010-08-09,25.61,22.43,1.18352744648298,-0.9365206246132409,29.06347937538676
2010-08-10,25.07,22.2,1.181012589565837,-1.1484794883615805,28.85152051163842
2010-08-11,24.86,21.67,1.178160870859877,-0.6707460715335358,29.329253928466464
2010-08-12,24.49,21.37,1.1757279857098808,-0.6353070546201565,29.364692945379844
2010-08-13,24.4,21.27,1.1732669868582262,-0.5553888104744722,29.444611189525528
2010-08-16,24.5,21.31,1.1709616923459665,-0.4531936638925451,29.546806336107455
2010-08-17,24.71,21.54,1.1689890390743838,-0.4700239016622234,29.529976098337777
2010-08-18,24.82,21.66,1.1673037870421894,-0.4638000273338214,29.53619997266618
2010-08-19,24.44,21.4,1.1659441850857155,-0.5112055608343091,29.48879443916569
2010-08-20,24.23,21.35,1.1646321789264487,-0.6348970200796806,29.36510297992032
2010-08-23,24.28,21.16,1.1638257964618413,-0.3465538531325585,29.65344614686744
2010-08-24,24.04,20.87,1.1630972990677766,-0.2338406315444992,29.7661593684555
2010-08-25,24.1,21.0,1.1624395111427195,-0.3112297339971093,29.68877026600289
2010-08-26,23.82,20.79,1.1614619503119932,-0.32679394698633857,29.67320605301366
2010-08-27,23.93,21.04,1.1604307310250381,-0.48546258076680004,29.5145374192332
2010-08-30,23.64,20.76,1.1591359304441853,-0.4236619160212882,29.576338083978712
2010-08-31,23.465,20.69,1.1580872741947301,-0.49582570308896834,29.50417429691103
2010-09-01,23.9,21.22,1.1570856933912095,-0.6533584137614667,29.346641586238533
2010-09-02,23.94,21.41,1.1561091886659498,-0.8122977293379847,29.187702270662015
2010-09-03,24.29,21.73,1.1551391429935725,-0.8111735772503295,29.18882642274967
2010-09-07,23.96,21.55,1.1544282627717284,-0.9179290627307459,29.082070937269254
2010-09-08,23.93,21.67,1.1532858303070015,-1.0617039427527253,28.938296057247275
2010-09-09,24.01,21.73,1.1521018511933843,-1.0251732264322406,28.97482677356776
2010-09-10,23.85,21.74,1.1505703077333422,-1.1633984901228587,28.83660150987714
2010-09-13,25.11,22.13,1.149164992793668,-0.3210212905238734,29.678978709476127
2010-09-14,25.03,22.22,1.1484162139486547,-0.4878082739391054,29.512191726060895
2010-09-15,25.115,22.36,1.147392762715737,-0.5407021743238793,29.45929782567612
2010-09-16,25.33,22.49,1.1465542514706488,-0.456005115574893,29.543994884425107
2010-09-17,25.22,22.53,1.1457411260603385,-0.5935475701394282,29.406452429860572
2010-09-20,25.43,22.86,1.1451302550303528,-0.7476776299938663,29.252322370006134
2010-09-21,25.15,22.82,1.1442306172471435,-0.9613426855798153,29.038657314420185
2010-09-22,24.61,22.71,1.143481234231723,-1.3584588294024336,28.641541170597566
2010-09-23,24.43,22.68,1.1426139770370527,-1.4844849992003546,28.515515000799645
2010-09-24,24.775,23.12,1.1416905265494863,-1.6208849738241256,28.379115026175874
2010-09-27,24.7325,23.13,1.1405720149842344,-1.6489307065853396,28.35106929341466
2010-09-28,24.6775,23.16,1.139245982753093,-1.7074369605616333,28.292563039438367
2010-09-29,24.5,23.11,1.1377554098728293,-1.7935275221610851,28.206472477838915
2010-09-30,24.49,23.02,1.135952083905718,-1.659616971509628,28.340383028490372
2010-10-01,24.38,23.03,1.1344255794988796,-1.745821095859199,28.2541789041408
2010-10-04,23.91,22.84,1.1328368769985826,-1.9639942706476248,28.036005729352375
2010-10-05,24.35,23.29,1.1312601560117488,-1.9970490335136262,28.002950966486374
2010-10-06,24.43,23.18,1.129275287431499,-1.7466011626621487,28.25339883733785
2010-10-07,24.53,23.18,1.1275016071477988,-1.6054872536859754,28.394512746314025
2010-10-08,24.57,23.31,1.1256892829451444,-1.6698171854513149,28.330182814548685
2010-10-11,24.59,23.35,1.1237972025195273,-1.6506646788309638,28.349335321169036
2010-10-12,24.83,23.49,1.1218473104506934,-1.522193322486789,28.47780667751321
2010-10-13,25.34,23.68,1.119882477091721,-1.1788170575319548,28.821182942468045
2010-10-14,25.23,23.69,1.1180847280599246,-1.2574272077396174,28.742572792260383
2010-10-15,25.54,24.09,1.1162618654262952,-1.3507483381194518,28.649251661880548
2010-10-18,25.82,24.25,1.114247251525013,-1.200495849481566,28.799504150518434
2010-10-19,25.1,23.82,1.1124617259184324,-1.3988383113770588,28.60116168862294
2010-10-20,25.31,24.02,1.110396357046081,-1.3617204962468676,28.638279503753132
2010-10-21,25.42,24.04,1.108332455553122,-1.2243122314970485,28.77568776850295
2010-10-22,25.3775,24.11,1.106364878444424,-1.2969572192950594,28.70304278070494
2010-10-25,25.19,24.18,1.1040993350521253,-1.5071219215603904,28.49287807843961
2010-10-26,25.9,24.24,1.1017267590713393,-0.8058566398892637,29.194143360110736
2010-10-27,26.05,24.31,1.0998463556796962,-0.6872649065734144,29.312735093426586
2010-10-28,26.28,24.31,1.0980684670830465,-0.41404443478885966,29.58595556521114
2010-10-29,26.665,24.35,1.096936493813267,-0.04540362435305667,29.954596375646943
2010-11-01,26.95,24.37,1.0962688457001812,0.23392823028657972,30.23392823028658
2010-11-02,27.39,24.61,1.0956375480419924,0.42635994268656674,30.426359942686567
2010-11-03,27.03,24.75,1.0952243362454614,-0.07680232207517079,29.92319767792483
2010-11-04,27.14,25.12,1.0946196689632175,-0.3568460843560253,29.643153915643975
2010-11-05,26.85,25.1,1.0935360602367084,-0.5977551119413782,29.402244888058622
