date,MAS,XHB,beta,value,price
2010-08-10,11.02,14.96,0.7629606118424904,-0.3938907531636584,29.60610924683634
2010-08-11,10.62,14.43,0.7612770788447342,-0.36522824772951523,29.634771752270485
2010-08-12,10.54,14.188,0.759543547690148,-0.2364038546278202,29.76359614537218
2010-08-13,10.48,14.15,0.7580567855787942,-0.24650351593993847,29.75349648406006
2010-08-16,10.3,14.11,0.7567023937306941,-0.3770707755400924,29.62292922445991
2010-08-17,10.65,14.49,0.7554424731822881,-0.29636143641135426,29.703638563588648
2010-08-18,10.88,14.81,0.7538384845344478,-0.28434795595517137,29.71565204404483
2010-08-19,10.66,14.39,0.752166852773826,-0.16368101141535618,29.836318988584644
2010-08-20,10.56,14.35,0.7508480323195241,-0.21466926378517037,29.78533073621483
2010-08-23,10.38,14.05,0.7500333893042359,-0.15796911972451433,29.842030880275487
2010-08-24,10.49,13.96,0.7492096340536027,0.03103350861170462,30.031033508611706
2010-08-25,10.68,14.37,0.7486767056798499,-0.07848426061944203,29.92151573938056
2010-08-26,10.26,14.14,0.7484758058522119,-0.32344789475027547,29.676552105249726
2010-08-27,10.68,14.55,0.7477879853015346,-0.20031518613732935,29.79968481386267
2010-08-30,10.41,14.19,0.7471916056879376,-0.1926488847118346,29.807351115288164
2010-08-31,10.49,14.1525,0.7464821721726905,-0.0745889416740031,29.925411058326
2010-09-01,11.01,14.7225,0.745996966825255,0.027059655915183,30.02705965591518
2010-09-02,11.31,15.16,0.7457656648303981,0.004192521171164643,30.004192521171163
2010-09-03,11.43,15.36,0.745666018457886,-0.023430043513130272,29.97656995648687
2010-09-07,10.88,14.94,0.7452240455331937,-0.2536472402659129,29.746352759734087
2010-09-08,10.87,15.01,0.7445171750804184,-0.3052027979570795,29.69479720204292
2010-09-09,10.94,15.07,0.7435009495806418,-0.2645593101802728,29.735440689819725
2010-09-10,10.93,15.18,0.7421100644408994,-0.3352307782128534,29.664769221787147
2010-09-13,11.27,15.51,0.7410466546389188,-0.22363361344963195,29.776366386550368
2010-09-14,11.11,15.39,0.7403575036108341,-0.2841019805707372,29.71589801942926
2010-09-15,11.0,15.3,0.7392916197910802,-0.31116178280352713,29.688838217196473
2010-09-16,10.95,15.13,0.7379882129226718,-0.21576166152002507,29.784238338479973
2010-09-17,10.94,15.07,0.7369019931828001,-0.1651130372647991,29.8348869627352
2010-09-20,11.15,15.57,0.7358361588069255,-0.3069689926238297,29.69303100737617
2010-09-21,11.18,15.64,0.7348129217633194,-0.312474096378315,29.687525903621683
2010-09-22,10.95,15.4,0.7336584940142815,-0.3483408078199357,29.651659192180063
2010-09-23,10.61,15.17,0.7324130367038377,-0.5007057667972195,29.499294233202782
2010-09-24,11.0,15.71,0.7311225353869691,-0.48593503092928536,29.514064969070716
2010-09-27,10.93,15.73,0.7302289695722199,-0.5565016913710199,29.443498308628982
2010-09-28,11.0,15.91,0.7290663566031766,-0.5994457335565411,29.400554266443457
2010-09-29,10.89,15.82,0.7278447582080139,-0.6245040748507797,29.37549592514922
2010-09-30,11.01,15.8,0.7264737193707658,-0.4682847660580993,29.531715233941902
2010-10-01,11.18,15.8,0.7251643523827049,-0.27759676764673813,29.722403232353262
2010-10-04,11.09,15.59,0.724106059813338,-0.19881347248993997,29.801186527510062
2010-10-05,11.63,15.82,0.7230625402710639,0.1911506129117697,30.19115061291177
2010-10-06,11.77,15.82,0.7227217264572907,0.33654228744565984,30.33654228744566
2010-10-07,11.83,15.71,0.7226390105944229,0.47734114356161506,30.477341143561617
2010-10-08,12.06,15.91,0.7227574460778953,0.5609290329006864,30.560929032900688
2010-10-11,12.08,15.82,0.7229472250433114,0.6429748998148135,30.642974899814813
2010-10-12,11.82,15.84,0.7235112421267101,0.35958192471291106,30.359581924712913
2010-10-13,11.71,15.92,0.7238802511634316,0.1858264014781703,30.18582640147817
2010-10-14,11.34,15.75,0.7241422317140407,-0.06524014949614099,29.93475985050386
2010-10-15,11.01,15.61,0.7243815208988585,-0.2975955412311819,29.702404458768818
2010-10-18,10.9,15.54,0.7241472726123179,-0.35324861639541894,29.64675138360458
2010-10-19,10.74,15.41,0.7234638284865696,-0.40857759697803786,29.591422403021962
2010-10-20,10.84,15.5,0.722447558225027,-0.3579371524879189,29.64206284751208
2010-10-21,11.05,15.7,0.7226013169995071,-0.29484067689226023,29.70515932310774
2010-10-22,10.95,15.66,0.7229260898457794,-0.371022566984907,29.628977433015095
2010-10-25,10.89,15.75,0.7233176446853113,-0.5022529037936536,29.497747096206346
2010-10-26,10.93,15.67,0.7234217731139655,-0.40601918469583964,29.59398081530416
2010-10-27,10.67,15.56,0.7235588342690822,-0.5885754612269185,29.411424538773083
