date,WY,IYR,beta,value,price
2010-03-31,18.52737853,49.78,0.3760781976227392,-0.19379414765995762,29.806205852340042
2010-04-01,18.66243607,50.01,0.3756877456714498,-0.12570809102920677,29.874291908970793
2010-04-05,18.87525541,51.05,0.3751959530403755,-0.2784979927111664,29.721502007288834
2010-04-06,18.95710699,52.08,0.3747068548048064,-0.557626008234319,29.44237399176568
2010-04-07,18.81386171,50.96,0.37417866256137405,-0.2542829341276196,29.74571706587238
2010-04-08,18.75656516,50.98,0.3737862700029589,-0.29905888475084197,29.700941115249158
2010-04-09,19.31316465,51.7875,0.3733574369807984,-0.0220836176430943,29.977916382356906
2010-04-12,18.88344233,51.45,0.3730085432173585,-0.3078472185330945,29.692152781466906
2010-04-13,18.74428765,52.62,0.3725920557393933,-0.8615063230068749,29.138493676993125
2010-04-14,19.2681452,52.67,0.3719901774884384,-0.3245774483160524,29.675422551683948
2010-04-15,19.19039035,51.36,0.3715787690404578,0.1061047720820909,30.10610477208209
2010-04-16,19.58737073,50.29,0.3712807794652446,0.9156603306928481,30.915660330692848
2010-04-19,19.76744772,50.48,0.3713249294573203,1.0229652809944696,31.02296528099447
2010-04-20,20.38134377,51.27,0.3715300376646381,1.3329987389340054,31.332998738934005
2010-04-21,20.87246551,52.23,0.3718337984836926,1.4515862151967376,31.451586215196738
2010-04-22,21.21214934,52.99,0.37220633143083104,1.4889358374802626,31.488935837480263
2010-04-23,21.81376787,53.68,0.3725464911114163,1.8154722271391712,31.81547222713917
2010-04-26,21.3553942,54.02,0.3731078178740823,1.2001098784420705,31.20010987844207
2010-04-27,20.51231153,52.31,0.3734908361989907,0.9750058884307968,30.975005888430797
2010-04-28,20.17671175,52.49,0.37381892647149795,0.5549562995110726,30.554956299511073
2010-04-29,20.75786585,54.66,0.37394650139489943,0.3179500837547984,30.3179500837548
2010-04-30,20.26675066,52.96,0.37388926954538537,0.4655749448763906,30.46557494487639
2010-05-03,20.7742401,54.6,0.373912777535708,0.3586024465503428,30.358602446550343
2010-05-04,19.9229701,53.32,0.37388910537822123,-0.012796998766756218,29.987203001233244
2010-05-05,19.57918995,52.57,0.3739277405352817,-0.07819136993975917,29.92180863006024
2010-05-06,18.58467508,50.455,0.37385856167899206,-0.2783586495135424,29.721641350486458
2010-05-07,18.2818238,49.61,0.37364399258384384,-0.25465467208449155,29.74534532791551
2010-05-10,19.41139006,52.88,0.37350382249942626,-0.3394920737696623,29.660507926230338
2010-05-11,19.29679654,52.94,0.3733228771606168,-0.46691657688305455,29.533083423116945
2010-05-12,19.79609948,53.8,0.37314657668117723,-0.2791863454473358,29.720813654552664
2010-05-13,19.25996442,53.09,0.3730472425839615,-0.5451136887825179,29.454886311217482
2010-05-14,18.8629779,51.45,0.3729210178548505,-0.32380846863205903,29.67619153136794
2010-05-17,18.71564244,51.37,0.3729076441558009,-0.4406232402834931,29.559376759716507
2010-05-18,18.19178489,50.06,0.3727700390258753,-0.4690832636353157,29.530916736364684
2010-05-19,17.96668845,49.64,0.372645325161137,-0.5314254909988421,29.468574509001158
2010-05-20,17.16452849,47.24,0.37249444400134213,-0.43210904462340594,29.567890955376594
2010-05-21,17.59016636,48.77,0.3723053833298321,-0.5671671849959097,29.43283281500409
2010-05-24,17.05403171,47.79,0.37219102581440333,-0.7329774136703335,29.267022586329666
2010-05-25,16.99673474,48.29,0.3721160122393416,-0.9727474910378042,29.027252508962196
2010-05-26,17.01310285,48.1,0.3718549003576322,-0.8731178572021108,29.12688214279789
2010-05-27,17.65565024,50.71,0.37153914364289875,-1.185099734131395,28.814900265868605
2010-05-28,17.42645706,49.95,0.3710496169521283,-1.1074713067588071,28.892528693241193
2010-06-01,16.92715454,48.98,0.37063508196149747,-1.2265517744741459,28.773448225525854
2010-06-02,17.37325683,50.06,0.3701968815000453,-1.1587990578922707,28.84120094210773
2010-06-03,17.17680559,49.93,0.3698062883927746,-1.2876223894512329,28.712377610548767
2010-06-04,16.41967123,47.22,0.36939333310805306,-1.0230819593622655,28.976918040637734
2010-06-07,15.95311024,46.98,0.36917624060946613,-1.3907895438327174,28.609210456167283
2010-06-08,16.17411036,47.8,0.3687733111822296,-1.4532539145105758,28.546746085489424
2010-06-09,15.94083273,48.04,0.3683935347188382,-1.7567926778929852,28.243207322107015
2010-06-10,16.45241276,50.05,0.3679351613784642,-1.9627420669921314,28.03725793300787
2010-06-11,16.78391581,50.57,0.36736575390574017,-1.7937703650132804,28.20622963498672
2010-06-14,16.55063245,51.17,0.36681838122019805,-2.2194641170375355,27.780535882962464
2010-06-15,16.67750921,52.28,0.3661577407384412,-2.465217475805705,27.534782524194295
2010-06-16,16.35009676,51.9,0.3653969492471424,-2.6140049059266914,27.38599509407331
2010-06-17,16.13727782,51.98,0.36456478245236695,-2.812799571874031,27.18720042812597
2010-06-18,16.06361316,51.83,0.36358778710633444,-2.781141845721315,27.218858154278685
2010-06-21,16.14546474,51.46,0.36266999116389437,-2.517533005294002,27.482466994705998
2010-06-22,15.57658815,50.01,0.3618940808061706,-2.5217348311165892,27.47826516888341
2010-06-23,15.88353617,50.04,0.361088163033292,-2.1853155081859335,27.814684491814067
2010-06-24,15.26554339,48.59,0.3603254907460951,-2.242672205352763,27.75732779464724
2010-06-25,15.26554339,49.83,0.35949189294815237,-2.647937635606434,27.352062364393568
2010-06-28,15.06909871,49.26,0.35844471707537384,-2.5878880531329127,27.412111946867086
2010-06-29,14.48794419,47.68,0.35739116697765116,-2.552466651494406,27.447533348505594
